"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"4476","Carbamazepine 100mg tablets","","","","N03AF01","CEGEDIM"
"4477","Carbamazepine 100mg tablets (A A H Pharmaceuticals Ltd)","","","","N03AF01","CEGEDIM"
"4478","Carbamazepine 100mg tablets (A A H Pharmaceuticals Ltd) 28 tablet","","","","N03AF01","CEGEDIM"
"4484","Carbamazepine 100mg tablets (A A H Pharmaceuticals Ltd) 500 tablet","","","","N03AF01","CEGEDIM"
"4488","Carbamazepine 100mg tablets (Actavis UK Ltd)","","","","N03AF01","CEGEDIM"
"4489","Carbamazepine 100mg tablets (Actavis UK Ltd) 28 tablet","","","","N03AF01","CEGEDIM"
"4492","Carbamazepine 100mg tablets (Teva UK Ltd)","","","","N03AF01","CEGEDIM"
"4493","Carbamazepine 100mg tablets (Teva UK Ltd) 28 tablet2 x 14 tablets","","","","N03AF01","CEGEDIM"
"4494","Carbamazepine 100mg tablets (Mylan)","","","","N03AF01","CEGEDIM"
"4495","Carbamazepine 100mg tablets (Mylan) 28 tablet","","","","N03AF01","CEGEDIM"
"4503","Carbamazepine 100mg tablets (Mylan) 500 tablet","","","","N03AF01","CEGEDIM"
"4513","Epimaz 100mg tablets (IVAX Pharmaceuticals UK Ltd)","","","","N03AF01","CEGEDIM"
"4514","Epimaz 100mg tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet2 x 14 tablets","","","","N03AF01","CEGEDIM"
"4519","Carbamazepine 100mg tablets (Kent Pharmaceuticals Ltd)","","","","N03AF01","CEGEDIM"
"4520","Carbamazepine 100mg tablets (Kent Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","N03AF01","CEGEDIM"
"4527","Tegretol 100mg tablets (Novartis Pharmaceuticals UK Ltd)","","","","N03AF01","CEGEDIM"
"4528","Tegretol 100mg tablets (Novartis Pharmaceuticals UK Ltd) 84 tablet6 x 14 tablets","","","","N03AF01","CEGEDIM"
"4529","Tegretol 100mg tablets (Novartis Pharmaceuticals UK Ltd) 500 tablet","","","","N03AF01","CEGEDIM"
"4532","Carbamazepine 100mg tablets (Alliance Healthcare (Distribution) Ltd)","","","","N03AF01","CEGEDIM"
"4533","Carbamazepine 100mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet","","","","N03AF01","CEGEDIM"
"4536","Carbamazepine 100mg tablets (Alliance Healthcare (Distribution) Ltd) 500 tablet","","","","N03AF01","CEGEDIM"
"4547","Carbamazepine 200mg tablets","","","","N03AF01","CEGEDIM"
"4548","Carbamazepine 200mg tablets (A A H Pharmaceuticals Ltd)","","","","N03AF01","CEGEDIM"
"4549","Carbamazepine 200mg tablets (A A H Pharmaceuticals Ltd) 28 tablet","","","","N03AF01","CEGEDIM"
"4550","Carbamazepine 200mg tablets (A A H Pharmaceuticals Ltd) 500 tablet","","","","N03AF01","CEGEDIM"
"4554","Carbamazepine 200mg tablets (Actavis UK Ltd)","","","","N03AF01","CEGEDIM"
"4555","Carbamazepine 200mg tablets (Actavis UK Ltd) 28 tablet","","","","N03AF01","CEGEDIM"
"4579","Carbamazepine 200mg tablets (Teva UK Ltd)","","","","N03AF01","CEGEDIM"
"4580","Carbamazepine 200mg tablets (Teva UK Ltd) 28 tablet2 x 14 tablets","","","","N03AF01","CEGEDIM"
"4585","Carbamazepine 200mg tablets (Mylan)","","","","N03AF01","CEGEDIM"
"4586","Carbamazepine 200mg tablets (Mylan) 28 tablet","","","","N03AF01","CEGEDIM"
"4587","Carbamazepine 200mg tablets (Mylan) 500 tablet","","","","N03AF01","CEGEDIM"
"4592","Epimaz 200mg tablets (Teva UK Ltd)","","","","N03AF01","CEGEDIM"
"4593","Epimaz 200mg tablets (Teva UK Ltd) 28 tablet2 x 14 tablets","","","","N03AF01","CEGEDIM"
"4606","Carbamazepine 200mg tablets (Kent Pharmaceuticals Ltd)","","","","N03AF01","CEGEDIM"
"4607","Carbamazepine 200mg tablets (Kent Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","N03AF01","CEGEDIM"
"4608","Carbamazepine 200mg tablets (Kent Pharmaceuticals Ltd) 500 tablet","","","","N03AF01","CEGEDIM"
"4614","Tegretol 200mg tablets (Novartis Pharmaceuticals UK Ltd)","","","","N03AF01","CEGEDIM"
"4615","Tegretol 200mg tablets (Novartis Pharmaceuticals UK Ltd) 84 tablet6 x 14 tablets","","","","N03AF01","CEGEDIM"
"4620","Carbamazepine 200mg tablets (Alliance Healthcare (Distribution) Ltd)","","","","N03AF01","CEGEDIM"
"4621","Carbamazepine 200mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet","","","","N03AF01","CEGEDIM"
"4622","Carbamazepine 200mg tablets (Alliance Healthcare (Distribution) Ltd) 500 tablet","","","","N03AF01","CEGEDIM"
"4646","Carbamazepine 400mg tablets","","","","N03AF01","CEGEDIM"
"4647","Carbamazepine 400mg tablets (A A H Pharmaceuticals Ltd)","","","","N03AF01","CEGEDIM"
"4648","Carbamazepine 400mg tablets (A A H Pharmaceuticals Ltd) 28 tablet","","","","N03AF01","CEGEDIM"
"4652","Carbamazepine 400mg tablets (A A H Pharmaceuticals Ltd) 100 tablet","","","","N03AF01","CEGEDIM"
"4655","Carbamazepine 400mg tablets (Actavis UK Ltd)","","","","N03AF01","CEGEDIM"
"4656","Carbamazepine 400mg tablets (Actavis UK Ltd) 28 tablet2 x 14 tablets","","","","N03AF01","CEGEDIM"
"4657","Carbamazepine 400mg tablets (Teva UK Ltd)","","","","N03AF01","CEGEDIM"
"4658","Carbamazepine 400mg tablets (Teva UK Ltd) 28 tablet2 x 14 tablets","","","","N03AF01","CEGEDIM"
"4669","Carbamazepine 400mg tablets (Mylan)","","","","N03AF01","CEGEDIM"
"4670","Carbamazepine 400mg tablets (Mylan) 100 tablet","","","","N03AF01","CEGEDIM"
"4676","Epimaz 400mg tablets (Teva UK Ltd)","","","","N03AF01","CEGEDIM"
"4677","Epimaz 400mg tablets (Teva UK Ltd) 28 tablet2 x 14 tablets","","","","N03AF01","CEGEDIM"
"4680","Carbamazepine 400mg tablets (Kent Pharmaceuticals Ltd)","","","","N03AF01","CEGEDIM"
"4681","Carbamazepine 400mg tablets (Kent Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","N03AF01","CEGEDIM"
"4682","Tegretol 400mg tablets (Novartis Pharmaceuticals UK Ltd)","","","","N03AF01","CEGEDIM"
"4683","Tegretol 400mg tablets (Novartis Pharmaceuticals UK Ltd) 56 tablet4 x 14 tablets","","","","N03AF01","CEGEDIM"
"4698","Carbamazepine 400mg tablets (Alliance Healthcare (Distribution) Ltd)","","","","N03AF01","CEGEDIM"
"4699","Carbamazepine 400mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet2 x 14 tablets","","","","N03AF01","CEGEDIM"
"5211","Carbamazepine 400mg tablets (Alliance Healthcare (Distribution) Ltd) 100 tablet","","","","N03AF01","CEGEDIM"
"11674","Carbamazepine 100mg/5ml oral suspension sugar free","","","","N03AF01","CEGEDIM"
"11675","Tegretol 100mg/5ml liquid (Novartis Pharmaceuticals UK Ltd)","","","","N03AF01","CEGEDIM"
"11676","Tegretol 100mg/5ml liquid (Novartis Pharmaceuticals UK Ltd) 300 ml","","","","N03AF01","CEGEDIM"
"11695","Carbamazepine 200mg modified-release tablets","","","","N03AF01","CEGEDIM"
"11696","Carbagen SR 200mg tablets (Mylan)","","","","N03AF01","CEGEDIM"
"11697","Carbagen SR 200mg tablets (Mylan) 56 tablet4 x 14 tablets","","","","N03AF01","CEGEDIM"
"11704","Epimaz Retard 200mg tablets (IVAX Pharmaceuticals UK Ltd)","","","","N03AF01","CEGEDIM"
"11705","Epimaz Retard 200mg tablets (IVAX Pharmaceuticals UK Ltd) 56 tablet","","","","N03AF01","CEGEDIM"
"11710","Carbamazepine 200mg modified-release tablets (Kent Pharmaceuticals Ltd)","","","","N03AF01","CEGEDIM"
"11711","Carbamazepine 200mg modified-release tablets (Kent Pharmaceuticals Ltd) 56 tablet4 x 14 tablets","","","","N03AF01","CEGEDIM"
"11712","Tegretol Prolonged Release 200mg tablets (Novartis Pharmaceuticals UK Ltd)","","","","N03AF01","CEGEDIM"
"11713","Tegretol Prolonged Release 200mg tablets (Novartis Pharmaceuticals UK Ltd) 56 tablet4 x 14 tablets","","","","N03AF01","CEGEDIM"
"11714","Carbamazepine 200mg modified-release tablets (Alliance Healthcare (Distribution) Ltd)","","","","N03AF01","CEGEDIM"
"11715","Carbamazepine 200mg modified-release tablets (Alliance Healthcare (Distribution) Ltd) 56 tablet","","","","N03AF01","CEGEDIM"
"11719","Arbil MR 200mg tablets (Ranbaxy (UK) Ltd)","","","","N03AF01","CEGEDIM"
"11720","Arbil MR 200mg tablets (Ranbaxy (UK) Ltd) 56 tablet4 x 14 tablets","","","","N03AF01","CEGEDIM"
"11951","Carbamazepine 400mg modified-release tablets","","","","N03AF01","CEGEDIM"
"11952","Carbagen SR 400mg tablets (Mylan)","","","","N03AF01","CEGEDIM"
"11953","Carbagen SR 400mg tablets (Mylan) 56 tablet4 x 14 tablets","","","","N03AF01","CEGEDIM"
"11954","Epimaz Retard 400mg tablets (IVAX Pharmaceuticals UK Ltd)","","","","N03AF01","CEGEDIM"
"11955","Epimaz Retard 400mg tablets (IVAX Pharmaceuticals UK Ltd) 56 tablet","","","","N03AF01","CEGEDIM"
"11956","Tegretol Prolonged Release 400mg tablets (Novartis Pharmaceuticals UK Ltd)","","","","N03AF01","CEGEDIM"
"11957","Tegretol Prolonged Release 400mg tablets (Novartis Pharmaceuticals UK Ltd) 56 tablet4 x 14 tablets","","","","N03AF01","CEGEDIM"
"11974","Carbamazepine 400mg modified-release tablets (Alliance Healthcare (Distribution) Ltd)","","","","N03AF01","CEGEDIM"
"11975","Carbamazepine 400mg modified-release tablets (Alliance Healthcare (Distribution) Ltd) 56 tablet","","","","N03AF01","CEGEDIM"
"11976","Arbil MR 400mg tablets (Ranbaxy (UK) Ltd)","","","","N03AF01","CEGEDIM"
"11977","Arbil MR 400mg tablets (Ranbaxy (UK) Ltd) 56 tablet4 x 14 tablets","","","","N03AF01","CEGEDIM"
"11978","Carbamazepine 400mg modified-release tablets (Kent Pharmaceuticals Ltd)","","","","N03AF01","CEGEDIM"
"11979","Carbamazepine 400mg modified-release tablets (Kent Pharmaceuticals Ltd) 56 tablet4 x 14 tablets","","","","N03AF01","CEGEDIM"
"12741","Teril Retard 200mg tablets (Taro Pharmaceuticals (UK) Ltd)","","","","N03AF01","CEGEDIM"
"12742","Teril Retard 200mg tablets (Taro Pharmaceuticals (UK) Ltd) 56 tablet","","","","N03AF01","CEGEDIM"
"13461","Teril Retard 400mg tablets (Taro Pharmaceuticals (UK) Ltd)","","","","N03AF01","CEGEDIM"
"13462","Teril Retard 400mg tablets (Taro Pharmaceuticals (UK) Ltd) 56 tablet","","","","N03AF01","CEGEDIM"
"19661","Carbamazepine 100mg chewable tablets sugar free","","","","N03AF01","CEGEDIM"
"19662","Tegretol 100mg Chewtabs (Novartis Pharmaceuticals UK Ltd)","","","","N03AF01","CEGEDIM"
"19663","Tegretol 100mg Chewtabs (Novartis Pharmaceuticals UK Ltd) 56 tablet7 x 8 tablets","","","","N03AF01","CEGEDIM"
"19670","Carbamazepine 200mg chewable tablets sugar free","","","","N03AF01","CEGEDIM"
"19671","Tegretol 200mg Chewtabs (Novartis Pharmaceuticals UK Ltd)","","","","N03AF01","CEGEDIM"
"19672","Tegretol 200mg Chewtabs (Novartis Pharmaceuticals UK Ltd) 56 tablet4 x 14 tablets","","","","N03AF01","CEGEDIM"
"24188","Carbamazepine 125mg suppositories","","","","N03AF01","CEGEDIM"
"24189","Tegretol 125mg suppositories (Essential Pharma Ltd)","","","","N03AF01","CEGEDIM"
"24190","Tegretol 125mg suppositories (Essential Pharma Ltd) 5 suppository","","","","N03AF01","CEGEDIM"
"24191","Carbamazepine 250mg suppositories","","","","N03AF01","CEGEDIM"
"24192","Tegretol 250mg suppositories (Essential Pharma Ltd)","","","","N03AF01","CEGEDIM"
"24193","Tegretol 250mg suppositories (Essential Pharma Ltd) 5 suppository","","","","N03AF01","CEGEDIM"
"27122","Carbamazepine 100mg tablets (Kent Pharmaceuticals Ltd) 500 tablet","","","","N03AF01","CEGEDIM"
"28936","Carbamazepine 200mg modified-release tablets (A A H Pharmaceuticals Ltd)","","","","N03AF01","CEGEDIM"
"28937","Carbamazepine 200mg modified-release tablets (A A H Pharmaceuticals Ltd) 56 tablet","","","","N03AF01","CEGEDIM"
"28938","Carbamazepine 400mg modified-release tablets (A A H Pharmaceuticals Ltd)","","","","N03AF01","CEGEDIM"
"28939","Carbamazepine 400mg modified-release tablets (A A H Pharmaceuticals Ltd) 56 tablet","","","","N03AF01","CEGEDIM"
"30157","Carbamazepine 400mg tablets (Kent Pharmaceuticals Ltd) 100 tablet","","","","N03AF01","CEGEDIM"
"35312","Tegretol Prolonged Release 400mg tablets (Waymade Healthcare Plc)","","","","N03AF01","CEGEDIM"
"35313","Tegretol Prolonged Release 400mg tablets (Waymade Healthcare Plc) 30 tablet","","","","N03AF01","CEGEDIM"
"35316","Tegretol 100mg/5ml liquid (Waymade Healthcare Plc)","","","","N03AF01","CEGEDIM"
"35317","Tegretol 100mg/5ml liquid (Waymade Healthcare Plc) 50 ml","","","","N03AF01","CEGEDIM"
"36570","Tegretol Prolonged Release 400mg tablets (Dowelhurst Ltd)","","","","N03AF01","CEGEDIM"
"36571","Tegretol Prolonged Release 400mg tablets (Dowelhurst Ltd) 30 tablet","","","","N03AF01","CEGEDIM"
"60503","Carbamazepine 40mg/5ml oral suspension","","","","N03AF01","CEGEDIM"
"60504","Carbamazepine 40mg/5ml oral suspension (Special Order)","","","","N03AF01","CEGEDIM"
"60505","Carbamazepine 40mg/5ml oral suspension (Special Order) 1 ml","","","","N03AF01","CEGEDIM"
"60512","Carbamazepine 500mg/5ml oral suspension","","","","N03AF01","CEGEDIM"
"60513","Carbamazepine 500mg/5ml oral suspension (Special Order)","","","","N03AF01","CEGEDIM"
"60514","Carbamazepine 500mg/5ml oral suspension (Special Order) 1 ml","","","","N03AF01","CEGEDIM"
