"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"3981","Carbamazepine50 mgTabletOral","","","","","UHB"
"3657","Carbamazepine0 mgLiquidOral","","","","","UHB"
"3112","Carbamazepine100 mgTabletOral","","","","","UHB"
"3645","Carbamazepine100 mgLiquidOral","","","","","UHB"
"3644","Carbamazepine400 mgTabletOral","","","","","UHB"
"3236","Carbamazepine300 mgTabletOral","","","","","UHB"
"2766","Carbamazepine200 mgTabletOral","","","","","UHB"
"3655","Carbamazepine150 mgLiquidOral","","","","","UHB"
"3413","Carbamazepine250 mgTabletOral","","","","","UHB"
"3237","Carbamazepine mr300 mgTabletOral","","","","","UHB"
