"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"3732","Sitagliptin25 mgTabletOral","","","","","UHB"
"4642","linagliptin 2.5mg/metformin 1g1 tabTabletOral","","","","","UHB"
"2381","Sitagliptin50 mgTabletOral","","","","","UHB"
"559","Sitagliptin100 mgTabletOral","","","","","UHB"
"3277","Saxagliptin5 mgTabletOral","","","","","UHB"
"4054","Alogliptin12.5 mgTabletOral","","","","","UHB"
"1559","Alogliptin25 mgTabletOral","","","","","UHB"
"3454","Sitagliptin100 mgTabletGastrost.","","","","","UHB"
"3525","Linagliptin2.5 mgTabletOral","","","","","UHB"
"552","Linagliptin5 mgTabletOral","","","","","UHB"
"2896","Alogliptin6.25 mgTabletOral","","","","","UHB"
"4631","metformin 1g/sitagliptin 50mg (janumet)1 tabTabletOral","","","","","UHB"
