"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"480041000033117","Donepezil 5mg tablets Tablet Oral Donepezil hydrochloride 5.000mg","4110000","","","","CPRD_AURUM"
"81141000033115","Aricept 5mg tablets (Eisai Ltd) Tablet Oral Donepezil hydrochloride 5.000mg","4110000","","","","CPRD_AURUM"
"81041000033119","Aricept 10mg tablets (Eisai Ltd) Tablet Oral Donepezil hydrochloride 10.000mg","4110000","","","","CPRD_AURUM"
"479941000033116","Donepezil 10mg tablets Tablet Oral Donepezil hydrochloride 10.000mg","4110000","","","","CPRD_AURUM"
"1673341000033115","Rivastigmine 1.5mg capsules Capsule Oral Rivastigmine hydrogen tartrate 1.500mg","4110000","","","","CPRD_AURUM"
"1609241000033116","Exelon 1.5mg capsules (Novartis Pharmaceuticals UK Ltd) Capsule Oral Rivastigmine hydrogen tartrate 1.500mg","4110000","","","","CPRD_AURUM"
"6469441000033118","Nimvastid 1.5mg capsules (Consilient Health Ltd) Capsule Oral Rivastigmine hydrogen tartrate 1.500mg","","","","","CPRD_AURUM"
"8271641000033117","Kerstipon 1.5mg capsules (Aspire Pharma Ltd) Capsule Oral Rivastigmine hydrogen tartrate 1.500mg","","","","","CPRD_AURUM"
"8271741000033114","Kerstipon 3mg capsules (Aspire Pharma Ltd) Capsule Oral Rivastigmine hydrogen tartrate 3.000mg","","","","","CPRD_AURUM"
"6469541000033117","Nimvastid 3mg capsules (Consilient Health Ltd) Capsule Oral Rivastigmine hydrogen tartrate 3.000mg","","","","","CPRD_AURUM"
"1609341000033114","Exelon 3mg capsules (Novartis Pharmaceuticals UK Ltd) Capsule Oral Rivastigmine hydrogen tartrate 3.000mg","4110000","","","","CPRD_AURUM"
"1673441000033114","Rivastigmine 3mg capsules Capsule Oral Rivastigmine hydrogen tartrate 3.000mg","4110000","","","","CPRD_AURUM"
"1673541000033110","Rivastigmine 4.5mg capsules Capsule Oral Rivastigmine hydrogen tartrate 4.500mg","4110000","","","","CPRD_AURUM"
"1609441000033115","Exelon 4.5mg capsules (Novartis Pharmaceuticals UK Ltd) Capsule Oral Rivastigmine hydrogen tartrate 4.500mg","4110000","","","","CPRD_AURUM"
"6469641000033116","Nimvastid 4.5mg capsules (Consilient Health Ltd) Capsule Oral Rivastigmine hydrogen tartrate 4.500mg","","","","","CPRD_AURUM"
"8271841000033116","Kerstipon 4.5mg capsules (Aspire Pharma Ltd) Capsule Oral Rivastigmine hydrogen tartrate 4.500mg","","","","","CPRD_AURUM"
"8271941000033112","Kerstipon 6mg capsules (Aspire Pharma Ltd) Capsule Oral Rivastigmine hydrogen tartrate 6.000mg","","","","","CPRD_AURUM"
"6469741000033113","Nimvastid 6mg capsules (Consilient Health Ltd) Capsule Oral Rivastigmine hydrogen tartrate 6.000mg","","","","","CPRD_AURUM"
"1609541000033119","Exelon 6mg capsules (Novartis Pharmaceuticals UK Ltd) Capsule Oral Rivastigmine hydrogen tartrate 6.000mg","4110000","","","","CPRD_AURUM"
"1673641000033111","Rivastigmine 6mg capsules Capsule Oral Rivastigmine hydrogen tartrate 6.000mg","4110000","","","","CPRD_AURUM"
"2191341000033112","Galantamine 4mg tablets Tablet Oral Galantamine hydrobromide 4.000mg","4110000","","","","CPRD_AURUM"
"2191641000033116","Reminyl 4mg tablets (Shire Pharmaceuticals Ltd) Tablet Oral Galantamine hydrobromide 4.000mg","4110000","","","","CPRD_AURUM"
"2191741000033113","Reminyl 8mg tablets (Shire Pharmaceuticals Ltd) Tablet Oral Galantamine hydrobromide 8.000mg","4110000","","","","CPRD_AURUM"
"2191441000033118","Galantamine 8mg tablets Tablet Oral Galantamine hydrobromide 8.000mg","4110000","","","","CPRD_AURUM"
"2191541000033117","Galantamine 12mg tablets Tablet Oral Galantamine hydrobromide 12.000mg","4110000","","","","CPRD_AURUM"
"2191841000033115","Reminyl 12mg tablets (Shire Pharmaceuticals Ltd) Tablet Oral Galantamine hydrobromide 12.000mg","4110000","","","","CPRD_AURUM"
"2835341000033112","Memantine 10mg tablets Tablet Oral Memantine hydrochloride 10.000mg","4110000","","","","CPRD_AURUM"
"2835541000033117","Ebixa 10mg tablets (Lundbeck Ltd) Tablet Oral Memantine hydrochloride 10.000mg","4110000","","","","CPRD_AURUM"
"11721041000033114","Marixino 10mg tablets (Consilient Health Ltd) Tablet Oral Memantine hydrochloride 10.000mg","","","","","CPRD_AURUM"
"8535641000033114","Nemdatine 10mg tablets (Actavis UK Ltd) Tablet Oral Memantine hydrochloride 10.000mg","","","","","CPRD_AURUM"
"2801441000033112","Galantamine 20mg/5ml oral solution sugar free Oral solution Oral Galantamine hydrobromide 4.000mg/1.000ml","4110000","","","","CPRD_AURUM"
"2801541000033113","Reminyl 4mg/ml oral solution (Shire Pharmaceuticals Ltd) Oral solution Oral Galantamine hydrobromide 4.000mg/1.000ml","4110000","","","","CPRD_AURUM"
"12603841000033115","Galzemic 4mg/ml oral solution (Creo Pharma Ltd) Oral solution Oral Galantamine hydrobromide 4.000mg/1.000ml","","","","","CPRD_AURUM"
