"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"3759","Rivastigmine1.5 mgCapsuleOral","","","","","UHB"
"4015","Galantamine24 mgModified Release CapsuleOral","","","","","UHB"
"2922","Donepezil10 mgOrodispersible TabletOral","","","","","UHB"
"954","Donepezil10 mgTabletOral","","","","","UHB"
"2724","Memantine10 mgTabletOral","","","","","UHB"
"2441","Rivastigmine4.6 mg/24hrsPatchTOP","","","","","UHB"
"3254","Rivastigmine3 mgCapsuleOral","","","","","UHB"
"1451","Memantine20 mgTabletOral","","","","","UHB"
"4026","Memantine5 mgTabletOral","","","","","UHB"
"1754","Donepezil5 mgOrodispersible TabletOral","","","","","UHB"
"1896","Donepezil5 mgTabletOral","","","","","UHB"
"3797","Rivastigmine4.5 mgCapsuleOral","","","","","UHB"
"4600","Donepezil","","","","","UHB"
