"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"689","Digoxin 62.5microgram tablets","","","","C01AA05","CEGEDIM"
"690","Digoxin 62.5microgram tablets (A A H Pharmaceuticals Ltd)","","","","C01AA05","CEGEDIM"
"691","Digoxin 62.5microgram tablets (A A H Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"692","Digoxin 62.5microgram tablets (Accord Healthcare Ltd)","","","","C01AA05","CEGEDIM"
"693","Digoxin 62.5microgram tablets (Accord Healthcare Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"694","Digamex 62.5microgram tablets (Actavis UK Ltd)","","","","C01AA05","CEGEDIM"
"695","Digamex 62.5microgram tablets (Actavis UK Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"696","Digoxin 62.5microgram tablets (Teva UK Ltd)","","","","C01AA05","CEGEDIM"
"697","Digoxin 62.5microgram tablets (Teva UK Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"698","Digoxin 62.5microgram tablets (The Boots Company Plc)","","","","C01AA05","CEGEDIM"
"699","Digoxin 62.5microgram tablets (The Boots Company Plc) 28 tablet","","","","C01AA05","CEGEDIM"
"700","Lanoxin PG 62.5microgram tablets (Aspen Pharma Trading Ltd)","","","","C01AA05","CEGEDIM"
"701","Lanoxin PG 62.5microgram tablets (Aspen Pharma Trading Ltd) 500 tablet","","","","C01AA05","CEGEDIM"
"702","Digoxin 62.5microgram tablets (IVAX Pharmaceuticals UK Ltd)","","","","C01AA05","CEGEDIM"
"703","Digoxin 62.5microgram tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet","","","","C01AA05","CEGEDIM"
"706","Digoxin 62.5microgram tablets (Kent Pharmaceuticals Ltd)","","","","C01AA05","CEGEDIM"
"707","Digoxin 62.5microgram tablets (Kent Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"708","Digoxin 62.5microgram tablets (Alliance Healthcare (Distribution) Ltd)","","","","C01AA05","CEGEDIM"
"709","Digoxin 62.5microgram tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"710","Digoxin 125microgram tablets","","","","C01AA05","CEGEDIM"
"711","Digoxin 125microgram tablets (A A H Pharmaceuticals Ltd)","","","","C01AA05","CEGEDIM"
"712","Digoxin 125microgram tablets (A A H Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"726","Digoxin 125microgram tablets (Accord Healthcare Ltd)","","","","C01AA05","CEGEDIM"
"727","Digoxin 125microgram tablets (Accord Healthcare Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"734","Digamex 125microgram tablets (Actavis UK Ltd)","","","","C01AA05","CEGEDIM"
"735","Digamex 125microgram tablets (Actavis UK Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"741","Digoxin 125microgram tablets (Approved Prescription Services Ltd)","","","","C01AA05","CEGEDIM"
"742","Digoxin 125microgram tablets (Approved Prescription Services Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"745","Digoxin 125microgram tablets (The Boots Company Plc)","","","","C01AA05","CEGEDIM"
"746","Digoxin 125microgram tablets (The Boots Company Plc) 28 tablet","","","","C01AA05","CEGEDIM"
"752","Lanoxin 125 tablets (Aspen Pharma Trading Ltd)","","","","C01AA05","CEGEDIM"
"753","Lanoxin 125 tablets (Aspen Pharma Trading Ltd) 500 tablet","","","","C01AA05","CEGEDIM"
"757","Digoxin 125microgram tablets (IVAX Pharmaceuticals UK Ltd)","","","","C01AA05","CEGEDIM"
"758","Digoxin 125microgram tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet","","","","C01AA05","CEGEDIM"
"761","Digoxin 125microgram tablets (Kent Pharmaceuticals Ltd)","","","","C01AA05","CEGEDIM"
"762","Digoxin 125microgram tablets (Kent Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"766","Digoxin 125microgram tablets (Alliance Healthcare (Distribution) Ltd)","","","","C01AA05","CEGEDIM"
"767","Digoxin 125microgram tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"768","Digoxin 250microgram tablets","","","","C01AA05","CEGEDIM"
"769","Digoxin 250microgram tablets (A A H Pharmaceuticals Ltd)","","","","C01AA05","CEGEDIM"
"770","Digoxin 250microgram tablets (A A H Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"775","Digoxin 250microgram tablets (Actavis UK Ltd)","","","","C01AA05","CEGEDIM"
"776","Digoxin 250microgram tablets (Actavis UK Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"779","Digamex 250microgram tablets (Actavis UK Ltd)","","","","C01AA05","CEGEDIM"
"780","Digamex 250microgram tablets (Actavis UK Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"787","Digoxin 250microgram tablets (Teva UK Ltd)","","","","C01AA05","CEGEDIM"
"788","Digoxin 250microgram tablets (Teva UK Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"790","Digoxin 250microgram tablets (The Boots Company Plc)","","","","C01AA05","CEGEDIM"
"791","Digoxin 250microgram tablets (The Boots Company Plc) 28 tablet","","","","C01AA05","CEGEDIM"
"797","Lanoxin 250microgram tablets (Aspen Pharma Trading Ltd)","","","","C01AA05","CEGEDIM"
"798","Lanoxin 250microgram tablets (Aspen Pharma Trading Ltd) 500 tablet","","","","C01AA05","CEGEDIM"
"799","Digoxin 250microgram tablets (IVAX Pharmaceuticals UK Ltd)","","","","C01AA05","CEGEDIM"
"800","Digoxin 250microgram tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet","","","","C01AA05","CEGEDIM"
"803","Digoxin 250microgram tablets (Kent Pharmaceuticals Ltd)","","","","C01AA05","CEGEDIM"
"804","Digoxin 250microgram tablets (Kent Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"808","Digoxin 250microgram tablets (Alliance Healthcare (Distribution) Ltd)","","","","C01AA05","CEGEDIM"
"809","Digoxin 250microgram tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"2046","Digoxin 50micrograms/ml oral solution","","","","C01AA05","CEGEDIM"
"2047","Lanoxin PG 50micrograms/ml elixir (Aspen Pharma Trading Ltd)","","","","C01AA05","CEGEDIM"
"2048","Lanoxin PG 50micrograms/ml elixir (Aspen Pharma Trading Ltd) 60 ml","","","","C01AA05","CEGEDIM"
"16739","Digoxin 500micrograms/2ml solution for infusion ampoules","","","","C01AA05","CEGEDIM"
"16740","Digoxin 500micrograms/2ml solution for infusion ampoules (A A H Pharmaceuticals Ltd)","","","","C01AA05","CEGEDIM"
"16741","Digoxin 500micrograms/2ml solution for infusion ampoules (A A H Pharmaceuticals Ltd) 10 ampoule","","","","C01AA05","CEGEDIM"
"16742","Lanoxin 500micrograms/2ml solution for infusion ampoules (Aspen Pharma Trading Ltd)","","","","C01AA05","CEGEDIM"
"16743","Lanoxin 500micrograms/2ml solution for infusion ampoules (Aspen Pharma Trading Ltd) 5 ampoule","","","","C01AA05","CEGEDIM"
"30457","Digoxin-specific antibody fragments 38mg powder for solution for infusion vials","","","","V03AB24","CEGEDIM"
"72094","Digoxin 62.5microgram tablets (Almus Pharmaceuticals Ltd)","","","","C01AA05","CEGEDIM"
"72095","Digoxin 62.5microgram tablets (Almus Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"72096","Digoxin 125microgram tablets (Almus Pharmaceuticals Ltd)","","","","C01AA05","CEGEDIM"
"72097","Digoxin 125microgram tablets (Almus Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"72098","Digoxin 250microgram tablets (Almus Pharmaceuticals Ltd)","","","","C01AA05","CEGEDIM"
"72099","Digoxin 250microgram tablets (Almus Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"76911","Digoxin 100micrograms/1ml solution for injection ampoules","","","","C01AA05","CEGEDIM"
"76912","Lanoxin Injection Pediatric 100micrograms/1ml solution for injection ampoules (Imported (United States))","","","","C01AA05","CEGEDIM"
"76913","Lanoxin Injection Pediatric 100micrograms/1ml solution for injection ampoules (Imported (United States)) 10 ampoule","","","","C01AA05","CEGEDIM"
"79034","Digoxin 500micrograms/2ml solution for infusion ampoules (Advanz Pharma)","","","","C01AA05","CEGEDIM"
"79035","Digoxin 500micrograms/2ml solution for infusion ampoules (Advanz Pharma) 10 ampoule","","","","C01AA05","CEGEDIM"
"79308","Digoxin 125microgram tablets (Teva UK Ltd)","","","","C01AA05","CEGEDIM"
"79309","Digoxin 125microgram tablets (Teva UK Ltd) 28 tablet2 x 14 tablets","","","","C01AA05","CEGEDIM"
"86937","Digoxin 125micrograms/5ml oral suspension","","","","C01AA05","CEGEDIM"
"86938","Digoxin 125micrograms/5ml oral suspension (Special Order)","","","","C01AA05","CEGEDIM"
"86939","Digoxin 125micrograms/5ml oral suspension (Special Order) 1 ml","","","","C01AA05","CEGEDIM"
"86943","Digoxin 125micrograms/5ml oral solution","","","","C01AA05","CEGEDIM"
"86944","Digoxin 125micrograms/5ml oral solution (Special Order)","","","","C01AA05","CEGEDIM"
"86945","Digoxin 125micrograms/5ml oral solution (Special Order) 1 ml","","","","C01AA05","CEGEDIM"
"86949","Digoxin 250micrograms/5ml oral suspension","","","","C01AA05","CEGEDIM"
