"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"56190979","Digoxin 62.5microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"70520979","Digoxin 250micrograms/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"70522979","Digoxin 50micrograms/ml oral solution","02010100","00000000","00000000","C01AA05","IMRD"
"70524979","Digoxin 125micrograms/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"70526979","Digoxin 125micrograms/5ml oral solution","00000000","00000000","00000000","","IMRD"
"70532979","Digoxin 75micrograms/5ml oral solution","00000000","00000000","00000000","","IMRD"
"82205998","Digoxin 50micrograms/ml oral solution","02010100","00000000","00000000","C01AA05","IMRD"
"82206998","Digoxin 62.5microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"82208998","Digoxin 250microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"91845998","Digoxin 62.5microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"91846998","Digoxin 250microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"93443998","Digoxin 250microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"94139992","Digoxin .05 mg tab","02010100","00000000","00000000","","IMRD"
"94921992","Digoxin 250microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"96380998","Digoxin 500micrograms/2ml solution for infusion ampoules","02010100","00000000","00000000","C01AA05","IMRD"
"96381996","Digoxin 100micrograms/1ml solution for injection ampoules","02010100","00000000","00000000","C01AA05","IMRD"
"96381997","Digoxin 500micrograms/2ml solution for infusion ampoules","02010100","00000000","00000000","C01AA05","IMRD"
"96381998","Digoxin 50micrograms/ml oral solution","02010100","00000000","00000000","C01AA05","IMRD"
"97119996","Digoxin 250microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"97119997","Digoxin 125microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"97119998","Digoxin 62.5microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"97826988","Digoxin 125microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"97826989","Digoxin 62.5microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"97826990","Digoxin 250microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"98079998","Digoxin 125microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"98175988","Digoxin 250microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"98175989","Digoxin 125microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"98175990","Digoxin 62.5microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"98627997","Digoxin 50micrograms/ml oral solution","02010100","00000000","00000000","C01AA05","IMRD"
"98627998","Digoxin 62.5microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"98628998","Digoxin 125microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"99230989","Digoxin 125microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"99346979","Digoxin 50micrograms/ml oral solution","00000000","00000000","00000000","","IMRD"
"99347979","Digoxin 50micrograms/ml oral solution","02010100","00000000","00000000","C01AA05","IMRD"
"99348979","Digoxin 50micrograms/ml oral solution","02010100","00000000","00000000","C01AA05","IMRD"
"99357979","Digoxin 125microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"99360979","Digoxin 125microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"99365979","Digoxin 62.5microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"99496998","Digoxin 250microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"99629988","Digoxin 62.5microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"99629989","Digoxin 250microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"99629990","Digoxin 125microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"99630989","Digoxin 125microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"99643988","Digoxin 250microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"99643989","Digoxin 62.5microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
"99643990","Digoxin 125microgram tablets","02010100","00000000","00000000","C01AA05","IMRD"
