"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"2423","Digoxin62.5 microgInjectionInt.Infus","","","","","UHB"
"1602","Digoxin250 microgInjectionInt.Infus","","","","","UHB"
"3477","Digoxin80 microgInjectionInt.Infus","","","","","UHB"
"2191","Digoxin125 microgInjectionInt.Bolus","","","","","UHB"
"1361","Digoxin62.5 microgTabletOral","","","","","UHB"
"759","Digoxin500 microgTabletOral","","","","","UHB"
"1762","Digoxin75 microgInjectionInt.Infus","","","","","UHB"
"1588","Digoxin125 microgInjectionInt.Infus","","","","","UHB"
"653","Digoxin500 microgInjectionInt.Bolus","","","","","UHB"
"1390","Digoxin187.5 microgTabletOral","","","","","UHB"
"1087","Digoxin125 microgElixirNasogas.","","","","","UHB"
"762","Digoxin125 microgTabletOral","","","","","UHB"
"3562","Digoxin1000 microgInjectionInt.Infus","","","","","UHB"
"1736","Digoxin0 microgInjectionInt.Infus","","","","","UHB"
"4082","Digoxin125 microgTabletNasogas.","","","","","UHB"
"3489","Digoxin62.5 microgElixirOral","","","","","UHB"
"4081","Digoxin50 microgElixirNasogas.","","","","","UHB"
"651","Digoxin500 microgInjectionInt.Infus","","","","","UHB"
"2295","Digoxin375 microgTabletOral","","","","","UHB"
"2422","Digoxin500 microgDrug infusion","","","","","UHB"
"3305","Digoxin100 microgElixirNasogas.","","","","","UHB"
"1945","Digoxin0 microgTabletOral","","","","","UHB"
"2500","Digoxin62.5 microgTabletNasogas.","","","","","UHB"
"1813","Digoxin250 microgTabletOral","","","","","UHB"
"1948","Digoxin150 microgInjectionIV","","","","","UHB"
