"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"47353","Rivaroxaban 15mg tablets Rivaroxaban 15mg Tablet Oral","00000000","","","","CPRD_GOLD"
"58594","Eliquis 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd) Apixaban 5mg Tablet Oral","02080201","","","","CPRD_GOLD"
"56640","Xarelto 15mg tablets (Bayer Plc) Rivaroxaban 15mg Tablet Oral","02080201","","","","CPRD_GOLD"
"56289","Xarelto 20mg tablets (Bayer Plc) Rivaroxaban 20mg Tablet Oral","02080201","","","","CPRD_GOLD"
"72120","Lixiana 15mg tablets (Daiichi Sankyo UK Ltd) Edoxaban tosilate 15mg Tablet Oral","02080201","","","","CPRD_GOLD"
"42474","Pradaxa 75mg capsules (Boehringer Ingelheim Ltd) Dabigatran etexilate mesilate 75mg Capsule Oral","02080201","","","","CPRD_GOLD"
"47925","Xarelto 20mg tablets (Bayer Plc) Rivaroxaban 20mg Tablet Oral","00000000","","","","CPRD_GOLD"
"71303","Rivaroxaban 15mg tablets and Rivaroxaban 20mg tablets   Not applicable Route of administration not applicable","02080201","","","","CPRD_GOLD"
"64678","Edoxaban 60mg tablets Edoxaban tosilate 60mg Tablet Oral","02080201","","","","CPRD_GOLD"
"54451","Rivaroxaban 20mg tablets Rivaroxaban 20mg Tablet Oral","02080201","","","","CPRD_GOLD"
"48966","Rivaroxaban 15mg tablets Rivaroxaban 15mg Tablet Oral","02080201","","","","CPRD_GOLD"
"47566","Apixaban 2.5mg tablets Apixaban 2.5mg Tablet Oral","02080201","","","","CPRD_GOLD"
"65247","Edoxaban 30mg tablets Edoxaban tosilate 30mg Tablet Oral","02080201","","","","CPRD_GOLD"
"47207","Rivaroxaban 20mg tablets Rivaroxaban 20mg Tablet Oral","00000000","","","","CPRD_GOLD"
"53740","Eliquis 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd) Apixaban 2.5mg Tablet Oral","02080201","","","","CPRD_GOLD"
"46678","Pradaxa 150mg capsules (Boehringer Ingelheim Ltd) Dabigatran etexilate mesilate 150mg Capsule Oral","02080201","","","","CPRD_GOLD"
"39444","Dabigatran etexilate 110mg capsules Dabigatran etexilate mesilate 110mg Capsule Oral","02080201","","","","CPRD_GOLD"
"65876","Edoxaban 15mg tablets Edoxaban tosilate 15mg Tablet Oral","02080201","","","","CPRD_GOLD"
"39639","Xarelto 10mg tablets (Bayer Plc) Rivaroxaban 10mg Tablet Oral","02080201","","","","CPRD_GOLD"
"66529","Lixiana 30mg tablets (Daiichi Sankyo UK Ltd) Edoxaban tosilate 30mg Tablet Oral","02080201","","","","CPRD_GOLD"
"39755","Pradaxa 110mg capsules (Boehringer Ingelheim Ltd) Dabigatran etexilate mesilate 110mg Capsule Oral","02080201","","","","CPRD_GOLD"
"46632","Dabigatran etexilate 150mg capsules Dabigatran etexilate mesilate 150mg Capsule Oral","02080201","","","","CPRD_GOLD"
"65850","Lixiana 60mg tablets (Daiichi Sankyo UK Ltd) Edoxaban tosilate 60mg Tablet Oral","02080201","","","","CPRD_GOLD"
"39119","Rivaroxaban 10mg tablets Rivaroxaban 10mg Tablet Oral","02080201","","","","CPRD_GOLD"
"64500","Xarelto 2.5mg tablets (Bayer Plc) Rivaroxaban 2.5mg Tablet Oral","02080201","","","","CPRD_GOLD"
"62150","Rivaroxaban 2.5mg tablets Rivaroxaban 2.5mg Tablet Oral","02080201","","","","CPRD_GOLD"
"48134","Xarelto 15mg tablets (Bayer Plc) Rivaroxaban 15mg Tablet Oral","00000000","","","","CPRD_GOLD"
"54066","Apixaban 5mg tablets Apixaban 5mg Tablet Oral","02080201","","","","CPRD_GOLD"
"39503","Dabigatran etexilate 75mg capsules Dabigatran etexilate mesilate 75mg Capsule Oral","02080201","","","","CPRD_GOLD"
