"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"2166","Rivaroxaban10 mgTabletOral","","","","","UHB"
"1460","Dabigatran110 mgCapsuleOral","","","","","UHB"
"1930","Rivaroxaban15 mgTabletOral","","","","","UHB"
"664","Apixaban2.5 mgTabletOral","","","","","UHB"
"2209","Edoxaban60 mgTabletOral","","","","","UHB"
"648","Apixaban5 mgTabletOral","","","","","UHB"
"119","Apixaban10 mgTabletOral","","","","","UHB"
"1904","Rivaroxaban20 mgTabletOral","","","","","UHB"
"2172","Edoxaban30 mgTabletOral","","","","","UHB"
"2956",".apixaban2.5 mgTabletOral","","","","","UHB"
"4608","Rivaroxaban20 mgTablet","","","","","UHB"
