"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"73491","Fenofibrate micronised 267mg capsules (A A H Pharmaceuticals Ltd) Fenofibrate micronised 267mg Capsule Oral","02120300","","","","CPRD_GOLD"
"3159","Fenofibrate 200mg capsules Fenofibrate 200mg Capsule Oral","02120300","","","","CPRD_GOLD"
"70950","Fenofibrate micronised 200mg capsules (Waymade Healthcare Plc) Fenofibrate micronised 200mg Capsule Oral","02120300","","","","CPRD_GOLD"
"2435","Lipantil 100mg Capsule (Fournier Pharmaceuticals Ltd) Fenofibrate 100mg Capsule Oral","02120300","","","","CPRD_GOLD"
"79242","Fenofibrate micronised 67mg capsules (A A H Pharmaceuticals Ltd) Fenofibrate micronised 67mg Capsule Oral","02120300","","","","CPRD_GOLD"
"63737","Fenofibrate micronised 267mg capsules (Sigma Pharmaceuticals Plc) Fenofibrate micronised 267mg Capsule Oral","02120300","","","","CPRD_GOLD"
"70486","Cholib 145mg/40mg tablets (Mylan) Simvastatin/Fenofibrate 40mg + 145mg Tablet Oral","02120300","02120400","","","CPRD_GOLD"
"67157","Fenofibrate micronised 200mg capsules (Phoenix Healthcare Distribution Ltd) Fenofibrate micronised 200mg Capsule Oral","02120300","","","","CPRD_GOLD"
"4928","Lipantil Micro 200 capsules (Mylan) Fenofibrate micronised 200mg Capsule Oral","02120300","","","","CPRD_GOLD"
"4920","Fenofibrate micronised 200mg capsules Fenofibrate micronised 200mg Capsule Oral","02120300","","","","CPRD_GOLD"
"57219","Fenofibrate micronised 200mg capsules (Sandoz Ltd) Fenofibrate micronised 200mg Capsule Oral","02120300","","","","CPRD_GOLD"
"50071","Fenofibrate 160mg Tablet (Teva UK Ltd) Fenofibrate micronised 160mg Tablet Oral","02120300","","","","CPRD_GOLD"
"9639","Fenofibrate micronised 160mg tablets Fenofibrate micronised 160mg Tablet Oral","02120300","","","","CPRD_GOLD"
"67329","Lipantil Micro 267 capsules (DE Pharmaceuticals) Fenofibrate micronised 267mg Capsule Oral","02120300","","","","CPRD_GOLD"
"41396","Fenofibrate micronised 200mg capsules (A A H Pharmaceuticals Ltd) Fenofibrate micronised 200mg Capsule Oral","02120300","","","","CPRD_GOLD"
"9491","Fenofibrate micronised 67mg capsules Fenofibrate micronised 67mg Capsule Oral","02120300","","","","CPRD_GOLD"
"9716","Supralip 160mg tablets (Mylan) Fenofibrate micronised 160mg Tablet Oral","02120300","","","","CPRD_GOLD"
"47935","Fenofibrate 200mg Capsule (Teva UK Ltd) Fenofibrate micronised 200mg Capsule Oral","02120300","","","","CPRD_GOLD"
"1217","Lipantil micro 200 200mg Capsule (Fournier Pharmaceuticals Ltd) Fenofibrate micronised 200mg Capsule Oral","02120300","","","","CPRD_GOLD"
"7540","Lipantil Micro 267 capsules (Mylan) Fenofibrate micronised 267mg Capsule Oral","02120300","","","","CPRD_GOLD"
"66780","Fenofibrate 145mg / Simvastatin 20mg tablets Fenofibrate/Simvastatin 145mg + 20mg Tablet Oral","02120300","02120400","","","CPRD_GOLD"
"1215","Fenofibrate 100mg Capsule Fenofibrate 100mg Capsule Oral","02120300","","","","CPRD_GOLD"
"64984","Fenofibrate micronised 160mg tablets (Phoenix Healthcare Distribution Ltd) Fenofibrate micronised 160mg Tablet Oral","02120300","","","","CPRD_GOLD"
"60788","Fenofibrate micronised 267mg capsules (Zentiva) Fenofibrate micronised 267mg Capsule Oral","02120300","","","","CPRD_GOLD"
"73384","Fenofibrate micronised 200mg capsules (DE Pharmaceuticals) Fenofibrate micronised 200mg Capsule Oral","02120300","","","","CPRD_GOLD"
"14379","Lipantil Micro 67 capsules (Mylan) Fenofibrate micronised 67mg Capsule Oral","02120300","","","","CPRD_GOLD"
"74825","Lipantil Micro 200 capsules (Waymade Healthcare Plc) Fenofibrate micronised 200mg Capsule Oral","02120300","","","","CPRD_GOLD"
"76167","Lipantil Micro 200 capsules (DE Pharmaceuticals) Fenofibrate micronised 200mg Capsule Oral","02120300","","","","CPRD_GOLD"
"64933","Fenofibrate micronised 267mg capsules (Ranbaxy (UK) Ltd) Fenofibrate micronised 267mg Capsule Oral","02120300","","","","CPRD_GOLD"
"72092","Fenofibrate micronised 160mg tablets (Waymade Healthcare Plc) Fenofibrate micronised 160mg Tablet Oral","02120300","","","","CPRD_GOLD"
"69528","Cholib 145mg/20mg tablets (Mylan) Fenofibrate/Simvastatin 145mg + 20mg Tablet Oral","02120300","02120400","","","CPRD_GOLD"
"65572","Fenofibrate micronised 160mg tablets (Genus Pharmaceuticals Ltd) Fenofibrate micronised 160mg Tablet Oral","02120300","","","","CPRD_GOLD"
"31783","Fenogal 200mg capsules (Genus Pharmaceuticals Ltd) Fenofibrate 200mg Capsule Oral","02120300","","","","CPRD_GOLD"
