"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"18092978","Promethazine hydrochloride 25mg tablets","03040100","00000000","00000000","R06AD02","IMRD"
"18100978","Doxylamine 10mg / pyridoxine 10mg gastro-resistant tablets","00000000","00000000","00000000","","IMRD"
"18101978","Doxylamine 10mg / pyridoxine 10mg gastro-resistant tablets","00000000","00000000","00000000","","IMRD"
"18577978","Hydroxyzine 10mg/5ml oral suspension","03040100","04010200","00000000","N05BB01","IMRD"
"18607978","Dimenhydrinate 50mg tablets","03040102","00000000","00000000","","IMRD"
"24186978","Hydroxyzine 10mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"52691979","Cyclizine 50mg tablets","04060000","00000000","00000000","R06AE03","IMRD"
"55741978","Orphenadrine 50mg tablets","04090200","00000000","00000000","N04AB02","IMRD"
"57819979","Cyclizine 50mg tablets","04060000","00000000","00000000","R06AE03","IMRD"
"58083979","Cyclizine 50mg tablets","04060000","00000000","00000000","R06AE03","IMRD"
"60700979","Phenergan 25mg tablets","04010100","00000000","00000000","","IMRD"
"63197979","Cyclizine 50mg suppositories","00000000","00000000","00000000","","IMRD"
"63734979","Cyclizine 25mg suppositories","00000000","00000000","00000000","","IMRD"
"65882979","Promethazine 25mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"65884979","Promethazine 25mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"67591979","Hydroxyzine 25mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"67593979","Hydroxyzine 20mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"67595979","Hydroxyzine 2.5mg/5ml oral solution","03040102","00000000","00000000","","IMRD"
"69877979","Cyclizine 5mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"69879979","Cyclizine 5mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"69881979","Cyclizine 30mg/5ml oral suspension","04060000","00000000","00000000","","IMRD"
"69885979","Cyclizine 25mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"69897979","Cyclizine 12.5mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"69899979","Cyclizine 12.5mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"69901979","Cyclizine 10mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"69903979","Cyclizine 10mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"70408979","Alimemazine 5mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"79865979","Hydroxyzine 5mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"79867979","Hydroxyzine 5mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"80326979","Cyproheptadine 2mg/5ml oral suspension","03040100","00000000","00000000","R06AX02","IMRD"
"80344979","Cyclizine 50mg/5ml oral suspension","00000000","00000000","00000000","","IMRD"
"80346979","Cyclizine 50mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"82821998","Alimemazine 30mg/5ml oral solution","03040100","00000000","00000000","R06AD01","IMRD"
"82822998","Alimemazine 7.5mg/5ml oral solution","03040100","00000000","00000000","R06AD01","IMRD"
