"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"12196","Gabapentin 100mg capsules","","","","N03AX12","CEGEDIM"
"12197","Neurontin 100mg capsules (Upjohn UK Ltd)","","","","N03AX12","CEGEDIM"
"12198","Neurontin 100mg capsules (Upjohn UK Ltd) 100 capsule","","","","N03AX12","CEGEDIM"
"12205","Gabapentin 300mg capsules","","","","N03AX12","CEGEDIM"
"12206","Neurontin 300mg capsules (Upjohn UK Ltd)","","","","N03AX12","CEGEDIM"
"12207","Neurontin 300mg capsules (Upjohn UK Ltd) 100 capsule","","","","N03AX12","CEGEDIM"
"12214","Gabapentin 400mg capsules","","","","N03AX12","CEGEDIM"
"12215","Neurontin 400mg capsules (Upjohn UK Ltd)","","","","N03AX12","CEGEDIM"
"12216","Neurontin 400mg capsules (Upjohn UK Ltd) 100 capsule","","","","N03AX12","CEGEDIM"
"12234","Gabapentin 600mg tablets","","","","N03AX12","CEGEDIM"
"12235","Neurontin 600mg tablets (Upjohn UK Ltd)","","","","N03AX12","CEGEDIM"
"12236","Neurontin 600mg tablets (Upjohn UK Ltd) 100 tablet","","","","N03AX12","CEGEDIM"
"12239","Gabapentin 800mg tablets","","","","N03AX12","CEGEDIM"
"12240","Neurontin 800mg tablets (Upjohn UK Ltd)","","","","N03AX12","CEGEDIM"
"12241","Neurontin 800mg tablets (Upjohn UK Ltd) 100 tablet","","","","N03AX12","CEGEDIM"
"28826","Neurontin 300mg capsules (Upjohn UK Ltd) 40 capsule","","","","N03AX12","CEGEDIM"
"28827","Neurontin 600mg tablets (Upjohn UK Ltd) 10 tablet","","","","N03AX12","CEGEDIM"
"28834","Gabapentin 600mg tablets and Gabapentin 300mg capsules","","","","N03AX12","CEGEDIM"
"28835","Neurontin titration pack (Pfizer Ltd)","","","","N03AX12","CEGEDIM"
"28836","Neurontin titration pack (Pfizer Ltd) 1 pack1x (40 capsules + 10 tablets)","","","","N03AX12","CEGEDIM"
"35137","Neurontin 100mg capsules (Waymade Healthcare Plc)","","","","N03AX12","CEGEDIM"
"35138","Neurontin 100mg capsules (Waymade Healthcare Plc) 100 capsule","","","","N03AX12","CEGEDIM"
"35139","Neurontin 300mg capsules (Waymade Healthcare Plc)","","","","N03AX12","CEGEDIM"
"35140","Neurontin 300mg capsules (Waymade Healthcare Plc) 100 capsule","","","","N03AX12","CEGEDIM"
"35141","Neurontin 400mg capsules (Waymade Healthcare Plc)","","","","N03AX12","CEGEDIM"
"35142","Neurontin 400mg capsules (Waymade Healthcare Plc) 100 capsule","","","","N03AX12","CEGEDIM"
"35155","Neurontin 600mg tablets (Waymade Healthcare Plc)","","","","N03AX12","CEGEDIM"
"35156","Neurontin 600mg tablets (Waymade Healthcare Plc) 100 tablet","","","","N03AX12","CEGEDIM"
"35163","Neurontin 800mg tablets (Waymade Healthcare Plc)","","","","N03AX12","CEGEDIM"
"35164","Neurontin 800mg tablets (Waymade Healthcare Plc) 100 tablet","","","","N03AX12","CEGEDIM"
"35637","Gabapentin 300mg capsules (Dowelhurst Ltd)","","","","N03AX12","CEGEDIM"
