"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"620641000033115","Gabapentin 100mg capsules Capsule Oral Gabapentin 100.000mg","4080100","","","","CPRD_AURUM"
"958041000033112","Neurontin 100mg capsules (Upjohn UK Ltd) Capsule Oral Gabapentin 100.000mg","4080100","","","","CPRD_AURUM"
"958141000033111","Neurontin 300mg capsules (Upjohn UK Ltd) Capsule Oral Gabapentin 300.000mg","4080100","","","","CPRD_AURUM"
"620741000033112","Gabapentin 300mg capsules Capsule Oral Gabapentin 300.000mg","4080100","","","","CPRD_AURUM"
"620841000033119","Gabapentin 400mg capsules Capsule Oral Gabapentin 400.000mg","4080100","","","","CPRD_AURUM"
"958241000033116","Neurontin 400mg capsules (Upjohn UK Ltd) Capsule Oral Gabapentin 400.000mg","4080100","","","","CPRD_AURUM"
"2146141000033110","Neurontin 600mg tablets (Upjohn UK Ltd) Tablet Oral Gabapentin 600.000mg","4080100","","","","CPRD_AURUM"
"2145941000033118","Gabapentin 600mg tablets Tablet Oral Gabapentin 600.000mg","4080100","","","","CPRD_AURUM"
"2146041000033111","Gabapentin 800mg tablets Tablet Oral Gabapentin 800.000mg","4080100","","","","CPRD_AURUM"
"2146241000033115","Neurontin 800mg tablets (Upjohn UK Ltd) Tablet Oral Gabapentin 800.000mg","4080100","","","","CPRD_AURUM"
"2796241000033118","Gabapentin 250mg/5ml oral solution Oral solution Oral Gabapentin 50.000mg/1.000ml","","","","","CPRD_AURUM"
"2796341000033111","Neurontin 250mg/5ml oral solution (Imported (United States)) Oral solution  Gabapentin 50.000mg/1.000ml","","","","","CPRD_AURUM"
"5968141000033119","Gabapentin 100mg/5ml oral solution Oral solution Oral Gabapentin 20.000mg/1.000ml","","","","","CPRD_AURUM"
"5968241000033114","Gabapentin 100mg/5ml oral suspension Oral suspension Oral Gabapentin 20.000mg/1.000ml","","","","","CPRD_AURUM"
"5890841000033118","Gabapentin 250mg/5ml oral suspension Oral suspension Oral Gabapentin 50.000mg/1.000ml","","","","","CPRD_AURUM"
"5968541000033111","Gabapentin 300mg/5ml oral solution Oral solution Oral Gabapentin 60.000mg/1.000ml","","","","","CPRD_AURUM"
"5968641000033112","Gabapentin 300mg/5ml oral suspension Oral suspension Oral Gabapentin 60.000mg/1.000ml","","","","","CPRD_AURUM"
"5968441000033110","Gabapentin 200mg/5ml oral solution Oral solution Oral Gabapentin 40.000mg/1.000ml","","","","","CPRD_AURUM"
"5968341000033116","Gabapentin 200mg/5ml oral suspension Oral suspension Oral Gabapentin 40.000mg/1.000ml","","","","","CPRD_AURUM"
"8125341000033112","Gabapentin 500mg/5ml oral suspension Oral suspension Oral Gabapentin 100.000mg/1.000ml","","","","","CPRD_AURUM"
"5100341000033117","Gabapentin 400mg/5ml oral solution Oral solution Oral Gabapentin 80.000mg/1.000ml","","","","","CPRD_AURUM"
"5993441000033118","Gabapentin 400mg/5ml oral suspension Oral suspension Oral Gabapentin 80.000mg/1.000ml","","","","","CPRD_AURUM"
"8237041000033117","Gabapentin 50mg/ml oral solution sugar free Oral solution Oral Gabapentin 50.000mg/1.000ml","","","","","CPRD_AURUM"
"2914041000033111","Neurontin titration pack (Pfizer Ltd) Not applicable   ","4080100","","","","CPRD_AURUM"
"2913641000033119","Gabapentin 600mg tablets and Gabapentin 300mg capsules Not applicable Route of administration not applicable  ","4080100","","","","CPRD_AURUM"
