"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"19896978","Galzemic 4mg/ml oral solution","04110000","00000000","00000000","","IMRD"
"53097979","Galantamine 8mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"53099979","Galantamine 16mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"54761979","Galantamine 8mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"54762979","Galantamine 24mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"54763979","Galantamine 16mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"59248979","Galantamine 24mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"59249979","Galantamine 16mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"60403979","Galantamine 24mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"70165978","Galantamine 8mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"70166978","Galantamine 8mg modified-release capsules","00000000","00000000","00000000","","IMRD"
"70167978","Galantamine 24mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"70168978","Galantamine 24mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"70169978","Galantamine 16mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"70170978","Galantamine 16mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"78073978","Galantamine 8mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"78074978","Galantamine 24mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"78075978","Galantamine 16mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"78583979","Galantamine 24mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"81180998","Galantamine 24mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"81181998","Galantamine 16mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"81182998","Galantamine 8mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"86814998","Galantamine 24mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"86815998","Galantamine 16mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"86816998","Galantamine 8mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"86817998","Galantamine 24mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"86818998","Galantamine 16mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"86819998","Galantamine 8mg modified-release capsules","04110000","00000000","00000000","N06DA04","IMRD"
"88277998","Galantamine 20mg/5ml oral solution sugar free","04110000","00000000","00000000","N06DA04","IMRD"
"88483996","Galantamine 12mg tablets","04110000","00000000","00000000","N06DA04","IMRD"
"88483997","Galantamine 8mg tablets","04110000","00000000","00000000","N06DA04","IMRD"
"88483998","Galantamine 4mg tablets","04110000","00000000","00000000","N06DA04","IMRD"
"92457998","Galantamine 20mg/5ml oral solution sugar free","04110000","00000000","00000000","N06DA04","IMRD"
"92579996","Galantamine 12mg tablets","04110000","00000000","00000000","N06DA04","IMRD"
"92579997","Galantamine 8mg tablets","04110000","00000000","00000000","N06DA04","IMRD"
"92579998","Galantamine 4mg tablets","04110000","00000000","00000000","N06DA04","IMRD"
