"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"11857","Levothyroxine 25micrograms/5ml Oral suspension Levothyroxine Sodium Anhydrous 25micrograms/5ml Oral Suspension Oral","06020100","","","","CPRD_GOLD"
"57857","Levothyroxine sodium 76microgram / Liothyronine 18microgram tablets Levothyroxine sodium anhydrous/Liothyronine sodium 76microgram + 18microgram Tablet Oral","06020100","","","","CPRD_GOLD"
"58677","Armour Thyroid 60mg (1 grain) tablets (Imported (United States)) Levothyroxine sodium anhydrous/Liothyronine sodium 38microgram + 9microgram Tablet Oral","06020100","","","","CPRD_GOLD"
"34420","Levothyroxine sodium 100microgram tablets (A A H Pharmaceuticals Ltd) Levothyroxine sodium anhydrous 100microgram Tablet Oral","06020100","","","","CPRD_GOLD"
"51718","Levothyroxine sodium 100microgram tablets (Advanz Pharma) Levothyroxine sodium anhydrous 100microgram Tablet Oral","06020100","","","","CPRD_GOLD"
"37906","Levothyroxine sodium 250micrograms/5ml oral suspension Levothyroxine sodium anhydrous 50microgram/1ml Oral suspension Oral","06020100","","","","CPRD_GOLD"
"59541","Levothyroxine sodium 50microgram capsules Levothyroxine sodium anhydrous 50microgram Capsule Oral","06020100","","","","CPRD_GOLD"
"35998","Evotrox 50micrograms/5ml oral solution (Kappin Ltd) Levothyroxine sodium anhydrous 10microgram/1ml Oral solution Oral","06020100","","","","CPRD_GOLD"
"78823","Levothyroxine sodium 50micrograms/5ml oral solution sugar free (Teva UK Ltd) Levothyroxine sodium anhydrous 10microgram/1ml Oral solution Oral","06020100","","","","CPRD_GOLD"
"13","Levothyroxine sodium 50microgram tablets Levothyroxine sodium anhydrous 50microgram Tablet Oral","06020100","","","","CPRD_GOLD"
"61491","Nature-Throid 32.5mg (half grain) tablets (Imported (United States)) Liothyronine sodium/Levothyroxine sodium anhydrous 4.5microgram + 19microgram Tablet Oral","06020100","","","","CPRD_GOLD"
"45238","Levothyroxine 50microgram Tablet (Sigma Pharmaceuticals Plc) Levothyroxine sodium anhydrous 50microgram Tablet Oral","06020100","","","","CPRD_GOLD"
"18198","Levothyroxine 50micrograms/5ml Oral suspension Levothyroxine Sodium Anhydrous 50micrograms/5ml Oral Suspension Oral","06020100","","","","CPRD_GOLD"
"50190","Levothyroxine sodium 75microgram capsules Levothyroxine sodium anhydrous 75microgram Capsule Oral","06020100","","","","CPRD_GOLD"
"29466","Levothyroxine sodium 100microgram tablets (Actavis UK Ltd) Levothyroxine sodium anhydrous 100microgram Tablet Oral","06020100","","","","CPRD_GOLD"
"47318","Levothyroxine sodium 25microgram capsules Levothyroxine sodium anhydrous 25microgram Capsule Oral","06020100","","","","CPRD_GOLD"
"68608","Levothyroxine sodium 75microgram tablets Levothyroxine sodium anhydrous 75microgram Tablet Oral","06020100","","","","CPRD_GOLD"
"32075","Levothyroxine sodium 100microgram tablets (Mylan) Levothyroxine sodium anhydrous 100microgram Tablet Oral","06020100","","","","CPRD_GOLD"
"41413","Levothyroxine sodium 50microgram tablets (Almus Pharmaceuticals Ltd) Levothyroxine sodium anhydrous 50microgram Tablet Oral","06020100","","","","CPRD_GOLD"
