"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"2993","Levothyroxine SodiumTabletOral","","","","","UHB"
"2568","Levothyroxine Sodium62.5 microgTabletOral","","","","","UHB"
"3524","Levothyroxine Sodium50 microgOral SolutionOral","","","","","UHB"
"934","Levothyroxine Sodium50 microgTabletOral","","","","","UHB"
"407","Levothyroxine Sodium125 microgTabletOral","","","","","UHB"
"3259","Levothyroxine Sodium50 microgTabletGastrost.","","","","","UHB"
"666","Levothyroxine Sodium200 microgTabletOral","","","","","UHB"
"3745","Levothyroxine Sodium25 microgOral SolutionOral","","","","","UHB"
"925","Levothyroxine Sodium100 microgTabletOral","","","","","UHB"
"4553","Levothyroxine Sodium125-150 microgTabletOral","","","","","UHB"
"3475","Levothyroxine Sodium50 microgTabletNasogas.","","","","","UHB"
"2036","Levothyroxine Sodium25 microgTabletOral","","","","","UHB"
"3361","Levothyroxine Sodium50 microgOral SolutionGastrost.","","","","","UHB"
"927","Levothyroxine Sodium150 microgTabletOral","","","","","UHB"
"3722","Levothyroxine Sodium225 microgTabletOral","","","","","UHB"
"2774","Levothyroxine Sodium125 microgOral SolutionGastrost.","","","","","UHB"
"3703","Levothyroxine Sodium175 microgTabletOral","","","","","UHB"
"930","Levothyroxine Sodium75 microgTabletOral","","","","","UHB"
"4475","Levothyroxine Sodium125 microgOral SolutionOral","","","","","UHB"
