"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"25396","LITHIUM CHLORIDE 400 MG SOL    ","00000000","","","","CPRD_GOLD"
"3359","Priadel 200mg modified-release tablets (Essential Pharma M) Lithium carbonate 200mg Modified-release tablet Oral","04020300","","","","CPRD_GOLD"
"12402","Camcolit 250 tablets (Essential Pharma Ltd) Lithium carbonate 250mg Tablet Oral","04020300","","","","CPRD_GOLD"
"15660","LITHIUM 10.8 MMOLS/5MLS LIQ    ","00000000","","","","CPRD_GOLD"
"22018","Li-Liquid 509mg/5ml oral solution (Rosemont Pharmaceuticals Ltd) Lithium citrate 101.8mg/1ml Oral solution Oral","04020300","","","","CPRD_GOLD"
"8827","Lithium carbonate 300mg Modified-release tablet Lithium Carbonate 300mg Modified-Release Tablet Oral","04020300","","","","CPRD_GOLD"
"16250","Lithonate 400mg modified-release tablets (Teva UK Ltd) Lithium carbonate 400mg Modified-release tablet Oral","04020300","","","","CPRD_GOLD"
"13601","Lithium citrate 564mg modified-release tablets Lithium citrate 564mg Modified-release tablet Oral","00000000","","","","CPRD_GOLD"
"8041","Lithium carbonate 250mg tablets Lithium carbonate 250mg Tablet Oral","04020300","","","","CPRD_GOLD"
"1447","Lithium carbonate 400mg modified-release tablets Lithium carbonate 400mg Modified-release tablet Oral","04020300","","","","CPRD_GOLD"
"65301","Lithium carbonate 250mg tablets (Essential Pharma Ltd) Lithium carbonate 250mg Tablet Oral","04020300","","","","CPRD_GOLD"
"13654","Litarex 564mg modified-release tablets (Actavis UK Ltd) Lithium citrate 564mg Modified-release tablet Oral","00000000","","","","CPRD_GOLD"
"51401","Priadel 400mg modified-release tablets (Necessity Supplies Ltd) Lithium carbonate 400mg Modified-release tablet Oral","04020300","","","","CPRD_GOLD"
"14954","Lithium carbonate 450mg modified-release tablets Lithium carbonate 450mg Modified-release tablet Oral","04020300","","","","CPRD_GOLD"
"11491","Lithium citrate 520mg/5ml oral solution sugar free Lithium citrate 104mg/1ml Oral solution Oral","04020300","","","","CPRD_GOLD"
"10937","Lithium citrate 509mg/5ml oral solution Lithium citrate 101.8mg/1ml Oral solution Oral","04020300","","","","CPRD_GOLD"
"25344","Lithium carbonate 400mg Modified-release tablet (Approved Prescription Services Ltd) Lithium carbonate 400mg Modified-release tablet Oral","04020300","","","","CPRD_GOLD"
"65296","Lithium carbonate 250mg tablets (A A H Pharmaceuticals Ltd) Lithium carbonate 250mg Tablet Oral","04020300","","","","CPRD_GOLD"
"75360","Lithium chloride 1.5mmol/10ml solution for injection ampoules Lithium chloride .15mmol/1ml Solution for injection Intravenous","64110000","","","","CPRD_GOLD"
"872","Priadel 400mg modified-release tablets (Essential Pharma M) Lithium carbonate 400mg Modified-release tablet Oral","04020300","","","","CPRD_GOLD"
"65838","Lithium carbonate 400mg modified-release tablets (DE Pharmaceuticals) Lithium carbonate 400mg Modified-release tablet Oral","04020300","","","","CPRD_GOLD"
"56435","Lithium carbonate 200mg/5ml oral suspension Lithium carbonate 40mg/1ml Oral suspension Oral","04020300","","","","CPRD_GOLD"
"56427","Lithium citrate 509mg/5ml oral solution (Cubic Pharmaceuticals Ltd) Lithium citrate 101.8mg/1ml Oral solution Oral","04020300","","","","CPRD_GOLD"
"10809","Priadel 520mg/5ml liquid (Essential Pharma M) Lithium citrate 104mg/1ml Oral solution Oral","04020300","","","","CPRD_GOLD"
"66248","Lithium carbonate 400mg modified-release tablets (Ennogen Healthcare Ltd) Lithium carbonate 400mg Modified-release tablet Oral","04020300","","","","CPRD_GOLD"
"10292","LITHIUM 250 MG CAP    ","00000000","","","","CPRD_GOLD"
"12648","Lithium citrate 1.018g/5ml oral solution Lithium citrate 203.6mg/1ml Oral solution Oral","04020300","","","","CPRD_GOLD"
"53459","Priadel 400mg modified-release tablets (DE Pharmaceuticals) Lithium carbonate 400mg Modified-release tablet Oral","04020300","","","","CPRD_GOLD"
"63989","Lithium carbonate 400mg modified-release tablets (Niche Pharma Ltd) Lithium carbonate 400mg Modified-release tablet Oral","04020300","","","","CPRD_GOLD"
"760","Lithium carbonate 200mg modified-release tablets Lithium carbonate 200mg Modified-release tablet Oral","04020300","","","","CPRD_GOLD"
"3352","Liskonum 450mg modified-release tablets (Teofarma) Lithium carbonate 450mg Modified-release tablet Oral","04020300","","","","CPRD_GOLD"
"12403","Camcolit 400 modified-release tablets (Essential Pharma Ltd) Lithium carbonate 400mg Modified-release tablet Oral","04020300","","","","CPRD_GOLD"
"3358","PRIADEL 800 MG TAB    ","00000000","","","","CPRD_GOLD"
"68292","Lithium carbonate 400mg modified-release tablets (AM Distributions (Yorkshire) Ltd) Lithium carbonate 400mg Modified-release tablet Oral","04020300","","","","CPRD_GOLD"
"25345","Li-Liquid 1.018g/5ml oral solution (Rosemont Pharmaceuticals Ltd) Lithium citrate 203.6mg/1ml Oral solution Oral","04020300","","","","CPRD_GOLD"
"15388","Phasal 300mg Tablet (Lagap) Lithium Carbonate 300mg Tablet Oral","04020300","","","","CPRD_GOLD"
