"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"2102","Metformin 500mg tablets","","","","A10BA02","CEGEDIM"
"2103","Metformin 500mg tablets (A A H Pharmaceuticals Ltd)","","","","A10BA02","CEGEDIM"
"2104","Metformin 500mg tablets (A A H Pharmaceuticals Ltd) 500 tablet","","","","A10BA02","CEGEDIM"
"2105","Metformin 500mg tablets (A A H Pharmaceuticals Ltd) 28 tablet","","","","A10BA02","CEGEDIM"
"2106","Metformin 500mg tablets (A A H Pharmaceuticals Ltd) 84 tablet","","","","A10BA02","CEGEDIM"
"2112","Metformin 500mg tablets (Actavis UK Ltd)","","","","A10BA02","CEGEDIM"
"2113","Metformin 500mg tablets (Actavis UK Ltd) 28 tablet2 x 14 tablets","","","","A10BA02","CEGEDIM"
"2118","Metformin 500mg tablets (Actavis UK Ltd) 84 tablet6 x 14 tablets","","","","A10BA02","CEGEDIM"
"2121","Metformin 500mg tablets (Teva UK Ltd)","","","","A10BA02","CEGEDIM"
"2122","Metformin 500mg tablets (Teva UK Ltd) 28 tablet2 x 14 tablets","","","","A10BA02","CEGEDIM"
"2129","Metformin 500mg tablets (Mylan)","","","","A10BA02","CEGEDIM"
"2130","Metformin 500mg tablets (Mylan) 500 tablet","","","","A10BA02","CEGEDIM"
"2131","Metformin 500mg tablets (Mylan) 84 tablet4 x 21 tablets","","","","A10BA02","CEGEDIM"
"2136","Metformin 500mg tablets (Kent Pharmaceuticals Ltd)","","","","A10BA02","CEGEDIM"
"2137","Metformin 500mg tablets (Kent Pharmaceuticals Ltd) 500 tablet","","","","A10BA02","CEGEDIM"
"2138","Metformin 500mg tablets (Kent Pharmaceuticals Ltd) 84 tablet6 x 14 tablets","","","","A10BA02","CEGEDIM"
"2139","Metformin 500mg tablets (Sandoz Ltd)","","","","A10BA02","CEGEDIM"
"2140","Metformin 500mg tablets (Sandoz Ltd) 28 tablet","","","","A10BA02","CEGEDIM"
"2141","Glucophage 500mg tablets (Merck Serono Ltd)","","","","A10BA02","CEGEDIM"
"2142","Glucophage 500mg tablets (Merck Serono Ltd) 84 tablet4 x 21 tablets","","","","A10BA02","CEGEDIM"
"2146","Metformin 500mg tablets (Zentiva)","","","","A10BA02","CEGEDIM"
"2147","Metformin 500mg tablets (Zentiva) 84 tablet4 x 21 tablets","","","","A10BA02","CEGEDIM"
"2153","Metformin 500mg tablets (Alliance Healthcare (Distribution) Ltd)","","","","A10BA02","CEGEDIM"
"2154","Metformin 500mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet2 x 14 tablets","","","","A10BA02","CEGEDIM"
"2155","Metformin 500mg tablets (Alliance Healthcare (Distribution) Ltd) 500 tablet","","","","A10BA02","CEGEDIM"
"2162","Metformin 850mg tablets","","","","A10BA02","CEGEDIM"
"2163","Metformin 850mg tablets (A A H Pharmaceuticals Ltd)","","","","A10BA02","CEGEDIM"
"2164","Metformin 850mg tablets (A A H Pharmaceuticals Ltd) 300 tablet","","","","A10BA02","CEGEDIM"
"2165","Metformin 850mg tablets (A A H Pharmaceuticals Ltd) 56 tablet","","","","A10BA02","CEGEDIM"
"2170","Metformin 850mg tablets (Actavis UK Ltd)","","","","A10BA02","CEGEDIM"
"2171","Metformin 850mg tablets (Actavis UK Ltd) 56 tablet4 x 14 tablets","","","","A10BA02","CEGEDIM"
"2173","Metformin 850mg tablets (Teva UK Ltd)","","","","A10BA02","CEGEDIM"
"2174","Metformin 850mg tablets (Teva UK Ltd) 56 tablet4 x 14 tablets","","","","A10BA02","CEGEDIM"
"2175","Metformin 850mg tablets (Mylan)","","","","A10BA02","CEGEDIM"
"2176","Metformin 850mg tablets (Mylan) 300 tablet","","","","A10BA02","CEGEDIM"
"2177","Metformin 850mg tablets (Mylan) 56 tablet4 x 14 tablets","","","","A10BA02","CEGEDIM"
"2178","Metformin 850mg tablets (Kent Pharmaceuticals Ltd)","","","","A10BA02","CEGEDIM"
"2179","Metformin 850mg tablets (Kent Pharmaceuticals Ltd) 300 tablet","","","","A10BA02","CEGEDIM"
"2182","Metformin 850mg tablets (Kent Pharmaceuticals Ltd) 56 tablet","","","","A10BA02","CEGEDIM"
"2183","Metformin 850mg tablets (Sandoz Ltd)","","","","A10BA02","CEGEDIM"
"2184","Metformin 850mg tablets (Sandoz Ltd) 56 tablet","","","","A10BA02","CEGEDIM"
"2185","Glucophage 850mg tablets (Merck Serono Ltd)","","","","A10BA02","CEGEDIM"
"2186","Glucophage 850mg tablets (Merck Serono Ltd) 56 tablet4 x 14 tablets","","","","A10BA02","CEGEDIM"
"2233","Metformin 850mg tablets (Zentiva)","","","","A10BA02","CEGEDIM"
"2234","Metformin 850mg tablets (Zentiva) 56 tablet4 x 14 tablets","","","","A10BA02","CEGEDIM"
"2235","Metformin 850mg tablets (Alliance Healthcare (Distribution) Ltd)","","","","A10BA02","CEGEDIM"
"2236","Metformin 850mg tablets (Alliance Healthcare (Distribution) Ltd) 300 tablet","","","","A10BA02","CEGEDIM"
"2237","Metformin 850mg tablets (Alliance Healthcare (Distribution) Ltd) 56 tablet4 x 14 tablets","","","","A10BA02","CEGEDIM"
"5499","Glyformin 500mg tablets (Dr Reddy's Laboratories (UK) Ltd)","","","","A10BA02","CEGEDIM"
"5500","Glyformin 500mg tablets (Dr Reddy's Laboratories (UK) Ltd) 500 tablet","","","","A10BA02","CEGEDIM"
"5817","Metformin 500mg tablets (Kent Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","A10BA02","CEGEDIM"
"26641","Metformin 500mg tablets (Alliance Healthcare (Distribution) Ltd) 84 tablet6 x 14 tablets","","","","A10BA02","CEGEDIM"
"34391","Rosiglitazone 1mg / Metformin 500mg tablets","","","","A10BD03","CEGEDIM"
"34392","Avandamet 1mg/500mg tablets (GlaxoSmithKline UK Ltd)","","","","A10BD03","CEGEDIM"
"34393","Avandamet 1mg/500mg tablets (GlaxoSmithKline UK Ltd) 112 tablet4 x 28 tablets","","","","A10BD03","CEGEDIM"
"34397","Rosiglitazone 2mg / Metformin 500mg tablets","","","","A10BD03","CEGEDIM"
"34398","Avandamet 2mg/500mg tablets (GlaxoSmithKline UK Ltd)","","","","A10BD03","CEGEDIM"
"34399","Avandamet 2mg/500mg tablets (GlaxoSmithKline UK Ltd) 112 tablet4 x 28 tablets","","","","A10BD03","CEGEDIM"
"50451","Metformin 500mg tablets (IVAX Pharmaceuticals UK Ltd)","","","","A10BA02","CEGEDIM"
"50452","Metformin 500mg tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet2 x 14 tablets","","","","A10BA02","CEGEDIM"
"50516","Metformin 500mg tablets (IVAX Pharmaceuticals UK Ltd) 84 tablet6 x 14 tablets","","","","A10BA02","CEGEDIM"
"50570","Metformin 850mg tablets (IVAX Pharmaceuticals UK Ltd)","","","","A10BA02","CEGEDIM"
"50571","Metformin 850mg tablets (IVAX Pharmaceuticals UK Ltd) 56 tablet4 x 14 tablets","","","","A10BA02","CEGEDIM"
