"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"2974941000033118","Zispin Orodispersible tablets 30 mg    ","","","","","CPRD_AURUM"
"919641000033115","Mirtazapine 30mg tablets Tablet Oral Mirtazapine 30.000mg","","","","","CPRD_AURUM"
"1558041000033118","Zispin 30mg tablets (Organon Laboratories Ltd) Tablet Oral Mirtazapine 30.000mg","","","","","CPRD_AURUM"
"3256741000033118","Mirtazapine 15mg tablets Tablet Oral Mirtazapine 15.000mg","","","","","CPRD_AURUM"
"3029641000033112","Mirtazapine 15mg orodispersible tablets Orodispersible tablet Oral Mirtazapine 15.000mg","4030400","","","","CPRD_AURUM"
"3029841000033113","Zispin SolTab 15mg orodispersible tablets (Merck Sharp & Dohme Ltd) Orodispersible tablet Oral Mirtazapine 15.000mg","4030400","","","","CPRD_AURUM"
"3078541000033115","Zispin SolTab 30mg orodispersible tablets (Merck Sharp & Dohme Ltd) Orodispersible tablet Oral Mirtazapine 30.000mg","4030400","","","","CPRD_AURUM"
"2974841000033114","Mirtazapine 30mg orodispersible tablets Orodispersible tablet Oral Mirtazapine 30.000mg","4030400","","","","CPRD_AURUM"
"3256841000033111","Mirtazapine 45mg tablets Tablet Oral Mirtazapine 45.000mg","","","","","CPRD_AURUM"
"3029941000033117","Zispin SolTab 45mg orodispersible tablets (Merck Sharp & Dohme Ltd) Orodispersible tablet Oral Mirtazapine 45.000mg","4030400","","","","CPRD_AURUM"
"3029741000033115","Mirtazapine 45mg orodispersible tablets Orodispersible tablet Oral Mirtazapine 45.000mg","4030400","","","","CPRD_AURUM"
"3058741000033113","Mirtazapine 15mg/ml oral solution sugar free Oral solution Oral Mirtazapine 15.000mg/1.000ml","4030400","","","","CPRD_AURUM"
"13746241000033116","Mirtazapine 15mg orodispersible tablets (Imported) Mirtazapine 15mg orodispersible tablets Orodispersible tablet  Mirtazapine 15.000mg","","","","","CPRD_AURUM"
"13746341000033114","Mirtazapine 45mg orodispersible tablets (Imported) Mirtazapine 45mg orodispersible tablets Orodispersible tablet  Mirtazapine 45.000mg","","","","","CPRD_AURUM"
