"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"5101441000033119","Flixonase Allergy Nasal spray 50 micrograms/dose    ","","","","","CPRD_AURUM"
"134041000033118","Betamethasone Sodium Phosphate Nose drops 0.1 %    ","","","","","CPRD_AURUM"
"4158741000033117","Beclometasone Aqueous nasal spray 50 micrograms/dose, 180 doses    ","","","","","CPRD_AURUM"
"133841000033111","Beconase Nasal spray 50 micrograms/dose    ","","","","","CPRD_AURUM"
"169541000033119","Budesonide Nasal aerosol 50 micrograms/puff    ","","","","","CPRD_AURUM"
"5134941000033116","Rhinocort Aqua Aqueous nasal spray 32 micrograms/dose    ","","","","","CPRD_AURUM"
"1168841000033111","Rhinocort Nasal aerosol 50 micrograms/puff    ","","","","","CPRD_AURUM"
"3229641000033118","Betamethasone 0.1% / Neomycin 0.5% ear/eye/nose drops Ear/eye/nose drops solution Auricular/ Nasal/ Ocular Betamethasone sodium phosphate/ Neomycin sulfate 1.000mg/1.000ml + 5.000mg/1.000ml","12010100","","","","CPRD_AURUM"
"2925441000033111","Vistamethasone N ear/eye/nose drops (Martindale Pharmaceuticals Ltd) Ear/eye/nose drops solution Auricular/ Nasal/ Ocular Betamethasone sodium phosphate/ Neomycin sulfate 1.000mg/1.000ml + 5.000mg/1.000ml","","","","","CPRD_AURUM"
"127241000033118","Betnesol-N ear/eye/nose drops (RPH Pharmaceuticals AB) Ear/eye/nose drops solution Auricular/ Nasal/ Ocular Betamethasone sodium phosphate/ Neomycin sulfate 1.000mg/1.000ml + 5.000mg/1.000ml","12020300","","","","CPRD_AURUM"
"3085641000033118","Beclometasone 50micrograms/dose nasal spray Spray Nasal Beclometasone dipropionate 50.000microgram/1.000dose","12020100","","","","CPRD_AURUM"
"4158841000033110","Beconase Hayfever 50micrograms/dose nasal spray (Omega Pharma Ltd) Spray Nasal Beclometasone dipropionate 50.000microgram/1.000dose","12020100","","","","CPRD_AURUM"
"133941000033115","Beconase Aqueous 50micrograms/dose nasal spray (GlaxoSmithKline UK Ltd) Spray Nasal Beclometasone dipropionate 50.000microgram/1.000dose","12020100","","","","CPRD_AURUM"
"948441000033117","Nasobec Aqueous 50micrograms/dose nasal spray (Teva UK Ltd) Spray Nasal Beclometasone dipropionate 50.000microgram/1.000dose","12020100","","","","CPRD_AURUM"
"2916141000033116","Rino Clenil 50micrograms/dose nasal spray (Chiesi Ltd) Spray Nasal Beclometasone dipropionate 50.000microgram/1.000dose","","","","","CPRD_AURUM"
"1401741000033111","Syntaris 0.025% nasal spray (Teva UK Ltd) Spray Nasal Flunisolide 25.000microgram/1.000actuation","","","","","CPRD_AURUM"
