"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"6546","Rhinocort Aqua 64 nasal spray (Johnson & Johnson Ltd) Budesonide 64microgram/1dose Spray Nasal","12020101","","","","CPRD_GOLD"
"4932","Betnesol -n Nasal drops (UCB Pharma Ltd) Neomycin Sulphate/Betamethasone Sodium Phosphate  Nasal Drops Nasal","11030100","11040100","","","CPRD_GOLD"
"51799","Beconase Aqueous 50micrograms/dose nasal spray (DE Pharmaceuticals) Beclometasone dipropionate 50microgram/1dose Spray Nasal","12020101","","","","CPRD_GOLD"
"70969","Flixonase 50micrograms/dose aqueous nasal spray (Sigma Pharmaceuticals Plc) Fluticasone propionate 50microgram/1dose Spray Nasal","12020101","","","","CPRD_GOLD"
"75909","Syntaris 0.025% nasal spray (Dowelhurst Ltd) Flunisolide 25microgram/1actuation Spray Nasal","12020101","","","","CPRD_GOLD"
"65598","Boots Pharmacy Hayfever and Allergy 50micrograms/dose nasal spray (The Boots Company Plc) Fluticasone propionate 50microgram/1dose Spray Nasal","12020101","","","","CPRD_GOLD"
"60287","Mometasone 50micrograms/dose nasal spray (Sandoz Ltd) Mometasone furoate 50microgram/1dose Spray Nasal","12020101","","","","CPRD_GOLD"
"34875","Budesonide 100micrograms/dose nasal spray (Mylan) Budesonide 100microgram/1dose Spray Nasal","12020100","","","","CPRD_GOLD"
"79987","Beclometasone 50micrograms/dose nasal spray (Mawdsley-Brooks & Company Ltd) Beclometasone dipropionate 50microgram/1dose Spray Nasal","12020101","","","","CPRD_GOLD"
"2150","Syntaris 25microgram/actuation Nasal spray (Roche Products Ltd) Flunisolide 25microgram/1actuation Spray Nasal","12020100","","","","CPRD_GOLD"
"18898","Vistamethasone N ear/eye/nose drops (Martindale Pharmaceuticals Ltd) Betamethasone sodium phosphate/Neomycin sulfate 1mg/1ml + 5mg/1ml Ear/eye/nose drops solution Ocular/Auricular/Nasal","11040000","","","","CPRD_GOLD"
"40156","Beclometasone hayfever 50microgram/actuation Nasal Spray (Dominion Pharma) Beclometasone dipropionate 50microgram/1dose Spray Nasal","12020100","","","","CPRD_GOLD"
"25035","Budesonide 50micrograms.actuation nasal spray Budesonide 50micrograms/actuation Nasal Spray Nasal","12020100","","","","CPRD_GOLD"
"76646","Benacort 64micrograms nasal spray (McNeil Products Ltd) Budesonide 64microgram/1dose Spray Nasal","12020101","","","","CPRD_GOLD"
"1095","Nasonex 50micrograms/dose nasal spray (Merck Sharp & Dohme Ltd) Mometasone furoate 50microgram/1dose Spray Nasal","12020101","","","","CPRD_GOLD"
"1799","Triamcinolone 55micrograms/dose nasal spray Triamcinolone acetonide 55microgram/1dose Spray Nasal","12020101","","","","CPRD_GOLD"
"15308","Vivabec 50micrograms/dose nasal spray (Lexon (UK) Ltd) Beclometasone dipropionate 50microgram/1dose Spray Nasal","12020101","","","","CPRD_GOLD"
"43066","Betnesol-N ear/eye/nose drops (RPH Pharmaceuticals AB) Betamethasone sodium phosphate/Neomycin sulfate 1mg/1ml + 5mg/1ml Ear/eye/nose drops solution Ocular/Auricular/Nasal","11030100","11040100","12010151","","CPRD_GOLD"
