"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"1808","Dymista 50/137 (Fluticasone + Azelastine)1 SprayNasal SprayNOSTB","","","","","UHB"
"4872","beconase nasal spray 2 SprayNasal SprayNOSTB","","","","","UHB"
"922","Mometasone Furoate2 SprayNasal SprayNOSTB","","","","","UHB"
"2169","Beclometasone100 microgNasal SprayNOSTB","","","","","UHB"
"4251","Beclometasone50 microgNasal SprayNOSTB","","","","","UHB"
"4533","fluticasone furoate 27.5mcg nasal spray (avamys)1 SprayNasal SprayNOSTB","","","","","UHB"
"4117","Mometasone Furoate1 SprayNasal SprayNOSTB","","","","","UHB"
"4798","BeclometasoneNasal SprayNOSTB","","","","","UHB"
"4630","avamys 27.5mcg nasal spray2 DoseNasal SolutionNOSTB","","","","","UHB"
"4482","avamys 27.5mcg/dose nasal spray1 DoseNasal SprayNOSTB","","","","","UHB"
"3197","Betamethasone Sodium Phosphate2 dropDropsNOSTB","","","","","UHB"
"4518","avamys 27.5mcg/dose nasal spray1 SprayNasal SolutionNOSTB","","","","","UHB"
"4702","avamys 27.5mcg/dose nasal spray2 SprayNasal SolutionNOSTB","","","","","UHB"
