"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"1132041000033113","Prednisone Tablets 1 mg    ","","","","","CPRD_AURUM"
"1128341000033110","Prednisolone Suppositories 5 mg    ","","","","","CPRD_AURUM"
"2509341000033118","*Prednisolone Tablets    ","","","","","CPRD_AURUM"
"2509741000033117","*Prednisolone Pills (Sucrose)    ","","","","","CPRD_AURUM"
"1132141000033112","Prednisone Tablets 5 mg    ","","","","","CPRD_AURUM"
"10988941000033111","Prednisolone Dompe Oral solution 5 mg/5 ml unit dose    ","","","","","CPRD_AURUM"
"1130841000033117","Prednisolone Steaglate Tablets 6.65 mg    ","","","","","CPRD_AURUM"
"898541000033119","Methylprednisolone 100mg tablets Tablet Oral Methylprednisolone 100.000mg","6030200","","","","CPRD_AURUM"
"898441000033115","Medrone 100mg tablets (Pfizer Ltd) Tablet Oral Methylprednisolone 100.000mg","8020200","9010300","9010400","","CPRD_AURUM"
"899741000033118","Medrone 2mg tablets (Pfizer Ltd) Tablet Oral Methylprednisolone 2.000mg","8020200","9010400","","","CPRD_AURUM"
"904141000033111","Methylprednisolone 2mg tablets Tablet Oral Methylprednisolone 2.000mg","8020200","","","","CPRD_AURUM"
"904241000033116","Methylprednisolone 4mg tablets Tablet Oral Methylprednisolone 4.000mg","8020200","","","","CPRD_AURUM"
"899841000033111","Medrone 4mg tablets (Pfizer Ltd) Tablet Oral Methylprednisolone 4.000mg","8020200","9010400","","","CPRD_AURUM"
"899641000033110","Medrone 16mg tablets (Pfizer Ltd) Tablet Oral Methylprednisolone 16.000mg","8020200","9010400","","","CPRD_AURUM"
"903141000033113","Methylprednisolone 16mg tablets Tablet Oral Methylprednisolone 16.000mg","8020200","","","","CPRD_AURUM"
"1131741000033117","Prednisolone 1mg tablets Tablet Oral Prednisolone 1.000mg","1050000","","","","CPRD_AURUM"
"1131941000033119","Prednisolone 5mg tablets Tablet Oral Prednisolone 5.000mg","6030200","","","","CPRD_AURUM"
"10212541000033119","Pevanti 5mg tablets (Advanz Pharma) Tablet Oral Prednisolone 5.000mg","","","","","CPRD_AURUM"
"1114241000033116","Prednisolone 2.5mg gastro-resistant tablets Gastro-resistant tablet Oral Prednisolone 2.500mg","1050000","","","","CPRD_AURUM"
"431541000033114","Deltacortril 2.5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd) Gastro-resistant tablet Oral Prednisolone 2.500mg","3020000","8020200","10010201","","CPRD_AURUM"
"8494441000033110","Dilacort 2.5mg gastro-resistant tablets (Crescent Pharma Ltd) Gastro-resistant tablet Oral Prednisolone 2.500mg","","","","","CPRD_AURUM"
"431641000033110","Deltacortril 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd) Gastro-resistant tablet Oral Prednisolone 5.000mg","3020000","8020200","10010201","","CPRD_AURUM"
"1114341000033114","Prednisolone 5mg gastro-resistant tablets Gastro-resistant tablet Oral Prednisolone 5.000mg","6030200","","","","CPRD_AURUM"
"8494541000033111","Dilacort 5mg gastro-resistant tablets (Crescent Pharma Ltd) Gastro-resistant tablet Oral Prednisolone 5.000mg","","","","","CPRD_AURUM"
"1127341000033111","Prednisolone 5mg soluble tablets Soluble tablet Oral Prednisolone sodium phosphate 5.000mg","6030200","","","","CPRD_AURUM"
"1130741000033110","Prednisolone 25mg tablets Tablet Oral Prednisolone 25.000mg","6030200","","","","CPRD_AURUM"
"10212941000033113","Pevanti 25mg tablets (Advanz Pharma) Tablet Oral Prednisolone 25.000mg","","","","","CPRD_AURUM"
"9119141000033118","Prednisolone 15mg/5ml oral solution Oral solution Oral Prednisolone 3.000mg/1.000ml","","","","","CPRD_AURUM"
"5990141000033115","Prednisone 1mg modified-release tablets Modified-release tablet Oral Prednisone 1.000mg","6030200","","","","CPRD_AURUM"
"5990641000033113","Lodotra 1mg modified-release tablets (Napp Pharmaceuticals Ltd) Modified-release tablet Oral Prednisone 1.000mg","6030200","","","","CPRD_AURUM"
"5990241000033110","Prednisone 2mg modified-release tablets Modified-release tablet Oral Prednisone 2.000mg","6030200","","","","CPRD_AURUM"
"5990741000033116","Lodotra 2mg modified-release tablets (Napp Pharmaceuticals Ltd) Modified-release tablet Oral Prednisone 2.000mg","6030200","","","","CPRD_AURUM"
"5990341000033117","Prednisone 5mg modified-release tablets Modified-release tablet Oral Prednisone 5.000mg","6030200","","","","CPRD_AURUM"
"5990841000033114","Lodotra 5mg modified-release tablets (Napp Pharmaceuticals Ltd) Modified-release tablet Oral Prednisone 5.000mg","6030200","","","","CPRD_AURUM"
"10212641000033118","Pevanti 10mg tablets (Advanz Pharma) Tablet Oral Prednisolone 10.000mg","","","","","CPRD_AURUM"
"10212141000033111","Prednisolone 10mg tablets Tablet Oral Prednisolone 10.000mg","","","","","CPRD_AURUM"
"1131841000033110","Prednisolone 2.5mg tablets Tablet Oral Prednisolone 2.500mg","","","","","CPRD_AURUM"
"10212441000033115","Pevanti 2.5mg tablets (Advanz Pharma) Tablet Oral Prednisolone 2.500mg","","","","","CPRD_AURUM"
"10212741000033110","Pevanti 20mg tablets (Advanz Pharma) Tablet Oral Prednisolone 20.000mg","","","","","CPRD_AURUM"
"10212341000033114","Prednisolone 20mg tablets Tablet Oral Prednisolone 20.000mg","","","","","CPRD_AURUM"
"10266841000033117","Prednisolone 5mg/5ml oral solution unit dose Oral solution Oral Prednisolone 1.000mg/1.000ml","","","","","CPRD_AURUM"
"10494341000033117","Prednisolone 10mg/ml oral solution sugar free Oral solution Oral Prednisolone 10.000mg/1.000ml","","","","","CPRD_AURUM"
"11507841000033115","Prednisolone 1mg gastro-resistant tablets Gastro-resistant tablet Oral Prednisolone 1.000mg","","","","","CPRD_AURUM"
"11664841000033116","Prednisolone 30mg tablets Tablet Oral Prednisolone 30.000mg","","","","","CPRD_AURUM"
