"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","FREQUENCY","DATABASE"
"4784","Paracetamol250 mgSuspensionOral",,,,,"0","UHB"
"4478","ParacetamolSuspensionOral",,,,,"0","UHB"
"758","Paracetamol0.5 gTabletOral",,,,,"0","UHB"
"2380","Paracetamol0 gTabletOral",,,,,"0","UHB"
"1162","Paracetamol1 gTabletGastrost.",,,,,"0","UHB"
"2057","Paracetamol1 gDispersible TabletGastrost.",,,,,"0","UHB"
"4146","Paracetamol0.5-1 gDispersible TabletOral",,,,,"0","UHB"
"2261","ParacetamolTabletOral",,,,,"0","UHB"
"4454","Paracetamol500-1000 mgOral",,,,,"0","UHB"
"1000","Paracetamol500 mgSuspensionOral",,,,,"0","UHB"
"4370","Paracetamol0.5 gOral",,,,,"0","UHB"
"4415","Paracetamol500-1000 mgSuspensionOral",,,,,"0","UHB"
"4538","Paracetamol1000 mgSuspensionGastrost.",,,,,"0","UHB"
"2476","Paracetamol1 gSuppositoryPR",,,,,"0","UHB"
"2477","Paracetamol500 mgSuppositoryPR",,,,,"0","UHB"
"974","Paracetamol1 gDispersible TabletNasogas.",,,,,"0","UHB"
"3476","Paracetamol500 mgDispersible TabletNasogas.",,,,,"0","UHB"
"461","Paracetamol0.5 gDispersible TabletOral",,,,,"0","UHB"
"4328","Paracetamol500 mgDispersible TabletGastrost.",,,,,"0","UHB"
"60","Paracetamol1 gDispersible TabletOral",,,,,"0","UHB"
"1069","Paracetamol1 gSuspensionOral",,,,,"0","UHB"
"310","Paracetamol500 mgTabletOral",,,,,"0","UHB"
"4531","Paracetamol1 gOral",,,,,"0","UHB"
"1758","Paracetamol500-1000 mgTabletOral",,,,,"0","UHB"
"297","Paracetamol1000 mgSuspensionOral",,,,,"0","UHB"
"4279","Paracetamol500 gTabletOral",,,,,"0","UHB"
"1164","Paracetamol500 mgSuspensionGastrost.",,,,,"0","UHB"
"1884","Paracetamol0.5 gSuspensionOral",,,,,"0","UHB"
"4628","Paracetamol1 gSuspensionGastrost.",,,,,"0","UHB"
"1412","Paracetamol500 mgDispersible TabletOral",,,,,"0","UHB"
"4446","Paracetamol500-1000 gTabletOral",,,,,"0","UHB"
"1507","Paracetamol0.5-1 gTabletOral",,,,,"0","UHB"
"4412","Panadol",,,,,"0","UHB"
"2003","Paracetamol1 mgSuspensionOral",,,,,"0","UHB"
"4330","otc - paracetamol 1 gTabletOral",,,,,"0","UHB"
"2695","Paracetamol0 mgTabletOral",,,,,"0","UHB"
"1015","Paracetamol1000 mgTabletOral",,,,,"0","UHB"
"1414","Paracetamol1000 mgDispersible TabletOral",,,,,"0","UHB"
"2440","Paracetamol0.5 mgSuspensionOral",,,,,"0","UHB"
"8","Paracetamol1 gTabletOral",,,,,"0","UHB"
