"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","FREQUENCY","DATABASE"
"5478","Propranolol 10mg/5ml oral solution sugar free Propranolol hydrochloride 2mg/1ml Oral solution Oral","02040000","04070402","04090300",,"11403","CPRD_GOLD"
"58491","Propranolol 40mg tablets (Alliance Healthcare (Distribution) Ltd) Propranolol hydrochloride 40mg Tablet Oral","02040000","04070402","04090300",,"0","CPRD_GOLD"
"34378","Propranolol 10mg tablets (A A H Pharmaceuticals Ltd) Propranolol hydrochloride 10mg Tablet Oral","02040000","04070402","04090300",,"70","CPRD_GOLD"
"76431","Cardinol 10mg Tablet (C P Pharmaceuticals Ltd) Propranolol hydrochloride 10mg Tablet Oral","02030202","02040000",,,"0","CPRD_GOLD"
"55416","Propranolol 40mg tablets (Almus Pharmaceuticals Ltd) Propranolol hydrochloride 40mg Tablet Oral","02040000","04070402","04090300",,"1","CPRD_GOLD"
"58297","Propranolol 10mg tablets (Kent Pharmaceuticals Ltd) Propranolol hydrochloride 10mg Tablet Oral","02040000","04070402","04090300",,"1","CPRD_GOLD"
"34783","Propranolol 10mg tablets (Actavis UK Ltd) Propranolol hydrochloride 10mg Tablet Oral","02040000","04070402","04090300",,"212","CPRD_GOLD"
"48682","Propranolol 50mg/5ml oral solution sugar free Propranolol hydrochloride 10mg/1ml Oral solution Oral","02040000","04070402","04090300",,"2817","CPRD_GOLD"
"36576","Propranolol 10mg tablets (Mylan) Propranolol hydrochloride 10mg Tablet Oral","02040000","04070402","04090300",,"298","CPRD_GOLD"
"79622","Propranolol 40mg tablets (DE Pharmaceuticals) Propranolol hydrochloride 40mg Tablet Oral","02040000","04070402","04090300",,"0","CPRD_GOLD"
"65435","Propranolol 10mg tablets (Waymade Healthcare Plc) Propranolol hydrochloride 10mg Tablet Oral","02040000","04070402","04090300",,"0","CPRD_GOLD"
"45297","Propranolol 40mg tablets (IVAX Pharmaceuticals UK Ltd) Propranolol hydrochloride 40mg Tablet Oral","02040000","04070402","04090300",,"1","CPRD_GOLD"
"41555","Propranolol 40mg tablets (A A H Pharmaceuticals Ltd) Propranolol hydrochloride 40mg Tablet Oral","02040000","04070402","04090300",,"77","CPRD_GOLD"
"297","Propranolol 10mg tablets Propranolol hydrochloride 10mg Tablet Oral","02040000","04070402","04090300",,"2379367","CPRD_GOLD"
"1050","Inderal 40mg tablets (AstraZeneca UK Ltd) Propranolol hydrochloride 40mg Tablet Oral","02040000","04070402","04090300",,"104523","CPRD_GOLD"
"55949","Propranolol 40mg/5ml oral solution Propranolol hydrochloride 8mg/1ml Oral solution Oral","02040000","04070402","04090300",,"13","CPRD_GOLD"
"80244","Propranolol 40mg/5ml oral solution sugar free (Ennogen Healthcare Ltd) Propranolol hydrochloride 8mg/1ml Oral solution Oral","02040000","04070402","04090300",,"0","CPRD_GOLD"
"3827","Propanix 40mg Tablet (Ashbourne Pharmaceuticals Ltd) Propranolol hydrochloride 40mg Tablet Oral","02030202","02040000",,,"2446","CPRD_GOLD"
"45765","Syprol 40mg/5ml oral solution (Rosemont Pharmaceuticals Ltd) Propranolol hydrochloride 8mg/1ml Oral solution Oral","02040000","04070402","04090300",,"21","CPRD_GOLD"
"80197","Bedranol 40mg tablets (Ennogen Pharma Ltd) Propranolol hydrochloride 40mg Tablet Oral","02040000","04070402","04090300",,"3","CPRD_GOLD"
"3087","Propranolol 40mg/5ml oral solution sugar free Propranolol hydrochloride 8mg/1ml Oral solution Oral","02040000","04070402","04090300",,"6161","CPRD_GOLD"
"27700","Propranolol 40mg tablets (Actavis UK Ltd) Propranolol hydrochloride 40mg Tablet Oral","02040000","04070402","04090300",,"1276","CPRD_GOLD"
