"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"1255041000033118","Salbutamol Spacehaler 100 micrograms/puff    ","","","","","CPRD_AURUM"
"1907341000033117","Salbutamol Dry powder disks + disk inhaler 200 micrograms    ","","","","","CPRD_AURUM"
"1206041000033115","Salbutamol Accuhaler 200 micrograms/dose    ","","","","","CPRD_AURUM"
"1206241000033111","Salbutamol Aerosol inhalation 100 micrograms/metered inhalation    ","","","","","CPRD_AURUM"
"1207741000033115","Salbutamol Autohaler 100 micrograms/puff    ","","","","","CPRD_AURUM"
"1221541000033113","Salbutamol Breath-actuated inhaler 95 micrograms/dose    ","","","","","CPRD_AURUM"
"1705441000033110","Ventolin 100micrograms/dose Evohaler (GlaxoSmithKline UK Ltd) Pressurised inhalation Inhalation Salbutamol sulfate 100.000microgram/1.000dose","3010101","","","","CPRD_AURUM"
"1222341000033110","Salbutamol 100micrograms/dose inhaler CFC free Pressurised inhalation Inhalation Salbutamol sulfate 100.000microgram/1.000dose","3010101","","","","CPRD_AURUM"
"8491641000033114","AirSalb 100micrograms/dose inhaler CFC free (Sandoz Ltd) Pressurised inhalation Inhalation Salbutamol sulfate 100.000microgram/1.000dose","","","","","CPRD_AURUM"
"2588241000033119","Salamol 100micrograms/dose Easi-Breathe inhaler (Teva UK Ltd) Pressurised inhalation Inhalation Salbutamol sulfate 100.000microgram/1.000dose","3010101","","","","CPRD_AURUM"
"1751341000033111","Salbutamol 100micrograms/dose breath actuated inhaler CFC free Pressurised inhalation Inhalation Salbutamol sulfate 100.000microgram/1.000dose","3010101","","","","CPRD_AURUM"
"330241000033113","Combivent inhaler (Boehringer Ingelheim Ltd) Pressurised inhalation Inhalation Ipratropium bromide/ Salbutamol sulfate 20.000microgram/1.000dose + 100.000microgram/1.000dose","","","","","CPRD_AURUM"
"1241441000033110","Salbutamol 100micrograms/dose inhaler Pressurised inhalation Inhalation Salbutamol 100.000microgram/1.000dose","3010101","","","","CPRD_AURUM"
