"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"14922978","Ertugliflozin 5mg tablets","00000000","00000000","00000000","","IMRD"
"26160978","Saxagliptin 5mg / dapagliflozin 10mg tablets","00000000","00000000","00000000","","IMRD"
"26161978","Saxagliptin 5mg / dapagliflozin 10mg tablets","00000000","00000000","00000000","","IMRD"
"45821978","Empagliflozin 5mg / Metformin 850mg tablets","06010203","06010202","06010203","A10BD20","IMRD"
"45822978","Empagliflozin 5mg / Metformin 850mg tablets","06010203","06010203","06010202","A10BD20","IMRD"
"45823978","Empagliflozin 5mg / Metformin 1g tablets","06010203","06010203","06010202","A10BD20","IMRD"
"45824978","Empagliflozin 5mg / Metformin 1g tablets","06010203","06010203","06010202","A10BD20","IMRD"
"45825978","Empagliflozin 12.5mg / Metformin 850mg tablets","06010203","06010203","06010202","A10BD20","IMRD"
"45826978","Empagliflozin 12.5mg / Metformin 850mg tablets","06010203","06010202","06010203","A10BD20","IMRD"
"45827978","Empagliflozin 12.5mg / Metformin 1g tablets","06010203","06010202","06010203","A10BD20","IMRD"
"45828978","Empagliflozin 12.5mg / Metformin 1g tablets","06010203","06010203","06010202","A10BD20","IMRD"
"53325979","Dapagliflozin 5mg tablets","06010203","00000000","00000000","A10BK01","IMRD"
"53326979","Dapagliflozin 5mg tablets","06010203","00000000","00000000","A10BK01","IMRD"
"53327979","Dapagliflozin 10mg tablets","06010203","00000000","00000000","A10BK01","IMRD"
"53328979","Dapagliflozin 10mg tablets","06010203","00000000","00000000","A10BK01","IMRD"
"56929978","Canagliflozin 50mg / Metformin 850mg tablets","06010203","06010203","06010202","A10BD16","IMRD"
"56930978","Canagliflozin 50mg / Metformin 850mg tablets","06010203","06010203","06010202","A10BD16","IMRD"
"56931978","Canagliflozin 50mg / Metformin 1g tablets","06010203","06010203","06010202","A10BD16","IMRD"
"56932978","Canagliflozin 50mg / Metformin 1g tablets","06010203","06010202","06010203","A10BD16","IMRD"
"70445978","Empagliflozin 25mg tablets","06010203","00000000","00000000","A10BK03","IMRD"
"70446978","Empagliflozin 25mg tablets","06010203","00000000","00000000","A10BK03","IMRD"
"70447978","Empagliflozin 10mg tablets","06010203","00000000","00000000","A10BK03","IMRD"
"70448978","Empagliflozin 10mg tablets","06010203","00000000","00000000","A10BK03","IMRD"
"76399978","Canagliflozin 300mg tablets","06010203","00000000","00000000","A10BK02","IMRD"
"76400978","Canagliflozin 300mg tablets","06010203","00000000","00000000","A10BK02","IMRD"
"76401978","Canagliflozin 100mg tablets","06010203","00000000","00000000","A10BK02","IMRD"
"76402978","Canagliflozin 100mg tablets","06010203","00000000","00000000","A10BK02","IMRD"
"76980978","Canagliflozin 100mg tablets","06010203","00000000","00000000","A10BK02","IMRD"
"76981978","Canagliflozin 100mg tablets","06010203","00000000","00000000","A10BK02","IMRD"
"76990978","Dapagliflozin 5mg / Metformin 850mg tablets","06010203","06010202","06010203","A10BD15","IMRD"
"76991978","Dapagliflozin 5mg / Metformin 850mg tablets","06010203","06010202","06010203","A10BD15","IMRD"
"76992978","Dapagliflozin 5mg / Metformin 1g tablets","06010203","06010203","06010202","A10BD15","IMRD"
"76993978","Dapagliflozin 5mg / Metformin 1g tablets","06010203","06010202","06010203","A10BD15","IMRD"
"11430978","Empagliflozin 25mg / Linagliptin 5mg tablets   ","00.00.00.00","00.00.00.00","00.00.00.00","","IMRD"
"11432978","Empagliflozin 10mg / Linagliptin 5mg tablets   ","00.00.00.00","00.00.00.00","00.00.00.00","","IMRD"
"14924978","Ertugliflozin 15mg tablets   ","00.00.00.00","00.00.00.00","00.00.00.00","","IMRD"
