"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"3756","Dapagliflozin5 mgTabletOral","","","","","UHB"
"3582","Canagliflozin100 mgTabletOral","","","","","UHB"
"1021","Dapagliflozin10 mgTabletOral","","","","","UHB"
"1866",".empagliflozin/metformin1 tabTabletOral","","","","","UHB"
"1869",".empagliflozin/metformin0 tabTabletOral","","","","","UHB"
"4755","dapagliflozin 5mg / metformin 1g tabs1 tabTabletOral","","","","","UHB"
"819","Empagliflozin10 mgTabletOral","","","","","UHB"
"4601","dapagliflozin/metformin1 tabTabletOral","","","","","UHB"
"1870",".empagliflozin 12.5mg/ metformin 1000mg1 tabTabletOral","","","","","UHB"
"4296","Canagliflozin50 mgTabletOral","","","","","UHB"
"1502",".canagliflozin 50mg/metformin 1000mg 1 tabTabletOral","","","","","UHB"
"738","Empagliflozin25 mgTabletOral","","","","","UHB"
"1915",".canagliflozin50 mgTabletOral","","","","","UHB"
"3721","Canagliflozin300 mgTabletOral","","","","","UHB"
