"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"5104041000033113","Seroxat Cr M/R tablets 12.5 mg    ","","","","","CPRD_AURUM"
"3199841000033111","Paxoran Tablets 10 mg    ","","","","","CPRD_AURUM"
"3200041000033114","Paxoran Tablets 40 mg    ","","","","","CPRD_AURUM"
"6029341000033112","Seroxat Cr M/R tablets 25 mg    ","","","","","CPRD_AURUM"
"592541000033118","Fluoxetine Hydrochloride Liquid 20 mg/5 ml    ","","","","","CPRD_AURUM"
"3199941000033115","Paxoran Tablets 20 mg    ","","","","","CPRD_AURUM"
"5127741000033111","Prozac Weekly Delayed Release Capsules 90 mg    ","","","","","CPRD_AURUM"
"563341000033115","Faverin 50mg tablets (Mylan) Tablet Oral Fluvoxamine maleate 50.000mg","4030300","","","","CPRD_AURUM"
"595541000033113","Fluvoxamine 50mg tablets Tablet Oral Fluvoxamine maleate 50.000mg","4030300","","","","CPRD_AURUM"
"592841000033116","Fluvoxamine 100mg tablets Tablet Oral Fluvoxamine maleate 100.000mg","4030300","","","","CPRD_AURUM"
"561941000033115","Faverin 100mg tablets (Mylan) Tablet Oral Fluvoxamine maleate 100.000mg","4030300","","","","CPRD_AURUM"
"1112441000033114","Prozac 20mg capsules (Eli Lilly and Company Ltd) Capsule Oral Fluoxetine hydrochloride 20.000mg","4030300","","","","CPRD_AURUM"
"1923141000033118","Felicium 20mg capsules (Opus Pharmaceuticals Ltd) Capsule Oral Fluoxetine hydrochloride 20.000mg","","","","","CPRD_AURUM"
"2602041000033119","Oxactin 20mg capsules (Discovery Pharmaceuticals) Capsule Oral Fluoxetine hydrochloride 20.000mg","4030300","","","","CPRD_AURUM"
"2710441000033119","Ranflutin 20mg capsules (Ranbaxy (UK) Ltd) Capsule Oral Fluoxetine hydrochloride 20.000mg","","","","","CPRD_AURUM"
"577841000033114","Fluoxetine 20mg capsules Capsule Oral Fluoxetine hydrochloride 20.000mg","4030300","","","","CPRD_AURUM"
"2770641000033114","Fluoxetine 20mg/5ml oral solution Oral solution Oral Fluoxetine hydrochloride 4.000mg/1.000ml","4030300","","","","CPRD_AURUM"
"1129541000033110","Prozac 20mg/5ml liquid (Eli Lilly and Company Ltd) Oral solution Oral Fluoxetine hydrochloride 4.000mg/1.000ml","4030300","","","","CPRD_AURUM"
"2770541000033113","Prozit 20mg/5ml oral solution (Pinewood Healthcare) Oral solution Oral Fluoxetine hydrochloride 4.000mg/1.000ml","","","","","CPRD_AURUM"
"1111941000033111","Prozac 60mg capsules (Eli Lilly and Company Ltd) Capsule Oral Fluoxetine hydrochloride 60.000mg","4030300","","","","CPRD_AURUM"
"579041000033111","Fluoxetine 60mg capsules Capsule Oral Fluoxetine hydrochloride 60.000mg","4030300","","","","CPRD_AURUM"
"1278841000033119","Sertraline 50mg tablets Tablet Oral Sertraline hydrochloride 50.000mg","4030300","","","","CPRD_AURUM"
"854241000033118","Lustral 50mg tablets (Upjohn UK Ltd) Tablet Oral Sertraline hydrochloride 50.000mg","4030300","","","","CPRD_AURUM"
"854141000033113","Lustral 100mg tablets (Upjohn UK Ltd) Tablet Oral Sertraline hydrochloride 100.000mg","4030300","","","","CPRD_AURUM"
"1278741000033112","Sertraline 100mg tablets Tablet Oral Sertraline hydrochloride 100.000mg","4030300","","","","CPRD_AURUM"
"1042141000033117","Paroxetine 20mg tablets Tablet Oral Paroxetine hydrochloride 20.000mg","4030300","","","","CPRD_AURUM"
"1278341000033111","Seroxat 20mg tablets (GlaxoSmithKline UK Ltd) Tablet Oral Paroxetine hydrochloride 20.000mg","4030300","","","","CPRD_AURUM"
"1278441000033117","Seroxat 30mg tablets (GlaxoSmithKline UK Ltd) Tablet Oral Paroxetine hydrochloride 30.000mg","4030300","","","","CPRD_AURUM"
"1042241000033112","Paroxetine 30mg tablets Tablet Oral Paroxetine hydrochloride 30.000mg","4030300","","","","CPRD_AURUM"
"259141000033116","Cipramil 20mg tablets (Lundbeck Ltd) Tablet Oral Citalopram hydrobromide 20.000mg","4030300","","","","CPRD_AURUM"
"259241000033111","Citalopram 20mg tablets Tablet Oral Citalopram hydrobromide 20.000mg","4030300","","","","CPRD_AURUM"
"1583341000033118","Citalopram 10mg tablets Tablet Oral Citalopram hydrobromide 10.000mg","4030300","","","","CPRD_AURUM"
"1583241000033111","Cipramil 10mg tablets (Lundbeck Ltd) Tablet Oral Citalopram hydrobromide 10.000mg","4030300","","","","CPRD_AURUM"
"1583041000033115","Cipramil 40mg tablets (Lundbeck Ltd) Tablet Oral Citalopram hydrobromide 40.000mg","4030300","","","","CPRD_AURUM"
"1583141000033116","Citalopram 40mg tablets Tablet Oral Citalopram hydrobromide 40.000mg","4030300","","","","CPRD_AURUM"
"1900641000033112","Citalopram 40mg/ml oral drops sugar free Oral drops Oral Citalopram hydrochloride 40.000mg/1.000ml","4030300","","","","CPRD_AURUM"
"1900741000033115","Cipramil 40mg/ml drops (Lundbeck Ltd) Oral drops Oral Citalopram hydrochloride 40.000mg/1.000ml","4030300","","","","CPRD_AURUM"
