"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"2113","Fluoxetine60 mgLiquidNasogas.","","","","","UHB"
"4302","Fluoxetine30 mgCapsuleOral","","","","","UHB"
"747","Sertraline100 mgTabletOral","","","","","UHB"
"1306","Sertraline50 mgTabletOral","","","","","UHB"
"1236","Fluoxetine40 mgCapsuleOral","","","","","UHB"
"1304","Sertraline25 mgTabletOral","","","","","UHB"
"4508","Sertraline200 mgTabletNasogas.","","","","","UHB"
"2203","Paroxetine10 mgTabletOral","","","","","UHB"
"293","Citalopram20 mgTabletOral","","","","","UHB"
"696","Citalopram10 mgTabletOral","","","","","UHB"
"2037","Fluoxetine20 mgCapsuleOral","","","","","UHB"
"3466","Sertraline75 mgTabletOral","","","","","UHB"
"1737","Citalopram16 mgOral DropsOral","","","","","UHB"
"3356","Citalopram20 mgTabletGastrost.","","","","","UHB"
"4871","SertralineTabletOral","","","","","UHB"
"2125","Sertraline150 mgTabletOral","","","","","UHB"
"1618","Escitalopram5 mgTabletOral","","","","","UHB"
"3214","Citalopram20 mgTabletNasogas.","","","","","UHB"
"1160","Citalopram32 mgOral DropsGastrost.","","","","","UHB"
"1781","Fluoxetine60 mgCapsuleOral","","","","","UHB"
"3706","Citalopram20 mgOral DropsOral","","","","","UHB"
"1478","Paroxetine20 mgTabletOral","","","","","UHB"
"1543","Paroxetine40 mgTabletOral","","","","","UHB"
"702","Citalopram30 mgTabletOral","","","","","UHB"
"296","Citalopram40 mgTabletOral","","","","","UHB"
"3926","Paroxetine30 mgTabletOral","","","","","UHB"
"2654","Paroxetine50 mgTabletOral","","","","","UHB"
"2589","Escitalopram10 mgTabletOral","","","","","UHB"
"3740","Fluoxetine30 mgLiquidOral","","","","","UHB"
"127","Sertraline200 mgTabletOral","","","","","UHB"
"4852","Citalopram8 mgOral DropsOral","","","","","UHB"
"3257","Citalopram16 mgOral DropsGastrost.","","","","","UHB"
"417","Escitalopram20 mgTabletOral","","","","","UHB"
"2862","FluvoxamineTabletOral","","","","","UHB"
