"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"2985","Pravastatin20 mgTabletOral","","","","","UHB"
"865","Atorvastatin80 mgTabletNasogas.","","","","","UHB"
"2150","Pravastatin40 mgTabletOral","","","","","UHB"
"814","Rosuvastatin20 mgTabletOral","","","","","UHB"
"3446","Atorvastatin80 mgTabletGastrost.","","","","","UHB"
"3256","Atorvastatin40 mgTabletGastrost.","","","","","UHB"
"403","Atorvastatin40 mgTabletOral","","","","","UHB"
"3775","Fluvastatin20 mgCapsuleOral","","","","","UHB"
"1379","Atorvastatin50 mgTabletOral","","","","","UHB"
"411","Simvastatin40 mgTabletOral","","","","","UHB"
"1420","Fluvastatin40 mgCapsuleOral","","","","","UHB"
"647","Pravastatin10 mgTabletOral","","","","","UHB"
"803","Rosuvastatin10 mgTabletOral","","","","","UHB"
"387","Simvastatin10 mgTabletOral","","","","","UHB"
"196","Simvastatin20 mgTabletOral","","","","","UHB"
"4583","Atorvastatin30 mgTabletOral","","","","","UHB"
"218","Atorvastatin20 mgTabletOral","","","","","UHB"
"722","Atorvastatin10 mgTabletOral","","","","","UHB"
"3407","Simvastatin80 mgTabletOral","","","","","UHB"
"4833","AtorvastatinTabletOral","","","","","UHB"
"175","Atorvastatin80 mgTabletOral","","","","","UHB"
"2168","Rosuvastatin15 mgTabletOral","","","","","UHB"
"3858","Pravastatin30 mgTabletOral","","","","","UHB"
"1316","Rosuvastatin5 mgTabletOral","","","","","UHB"
