"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"17659978","Oxypro 60mg modified-release tablets","04070200","00000000","00000000","","IMRD"
"17661978","Oxypro 15mg modified-release tablets","04070200","00000000","00000000","","IMRD"
"17663978","Oxypro 30mg modified-release tablets","04070200","00000000","00000000","","IMRD"
"17671978","Oxypro 5mg modified-release tablets","04070200","00000000","00000000","","IMRD"
"17710978","Oxypro 80mg modified-release tablets","04070200","00000000","00000000","","IMRD"
"17712978","Oxypro 40mg modified-release tablets","04070200","00000000","00000000","","IMRD"
"17714978","Oxypro 20mg modified-release tablets","04070200","00000000","00000000","","IMRD"
"17715978","Ixyldone 10mg modified-release tablets","04070200","00000000","00000000","","IMRD"
"17716978","Oxypro 10mg modified-release tablets","04070200","00000000","00000000","","IMRD"
"18669978","Morphine sulfate 2.5mg/5ml oral solution","00000000","00000000","00000000","","IMRD"
"19045978","Buprenorphine 10micrograms/hour transdermal patches","04070200","00000000","00000000","N02AE01","IMRD"
"19046978","Bunov 20micrograms/hour transdermal patches","04070200","00000000","00000000","","IMRD"
"19047978","Buprenorphine 5micrograms/hour transdermal patches","04070200","00000000","00000000","N02AE01","IMRD"
"19106978","Renocontin 15mg modified-release tablets","04070200","00000000","00000000","","IMRD"
"19119978","Buprenorphine 35micrograms/hour transdermal patches","04070200","00000000","00000000","N07BC01","IMRD"
"19152978","Oxycodone 10mg modified-release tablets","04070200","00000000","00000000","N02AA05","IMRD"
"21233978","Buprenorphine 52.5micrograms/hour transdermal patches","04070200","00000000","00000000","N07BC01","IMRD"
"21234978","Buprenorphine 35micrograms/hour transdermal patches","04070200","00000000","00000000","N07BC01","IMRD"
"21437978","Buprenorphine 10micrograms/hour transdermal patches","04070200","00000000","00000000","N02AE01","IMRD"
"21438978","Buprenorphine 20micrograms/hour transdermal patches","04070200","00000000","00000000","N02AE01","IMRD"
"21439978","Buprenorphine 5micrograms/hour transdermal patches","04070200","00000000","00000000","N02AE01","IMRD"
"22980978","Buprenorphine 10micrograms/hour transdermal patches","04070200","00000000","00000000","N02AE01","IMRD"
"22981978","Buprenorphine 20micrograms/hour transdermal patches","04070200","00000000","00000000","N02AE01","IMRD"
"22982978","Buprenorphine 5micrograms/hour transdermal patches","04070200","00000000","00000000","N02AE01","IMRD"
"24844978","Buprenorphine 70micrograms/hour transdermal patches","04070200","00000000","00000000","N07BC01","IMRD"
"24845978","Buprenorphine 52.5micrograms/hour transdermal patches","04070200","00000000","00000000","N07BC01","IMRD"
"24846978","Buprenorphine 35micrograms/hour transdermal patches","04070200","00000000","00000000","N07BC01","IMRD"
"24875978","Oxycodone 40mg modified-release tablets","04070200","00000000","00000000","N02AA05","IMRD"
"24877978","Oxycodone 10mg modified-release tablets","04070200","00000000","00000000","N02AA05","IMRD"
"25998978","Buprenorphine 15micrograms/hour transdermal patches","00000000","00000000","00000000","","IMRD"
"26008978","Oxycodone 50mg/1ml solution for injection ampoules","00000000","00000000","00000000","","IMRD"
"26106978","Oxycodone 10mg/1ml solution for injection ampoules","00000000","00000000","00000000","","IMRD"
"26107978","Oxycodone 20mg/2ml solution for injection ampoules","00000000","00000000","00000000","","IMRD"
"26126978","Oxycodone 10mg/ml oral solution sugar free","00000000","00000000","00000000","","IMRD"
"26127978","Oxycodone 5mg/5ml oral solution sugar free","00000000","00000000","00000000","","IMRD"
"28946978","Buprenorphine 8mg oral lyophilisates sugar free","00000000","00000000","00000000","","IMRD"
"28947978","Buprenorphine 8mg sublingual tablets sugar free","04100300","04070200","00000000","N07BC01","IMRD"
"28948978","Buprenorphine 2mg oral lyophilisates sugar free","00000000","00000000","00000000","","IMRD"
"28949978","Buprenorphine 2mg sublingual tablets sugar free","04100300","04070200","00000000","N07BC01","IMRD"
"29310978","Buprenorphine 52.5micrograms/hour transdermal patches","04070200","00000000","00000000","N07BC01","IMRD"
"29311978","Buprenorphine 35micrograms/hour transdermal patches","04070200","00000000","00000000","N07BC01","IMRD"
"29528978","Buprenorphine 10micrograms/hour transdermal patches","04070200","00000000","00000000","N02AE01","IMRD"
"29530978","Buprenorphine 20micrograms/hour transdermal patches","04070200","00000000","00000000","N02AE01","IMRD"
"29532978","Buprenorphine 5micrograms/hour transdermal patches","04070200","00000000","00000000","N02AE01","IMRD"
"29733978","Buprenorphine 15micrograms/hour transdermal patches","00000000","00000000","00000000","","IMRD"
"29947978","Buprenorphine 10micrograms/hour transdermal patches","04070200","00000000","00000000","N02AE01","IMRD"
"29948978","Buprenorphine 10micrograms/hour transdermal patches","04070200","00000000","00000000","N02AE01","IMRD"
"29949978","Buprenorphine 20micrograms/hour transdermal patches","04070200","00000000","00000000","N02AE01","IMRD"
"29950978","Buprenorphine 20micrograms/hour transdermal patches","00000000","00000000","00000000","","IMRD"
"29951978","Buprenorphine 5micrograms/hour transdermal patches","00000000","00000000","00000000","","IMRD"
"29952978","Buprenorphine 5micrograms/hour transdermal patches","04070200","00000000","00000000","N02AE01","IMRD"
"30064978","Buprenorphine 16mg / naloxone 4mg sublingual tablets sugar free","00000000","00000000","00000000","","IMRD"
"30065978","Buprenorphine 16mg / naloxone 4mg sublingual tablets sugar free","00000000","00000000","00000000","","IMRD"
"31603978","Buprenorphine 52.5micrograms/hour transdermal patches","04070200","00000000","00000000","N07BC01","IMRD"
"33834978","Fentanyl 12micrograms/hour transdermal patches","00000000","00000000","00000000","","IMRD"
"33914978","Buprenorphine 70micrograms/hour transdermal patches","04070200","00000000","00000000","N07BC01","IMRD"
"33915978","Buprenorphine 52.5micrograms/hour transdermal patches","04070200","00000000","00000000","N07BC01","IMRD"
"33916978","Buprenorphine 35micrograms/hour transdermal patches","04070200","00000000","00000000","N07BC01","IMRD"
"33917978","Buprenorphine 35micrograms/hour transdermal patches","04070200","00000000","00000000","N07BC01","IMRD"
"37719978","Oxycodone 10mg modified-release tablets","04070200","00000000","00000000","N02AA05","IMRD"
"37791978","Buprenorphine 15micrograms/hour transdermal patches","00000000","00000000","00000000","","IMRD"
"37792978","Buprenorphine 15micrograms/hour transdermal patches","00000000","00000000","00000000","","IMRD"
"38530978","Buprenorphine 10micrograms/hour transdermal patches","04070200","00000000","00000000","N02AE01","IMRD"
"38531978","Buprenorphine 20micrograms/hour transdermal patches","04070200","00000000","00000000","N02AE01","IMRD"
"38532978","Buprenorphine 5micrograms/hour transdermal patches","04070200","00000000","00000000","N02AE01","IMRD"
"39423978","Morphine sulfate 10mg/10ml solution for injection ampoules","04070200","00000000","00000000","N02AA01","IMRD"
"42508978","Oxycodone 60mg modified-release tablets","04070200","00000000","00000000","N02AA05","IMRD"
"42509978","Oxycodone 15mg modified-release tablets","04070200","00000000","00000000","N02AA05","IMRD"
"42510978","Oxycodone 30mg modified-release tablets","04070200","00000000","00000000","N02AA05","IMRD"
"42544978","Oxycodone 5mg modified-release tablets","04070200","00000000","00000000","N02AA05","IMRD"
"42681978","Oxycodone 80mg modified-release tablets","04070200","00000000","00000000","N02AA05","IMRD"
"42682978","Oxycodone 40mg modified-release tablets","04070200","00000000","00000000","N02AA05","IMRD"
"42683978","Oxycodone 20mg modified-release tablets","04070200","00000000","00000000","N02AA05","IMRD"
"42684978","Oxycodone 10mg modified-release tablets","04070200","00000000","00000000","N02AA05","IMRD"
"42686978","Oxycodone 5mg/5ml oral solution sugar free","04070200","00000000","00000000","N02AA05","IMRD"
"46162978","Fentanyl 12micrograms/hour transdermal patches","04070200","00000000","00000000","N02AB03","IMRD"
"46271978","Buprenorphine 52.5micrograms/hour transdermal patches","04070200","00000000","00000000","N07BC01","IMRD"
"46309978","Fentanyl 100micrograms/hour transdermal patches","04070200","00000000","00000000","N02AB03","IMRD"
"46311978","Fentanyl 75micrograms/hour transdermal patches","04070200","00000000","00000000","N02AB03","IMRD"
"46313978","Fentanyl 50micrograms/hour transdermal patches","04070200","00000000","00000000","N02AB03","IMRD"
"46315978","Fentanyl 25micrograms/hour transdermal patches","04070200","00000000","00000000","N02AB03","IMRD"
"46916978","Diamorphine 720micrograms/dose nasal spray","00000000","00000000","00000000","","IMRD"
"46917978","Diamorphine 720micrograms/dose nasal spray","00000000","00000000","00000000","","IMRD"
"46919978","Diamorphine 1.6mg/dose nasal spray","00000000","00000000","00000000","","IMRD"
"46962978","Oxycodone 120mg modified-release tablets","04070200","00000000","00000000","N02AA05","IMRD"
"47110978","Oxycodone 60mg modified-release tablets","04070200","00000000","00000000","N02AA05","IMRD"
"47111978","Oxycodone 15mg modified-release tablets","04070200","00000000","00000000","N02AA05","IMRD"
