"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"2033","Prednisolone 5mg gastro-resistant tablets","","","","H02AB06","CEGEDIM"
"2034","Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)","","","","H02AB06","CEGEDIM"
"2035","Prednisolone 5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","H02AB06","CEGEDIM"
"2038","Prednisolone 5mg gastro-resistant tablets (Accord Healthcare Ltd)","","","","H02AB06","CEGEDIM"
"2039","Prednisolone 5mg gastro-resistant tablets (Accord Healthcare Ltd) 28 tablet2 x 14 tablets","","","","H02AB06","CEGEDIM"
"2042","Prednisolone 5mg gastro-resistant tablets (Kent Pharmaceuticals Ltd)","","","","H02AB06","CEGEDIM"
"2043","Prednisolone 5mg gastro-resistant tablets (Kent Pharmaceuticals Ltd) 100 tablet","","","","H02AB06","CEGEDIM"
"2049","Deltacortril 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd)","","","","H02AB06","CEGEDIM"
"2050","Deltacortril 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd) 30 tablet2 x 15 tablets","","","","H02AB06","CEGEDIM"
"2053","Deltacortril 5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd) 100 tablet","","","","H02AB06","CEGEDIM"
"2054","Prednisolone 5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)","","","","H02AB06","CEGEDIM"
"2055","Prednisolone 5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd) 30 tablet3 x 10 tablets","","","","H02AB06","CEGEDIM"
"2062","Prednisolone 1mg tablets","","","","H02AB06","CEGEDIM"
"2063","Prednisolone 1mg tablets (A A H Pharmaceuticals Ltd)","","","","H02AB06","CEGEDIM"
"2064","Prednisolone 1mg tablets (A A H Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","H02AB06","CEGEDIM"
"2068","Prednisolone 1mg tablets (Accord Healthcare Ltd)","","","","H02AB06","CEGEDIM"
"2069","Prednisolone 1mg tablets (Accord Healthcare Ltd) 28 tablet2 x 14 tablets","","","","H02AB06","CEGEDIM"
"2072","Prednisolone 1mg tablets (Teva UK Ltd)","","","","H02AB06","CEGEDIM"
"2073","Prednisolone 1mg tablets (Teva UK Ltd) 28 tablet","","","","H02AB06","CEGEDIM"
"2076","Prednisolone 1mg tablets (The Boots Company Plc)","","","","H02AB06","CEGEDIM"
"2077","Prednisolone 1mg tablets (The Boots Company Plc) 28 tablet","","","","H02AB06","CEGEDIM"
"2080","Prednisolone 1mg tablets (Wockhardt UK Ltd)","","","","H02AB06","CEGEDIM"
"2081","Prednisolone 1mg tablets (Wockhardt UK Ltd) 28 tablet2 x 14 tablets","","","","H02AB06","CEGEDIM"
"2082","Prednisolone 1mg tablets (Kent Pharmaceuticals Ltd)","","","","H02AB06","CEGEDIM"
"2083","Prednisolone 1mg tablets (Kent Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","H02AB06","CEGEDIM"
"2085","Prednisolone 1mg tablets (Kent Pharmaceuticals Ltd) 500 tablet","","","","H02AB06","CEGEDIM"
"2092","Prednisolone 1mg tablets (Alliance Healthcare (Distribution) Ltd)","","","","H02AB06","CEGEDIM"
"2093","Prednisolone 1mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet2 x 14 tablets","","","","H02AB06","CEGEDIM"
"2095","Prednisolone 1mg tablets (Alliance Healthcare (Distribution) Ltd) 1000 tablet","","","","H02AB06","CEGEDIM"
"2109","Prednisolone 5mg tablets","","","","H02AB06","CEGEDIM"
"2110","Prednisolone 5mg tablets (A A H Pharmaceuticals Ltd)","","","","H02AB06","CEGEDIM"
"2111","Prednisolone 5mg tablets (A A H Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","H02AB06","CEGEDIM"
"2116","Prednisolone 5mg tablets (Actavis UK Ltd)","","","","H02AB06","CEGEDIM"
"2117","Prednisolone 5mg tablets (Actavis UK Ltd) 28 tablet2 x 14 tablets","","","","H02AB06","CEGEDIM"
"2119","Prednisolone 5mg tablets (Teva UK Ltd)","","","","H02AB06","CEGEDIM"
"2120","Prednisolone 5mg tablets (Teva UK Ltd) 28 tablet","","","","H02AB06","CEGEDIM"
"2127","Prednisolone 5mg tablets (The Boots Company Plc)","","","","H02AB06","CEGEDIM"
"2128","Prednisolone 5mg tablets (The Boots Company Plc) 28 tablet","","","","H02AB06","CEGEDIM"
"2132","Prednisolone 5mg tablets (Wockhardt UK Ltd)","","","","H02AB06","CEGEDIM"
"2133","Prednisolone 5mg tablets (Wockhardt UK Ltd) 28 tablet2 x 14 tablets","","","","H02AB06","CEGEDIM"
"2143","Prednisolone 5mg tablets (Kent Pharmaceuticals Ltd)","","","","H02AB06","CEGEDIM"
"2144","Prednisolone 5mg tablets (Kent Pharmaceuticals Ltd) 28 tablet","","","","H02AB06","CEGEDIM"
"2145","Prednisolone 5mg tablets (Kent Pharmaceuticals Ltd) 1000 tablet","","","","H02AB06","CEGEDIM"
"2148","Prednisolone 5mg tablets (Alliance Healthcare (Distribution) Ltd)","","","","H02AB06","CEGEDIM"
"2149","Prednisolone 5mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet2 x 14 tablets","","","","H02AB06","CEGEDIM"
"2152","Prednisolone 5mg tablets (Alliance Healthcare (Distribution) Ltd) 1000 tablet","","","","H02AB06","CEGEDIM"
"2156","Prednisolone 2.5mg gastro-resistant tablets","","","","H02AB06","CEGEDIM"
"2157","Prednisolone 2.5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)","","","","H02AB06","CEGEDIM"
"2158","Prednisolone 2.5mg gastro-resistant tablets (A A H Pharmaceuticals Ltd) 28 tablet2 x 14 tablets","","","","H02AB06","CEGEDIM"
"2160","Prednisolone 2.5mg gastro-resistant tablets (Accord Healthcare Ltd)","","","","H02AB06","CEGEDIM"
"2161","Prednisolone 2.5mg gastro-resistant tablets (Accord Healthcare Ltd) 28 tablet2 x 14 tablets","","","","H02AB06","CEGEDIM"
"2166","Prednisolone 2.5mg gastro-resistant tablets (Kent Pharmaceuticals Ltd)","","","","H02AB06","CEGEDIM"
"2167","Prednisolone 2.5mg gastro-resistant tablets (Kent Pharmaceuticals Ltd) 100 tablet","","","","H02AB06","CEGEDIM"
"2168","Deltacortril 2.5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd)","","","","H02AB06","CEGEDIM"
"2169","Deltacortril 2.5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd) 30 tablet2 x 15 tablets","","","","H02AB06","CEGEDIM"
"2172","Deltacortril 2.5mg gastro-resistant tablets (Alliance Pharmaceuticals Ltd) 100 tablet","","","","H02AB06","CEGEDIM"
"2180","Prednisolone 2.5mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)","","","","H02AB06","CEGEDIM"
