"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"3266","Prednisolone50 mgTabletNasogas.","","","","","UHB"
"960","Dexamethasone6 mgTabletNasogas.","","","","","UHB"
"987","Prednisolone10 mgTabletOral","","","","","UHB"
"28","Dexamethasone6 mgTabletOral","","","","","UHB"
"138","Prednisolone30 mgTabletOral","","","","","UHB"
"500","Dexamethasone2 mgTabletOral","","","","","UHB"
"2335","Prednisolone100 mgTabletOral","","","","","UHB"
"4802","Prednisolone","","","","","UHB"
"4760","Hydrocortisone25 mgTabletOral","","","","","UHB"
"1049","Prednisolone50 mgTabletOral","","","","","UHB"
"1609","Hydrocortisone5 mgTabletOral","","","","","UHB"
"3897","Prednisolone1 mgTabletOral","","","","","UHB"
"2266","Hydrocortisone40 mgTabletOral","","","","","UHB"
"1633","Hydrocortisone80 mgTabletOral","","","","","UHB"
"3017","Prednisolone2.5 mgTabletOral","","","","","UHB"
"214","Prednisolone5 mgTabletOral","","","","","UHB"
"527","Prednisolone200 mgTabletOral","","","","","UHB"
"1253","Fludrocortisone150 microgTabletOral","","","","","UHB"
"4032","Prednisolone9 mgTabletOral","","","","","UHB"
"3685","Hydrocortisone0 mgTabletOral","","","","","UHB"
"2743","Prednisolone35 mgTabletOral","","","","","UHB"
"750","Prednisolone15 mgTabletOral","","","","","UHB"
"4669","Dexamethasone1 mgTabletOral","","","","","UHB"
"2349","Fludrocortisone50 microgTabletNasogas.","","","","","UHB"
"1183","Prednisolone25 mgTabletOral","","","","","UHB"
"1327","Dexamethasone20 mgTabletOral","","","","","UHB"
"836","Dexamethasone3 mgTabletOral","","","","","UHB"
"3683","Hydrocortisone100 mgTabletOral","","","","","UHB"
"878","Dexamethasone6 mgOral SolutionOral","","","","","UHB"
"1818","Prednisolone0 mgTabletOral","","","","","UHB"
"2305","Hydrocortisone60 mgTabletOral","","","","","UHB"
"1053","Dexamethasone4 mgOral SolutionOral","","","","","UHB"
"2770","Dexamethasone10 mgTabletOral","","","","","UHB"
"4071","Dexamethasone4 mgTabletNasogas.","","","","","UHB"
"3260","Dexamethasone6 mgTabletGastrost.","","","","","UHB"
"520","Prednisolone20 mgTabletOral","","","","","UHB"
"2267","Hydrocortisone15 mgTabletOral","","","","","UHB"
"1881","Dexamethasone6 mgOral SolutionGastrost.","","","","","UHB"
"1820","Dexamethasone0 mgTabletOral","","","","","UHB"
"1034","Dexamethasone8 mgTabletOral","","","","","UHB"
"1035","DexamethasoneTabletOral","","","","","UHB"
"2353","Fludrocortisone150 microgTabletNasogas.","","","","","UHB"
"2831","Prednisolone3 mgTabletOral","","","","","UHB"
"3215","Prednisolone40 mgTabletNasogas.","","","","","UHB"
"4738","Prednisolone4-5 mgTabletOral","","","","","UHB"
"1632","Hydrocortisone50 mgTabletOral","","","","","UHB"
"3690","Hydrocortisone200 mgTabletOral","","","","","UHB"
"2331","Prednisolone60 mgTabletOral","","","","","UHB"
"2491","Dexamethasone8 mgOral SolutionOral","","","","","UHB"
"3868","Hydrocortisone10 mgTabletOral","","","","","UHB"
"546","Prednisolone17.5 mgTabletOral","","","","","UHB"
"772","Prednisolone7.5 mgTabletOral","","","","","UHB"
"498","Dexamethasone4 mgTabletOral","","","","","UHB"
"2634","Prednisolone45 mgTabletOral","","","","","UHB"
"3263","Prednisolone30 mgTabletNasogas.","","","","","UHB"
"3688","Dexamethasone5 mgTabletOral","","","","","UHB"
"1249","Fludrocortisone200 microgTabletOral","","","","","UHB"
"1300","PrednisoloneTabletOral","","","","","UHB"
"2506","Dexamethasone12 mgTabletOral","","","","","UHB"
"4809","Prednisolone5 mgDispersible TabletOral","","","","","UHB"
"1052","Hydrocortisone20 mgTabletOral","","","","","UHB"
"2504","Dexamethasone14 mgTabletOral","","","","","UHB"
"1246","Fludrocortisone100 microgTabletOral","","","","","UHB"
"4069","Dexamethasone2 mgTabletNasogas.","","","","","UHB"
"1036","Dexamethasone0.5 mgTabletOral","","","","","UHB"
"1984","Fludrocortisone50 microgTabletOral","","","","","UHB"
"858","Prednisolone40 mgTabletOral","","","","","UHB"
"4199","Dexamethasone500 microgTabletOral","","","","","UHB"
"1637","Prednisolone7 mgTabletOral","","","","","UHB"
"1610","Hydrocortisone30 mgTabletOral","","","","","UHB"
