"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"43441000033118","Amitriptyline Sr Capsules 75 mg    ","","","","","CPRD_AURUM"
"43641000033116","Amitriptyline Hydrochloride Capsules 50 mg    ","","","","","CPRD_AURUM"
"979341000033117","Nortriptyline Capsules 25 mg    ","","","","","CPRD_AURUM"
"64241000033110","Anafranil Injection 12.5mg/ml    ","","","","","CPRD_AURUM"
"979241000033110","Nortriptyline Capsules 10 mg    ","","","","","CPRD_AURUM"
"754141000033110","Imipramine Hydrochloride Syrup 25 mg/5 ml    ","","","","","CPRD_AURUM"
"275441000033113","Clomipramine Hydrochloride Injection 12.5mg/ml    ","","","","","CPRD_AURUM"
"1450741000033110","Tofranil Tablets 10 mg    ","","","","","CPRD_AURUM"
"43541000033117","Amitriptyline Hydrochloride Capsules 25 mg    ","","","","","CPRD_AURUM"
"50041000033116","Amitriptyline Hydrochloride Injection 10mg/ml    ","","","","","CPRD_AURUM"
"43741000033113","Amitriptyline Hydrochloride Capsules 75 mg    ","","","","","CPRD_AURUM"
"51941000033114","Amitriptyline Hydrochloride Mixture Sugar Free 10 mg/5 ml    ","","","","","CPRD_AURUM"
"983141000033114","Nortriptyline Liquid 10mg/5 ml    ","","","","","CPRD_AURUM"
"60441000033116","Amitriptyline 10mg tablets Tablet Oral Amitriptyline hydrochloride 10.000mg","7040200","","","","CPRD_AURUM"
"60641000033119","Amitriptyline 25mg tablets Tablet Oral Amitriptyline hydrochloride 25.000mg","7040200","","","","CPRD_AURUM"
"60541000033115","Amitriptyline 50mg tablets Tablet Oral Amitriptyline hydrochloride 50.000mg","7040200","","","","CPRD_AURUM"
"262041000033115","Clomipramine 10mg capsules Capsule Oral Clomipramine hydrochloride 10.000mg","4030100","","","","CPRD_AURUM"
"61941000033115","Anafranil 10mg capsules (Novartis Pharmaceuticals UK Ltd) Capsule Oral Clomipramine hydrochloride 10.000mg","","","","","CPRD_AURUM"
"62041000033114","Anafranil 25mg capsules (Novartis Pharmaceuticals UK Ltd) Capsule Oral Clomipramine hydrochloride 25.000mg","","","","","CPRD_AURUM"
"262141000033116","Clomipramine 25mg capsules Capsule Oral Clomipramine hydrochloride 25.000mg","4030100","","","","CPRD_AURUM"
"262241000033111","Clomipramine 50mg capsules Capsule Oral Clomipramine hydrochloride 50.000mg","4030100","","","","CPRD_AURUM"
"62141000033113","Anafranil 50mg capsules (Novartis Pharmaceuticals UK Ltd) Capsule Oral Clomipramine hydrochloride 50.000mg","","","","","CPRD_AURUM"
"472141000033110","Dothapax 25 capsules (Ashbourne Pharmaceuticals Ltd) Capsule Oral Dosulepin hydrochloride 25.000mg","4030100","","","","CPRD_AURUM"
"1111541000033117","Prothiaden 25mg capsules (Teofarma) Capsule Oral Dosulepin hydrochloride 25.000mg","4030100","","","","CPRD_AURUM"
"1111641000033116","Prepadine 25mg capsules (Teva UK Ltd) Capsule Oral Dosulepin hydrochloride 25.000mg","4030100","","","","CPRD_AURUM"
"3088941000033118","Dosulepin 25mg capsules Capsule Oral Dosulepin hydrochloride 25.000mg","4030100","","","","CPRD_AURUM"
"3089041000033110","Dosulepin 75mg tablets Tablet Oral Dosulepin hydrochloride 75.000mg","4030100","","","","CPRD_AURUM"
"1135941000033116","Prepadine 75mg tablets (Teva UK Ltd) Tablet Oral Dosulepin hydrochloride 75.000mg","4030100","","","","CPRD_AURUM"
"1135541000033110","Prothiaden 75mg tablets (Teofarma) Tablet Oral Dosulepin hydrochloride 75.000mg","4030100","","","","CPRD_AURUM"
"479641000033111","Dothapax 75 tablets (Ashbourne Pharmaceuticals Ltd) Tablet Oral Dosulepin hydrochloride 75.000mg","4030100","","","","CPRD_AURUM"
"1294541000033115","Sinequan 10mg capsules (Pfizer Ltd) Capsule Oral Doxepin hydrochloride 10.000mg","","","","","CPRD_AURUM"
"473041000033119","Doxepin 10mg capsules Capsule Oral Doxepin hydrochloride 10.000mg","","","","","CPRD_AURUM"
"473141000033115","Doxepin 25mg capsules Capsule Oral Doxepin hydrochloride 25.000mg","4030100","","","","CPRD_AURUM"
"1294641000033119","Sinequan 25mg capsules (Pfizer Ltd) Capsule Oral Doxepin hydrochloride 25.000mg","","","","","CPRD_AURUM"
"4010441000033114","Sinepin 25mg capsules (Marlborough Pharmaceuticals Ltd) Capsule Oral Doxepin hydrochloride 25.000mg","4030100","","","","CPRD_AURUM"
"4010541000033110","Sinepin 50mg capsules (Marlborough Pharmaceuticals Ltd) Capsule Oral Doxepin hydrochloride 50.000mg","4030100","","","","CPRD_AURUM"
"1294741000033111","Sinequan 50mg capsules (Pfizer Ltd) Capsule Oral Doxepin hydrochloride 50.000mg","","","","","CPRD_AURUM"
"473241000033110","Doxepin 50mg capsules Capsule Oral Doxepin hydrochloride 50.000mg","4030100","","","","CPRD_AURUM"
"473341000033117","Doxepin 75mg capsules Capsule Oral Doxepin hydrochloride 75.000mg","4030100","","","","CPRD_AURUM"
"1294841000033118","Sinequan 75mg capsules (Pfizer Ltd) Capsule Oral Doxepin hydrochloride 75.000mg","4030100","","","","CPRD_AURUM"
"755541000033119","Imipramine 10mg tablets Tablet Oral Imipramine hydrochloride 10.000mg","7040200","","","","CPRD_AURUM"
