"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"375841000033115","Cosuric Tablets 100 mg    ","","","","","CPRD_AURUM"
"1543141000033114","Xanthomax Capsules 100 mg    ","","","","","CPRD_AURUM"
"662741000033119","Hamarin Tablets 300 mg    ","","","","","CPRD_AURUM"
"375941000033111","Cosuric Tablets 300 mg    ","","","","","CPRD_AURUM"
"2915641000033118","Benzbromarone Tablet 50 mg    ","","","","","CPRD_AURUM"
"662641000033111","Hamarin Tablets 100 mg    ","","","","","CPRD_AURUM"
"3988241000033119","Allopurinol Oral Solution, Sugar Free 100 mg/5 ml    ","","","","","CPRD_AURUM"
"41341000033113","Allopurinol 100mg tablets Tablet Oral Allopurinol 100.000mg","10010400","","","","CPRD_AURUM"
"1543441000033118","Xanthomax 100 tablets (Ashbourne Pharmaceuticals Ltd) Tablet Oral Allopurinol 100.000mg","","","","","CPRD_AURUM"
"1565441000033110","Zyloric 100mg tablets (Aspen Pharma Trading Ltd) Tablet Oral Allopurinol 100.000mg","10010400","","","","CPRD_AURUM"
"213941000033112","Caplenal 100mg tablets (Teva UK Ltd) Tablet Oral Allopurinol 100.000mg","10010400","","","","CPRD_AURUM"
"9698141000033114","Uricto 100mg tablets (Ennogen Pharma Ltd) Tablet Oral Allopurinol 100.000mg","","","","","CPRD_AURUM"
"214041000033114","Caplenal 300mg tablets (Teva UK Ltd) Tablet Oral Allopurinol 300.000mg","10010400","","","","CPRD_AURUM"
"1565541000033111","Zyloric 300mg tablets (Aspen Pharma Trading Ltd) Tablet Oral Allopurinol 300.000mg","10010400","","","","CPRD_AURUM"
"1543841000033115","Xanthomax 300 tablets (Ashbourne Pharmaceuticals Ltd) Tablet Oral Allopurinol 300.000mg","","","","","CPRD_AURUM"
"41441000033119","Allopurinol 300mg tablets Tablet Oral Allopurinol 300.000mg","10010400","","","","CPRD_AURUM"
"9698941000033111","Uricto 300mg tablets (Ennogen Pharma Ltd) Tablet Oral Allopurinol 300.000mg","","","","","CPRD_AURUM"
"3103641000033114","Sulfinpyrazone 100mg tablets Tablet Oral Sulfinpyrazone 100.000mg","10010400","","","","CPRD_AURUM"
"69241000033111","Anturan 100mg tablets (Amdipharm Plc) Tablet Oral Sulfinpyrazone 100.000mg","","","","","CPRD_AURUM"
"69341000033118","Anturan 200mg tablets (Amdipharm Plc) Tablet Oral Sulfinpyrazone 200.000mg","","","","","CPRD_AURUM"
"3103741000033117","Sulfinpyrazone 200mg tablets Tablet Oral Sulfinpyrazone 200.000mg","10010400","","","","CPRD_AURUM"
"142241000033118","Benemid 500mg tablets (Merck Sharp & Dohme Ltd) Tablet Oral Probenecid 500.000mg","","","","","CPRD_AURUM"
"1133341000033119","Probenecid 500mg tablets Tablet Oral Probenecid 500.000mg","10010400","","","","CPRD_AURUM"
"5430341000033114","Adenuric 80mg tablets (A. Menarini Farmaceutica Internazionale SRL) Tablet Oral Febuxostat 80.000mg","10010400","","","","CPRD_AURUM"
"5430141000033111","Febuxostat 80mg tablets Tablet Oral Febuxostat 80.000mg","10010400","","","","CPRD_AURUM"
"5887741000033111","Allopurinol 100mg/5ml oral suspension Oral suspension Oral Allopurinol 20.000mg/1.000ml","","","","","CPRD_AURUM"
"5887641000033119","Allopurinol 100mg/5ml oral solution Oral solution Oral Allopurinol 20.000mg/1.000ml","","","","","CPRD_AURUM"
"5990441000033111","Allopurinol 300mg/5ml oral solution Oral solution Oral Allopurinol 60.000mg/1.000ml","","","","","CPRD_AURUM"
"3059141000033115","Allopurinol 300mg/5ml oral suspension Oral suspension Oral Allopurinol 60.000mg/1.000ml","","","","","CPRD_AURUM"
"5430241000033116","Febuxostat 120mg tablets Tablet Oral Febuxostat 120.000mg","10010400","","","","CPRD_AURUM"
"5430441000033115","Adenuric 120mg tablets (A. Menarini Farmaceutica Internazionale SRL) Tablet Oral Febuxostat 120.000mg","10010400","","","","CPRD_AURUM"
"5998041000033116","Benzbromarone 100mg tablets Tablet Oral Benzbromarone 100.000mg","","","","","CPRD_AURUM"
