"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"2095","Sodium Valproate200 mgGastro Resistant TabletOral","","","","","UHB"
"3970","Sodium Valproate1000 mgLiquidOral","","","","","UHB"
"2177","Sodium Valproate SR500 mgTabletOral","","","","","UHB"
"2054","Sodium Valproate SR600 mgTabletOral","","","","","UHB"
"4666","Sodium Valproate2 gGastro Resistant TabletOral","","","","","UHB"
"1651","Semi Sodium Valproate500 mgTabletOral","","","","","UHB"
"2264","Sodium Valproate SR300 mgTabletOral","","","","","UHB"
"4513","Sodium Valproate2.5 gLiquidOral","","","","","UHB"
"2367","Sodium Valproate800 mgGastro Resistant TabletOral","","","","","UHB"
"2891","Sodium Valproate2500 mgLiquidOral","","","","","UHB"
"227","Sodium Valproate SR1000 mgTabletOral","","","","","UHB"
"1388","Sodium Valproate1500 mgLiquidOral","","","","","UHB"
"4477","Sodium ValproateLiquidOral","","","","","UHB"
"3578","Sodium Valproate2000 mgGastro Resistant TabletOral","","","","","UHB"
"4814","Sodium Valproate (sugar free)1000 mgLiquidOral","","","","","UHB"
"3530","Sodium Valproate SR200 mgTabletOral","","","","","UHB"
"2776","Sodium Valproate900 mgLiquidGastrost.","","","","","UHB"
"756","Sodium Valproate1000 mgGastro Resistant TabletOral","","","","","UHB"
"2096","Sodium Valproate200 mgLiquidOral","","","","","UHB"
"2420","Sodium Valproate600 mgGastro Resistant TabletOral","","","","","UHB"
"240","Sodium Valproate SR1000 mgTabletNasogas.","","","","","UHB"
"1385","Semi Sodium Valproate1500 mgTabletOral","","","","","UHB"
"3882","Semi Sodium Valproate750 mgTabletOral","","","","","UHB"
"1643","Semi Sodium Valproate1000 mgTabletOral","","","","","UHB"
"1530","Sodium Valproate500 mgGastro Resistant TabletOral","","","","","UHB"
