"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"31341","Calcitriol 1micrograms/1ml solution for injection ampoules Calcitriol 1microgram/1ml Solution for injection Intravenous","00000000","","","","CPRD_GOLD"
"59043","Colecalciferol 200units/drop oral drops sugar free Colecalciferol 200unit/1drop Oral drops Oral","09060400","","","","CPRD_GOLD"
"47078","Pro D3 10,000unit capsules (Synergy Biologics Ltd) Colecalciferol 10000unit Capsule Oral","09060400","","","","CPRD_GOLD"
"61745","TheiCal-D3 1000mg/880unit chewable tablets (Stirling Anglian Pharmaceuticals Ltd) Colecalciferol/Calcium carbonate 880unit + 2.5gram Chewable tablet Oral","09060400","","","","CPRD_GOLD"
"5754","Ergocalciferol with calcium tablets Calcium Phosphate/Ergocalciferol/Calcium Lactate  Tablets Oral","09050101","09060400","","","CPRD_GOLD"
"45667","Colecalciferol 1,000unit tablets Colecalciferol 1000unit Tablet Oral","09060400","","","","CPRD_GOLD"
"60525","Colecalciferol 500unit orodispersible tablets sugar free Colecalciferol 500unit Orodispersible tablet Oral","09060400","","","","CPRD_GOLD"
"61853","D-Max 20,000unit capsules (Nutraconcepts Ltd) Colecalciferol 20000unit Capsule Oral","09060400","","","","CPRD_GOLD"
"58599","Pro D3 folic capsules (Synergy Biologics Ltd) Colecalciferol/Folic acid 1000unit + 400microgram Capsule Oral","09010200","09060400","","","CPRD_GOLD"
"54259","Solgar Vitamin D3 400unit capsules (Solgar Vitamin and Herb) Colecalciferol 400unit Capsule Oral","09060400","","","","CPRD_GOLD"
"71829","E-D3 600unit capsules (Ennogen Healthcare Ltd) Colecalciferol 600unit Capsule Oral","09060400","","","","CPRD_GOLD"
"7320","Calfovit D3 oral powder sachets (A. Menarini Farmaceutica Internazionale SRL) Calcium phosphate/Colecalciferol 3.1gram + 800unit Powder Oral","06060000","09060400","","","CPRD_GOLD"
"59386","Cubicole D3 5,000unit capsules (Cubic Pharmaceuticals Ltd) Colecalciferol 5000unit Capsule Oral","09060400","","","","CPRD_GOLD"
"72267","SunVit-D3 25,000unit tablets (SunVit-D3 Ltd) Colecalciferol 25000unit Tablet Oral","09060400","","","","CPRD_GOLD"
"38475","Vitamins additive to infusion solution adult prepartion Ergocalciferol/Phytomenadione/Retinol Palmitate/Alpha Tocopherol  Adult Preparation ","09030000","","","","CPRD_GOLD"
"50231","Calcium carbonate 400mg / Ergocalciferol 2.5microgram tablets Ergocalciferol/Calcium carbonate 2.5microgram + 400mg Tablet Oral","09060400","","","","CPRD_GOLD"
"72608","EveryDay-D 400unit chewable tablets (Vega Nutritionals Ltd) Colecalciferol 400unit Chewable tablet Oral","09060400","","","","CPRD_GOLD"
"31791","Seven Seas Simply Timeless Cod Liver Oil syrup orange (Seven Seas Ltd) Cod liver oil/Retinol/Colecalciferol 1ml/1ml +  +  Liquid Oral","09040251","","","","CPRD_GOLD"
"36087","Ergocalciferol 600,000units/2ml solution for injection ampoules Ergocalciferol 300000unit/1ml Solution for injection Intramuscular","09060400","","","","CPRD_GOLD"
"23296","Calcium carbonate 1.25g with Colecalciferol 10micrograms sugar free chewable tablets Calcium Carbonate/Colecalciferol 1.25g + 10micrograms Chewable Tablets Sugar-Free Oral","09050101","09060400","","","CPRD_GOLD"
"37610","Omega 3 fish oils with other ingredients Capsule Ascorbic Acid/Cyanocobalamin/Copper Sulphate/Folic Acid/Manganese Sulphate/Pyridoxine Hydrochloride/Riboflavin/Alpha Tocopherol/Zinc Sulphate/Lecithin/Colecalciferol/Thiamine Nitrate/Marine Fish Oil/Sodium Selenite/Garlic Oil/Chromic Chloride/C  Capsule Oral","09060750","","","","CPRD_GOLD"
"23022","Concavit syrup (Wallace Manufacturing Chemists Ltd) Riboflavin sodium phosphate/Pyridoxine hydrochloride/Nicotinamide/Vitamin A/Ergocalciferol/Ascorbic acid/Sodium ascorbate/Thiamine hydrochloride/Dexpanthenol 200microgram/1ml + 200microgram/1ml + 2.5mg/1ml + 1000unit/1ml + 100unit/1ml + 3.87mg/1ml + 6.89mg/1ml + 400microgram/1ml + 400microgram/1ml Oral solution Oral","09060700","","","","CPRD_GOLD"
"50387","Aciferol D3 1,000unit tablets (Rhodes Pharma Ltd) Colecalciferol 1000unit Tablet Oral","09060400","","","","CPRD_GOLD"
"55030","Ergocalciferol 20,000units/5ml oral solution Ergocalciferol 4000unit/1ml Oral solution Oral","09060400","","","","CPRD_GOLD"
"65398","Colecalciferol 50,000units/1ml oral solution unit dose ampoules sugar free Colecalciferol 50000unit/1ml Oral solution Oral","09060400","","","","CPRD_GOLD"
"56562","Cubicole D3 1,000unit capsules (Cubic Pharmaceuticals Ltd) Colecalciferol 1000unit Capsule Oral","09060400","","","","CPRD_GOLD"
"62749","Colecalciferol 10,000units/ml oral solution sugar free Colecalciferol 10000unit/1ml Oral solution Oral","09060400","","","","CPRD_GOLD"
"79475","Natures Aid Vitamin D3 400unit tablets (Natures Aid Ltd) Colecalciferol 400unit Tablet Oral","09060400","","","","CPRD_GOLD"
"70721","D-Max 1,000unit capsules (Nutraconcepts Ltd) Colecalciferol 1000unit Capsule Oral","09060400","","","","CPRD_GOLD"
"1982","Forceval Capsule (Alliance Pharmaceuticals Ltd) Magnesium Oxide/Betacarotene/Nicotinamide/Potassium Iodide/Copper Sulphate/Biotin/Cyanocobalamin/Ergocalciferol/Phytomenadione/Pyridoxine/Thiamine/Ferrous Fumarate/Sodium Molybdate/Pantothenic Acid/Zinc Sulphate/Ascorbic Acid/Riboflavin/Alpha Tocopheryl Acetate/Chromium/Selenium/Folic Acid/Manganese Sulphate  Capsule Oral","09060750","","","","CPRD_GOLD"
"75955","Colecalciferol 500 units tablets Colecalciferol   ","09060400","","","","CPRD_GOLD"
"54123","Aciferol D3 2,200unit tablets (Rhodes Pharma Ltd) Colecalciferol 2200unit Tablet Oral","09060400","","","","CPRD_GOLD"
"19894","Alfacalcidol 2micrograms/ml intravenous injection Alfacalcidol 2micrograms/ml IV Injection Intravenous Injection","09060400","","","","CPRD_GOLD"
"63868","Colecalciferol 1,000unit tablets (Waymade Healthcare Plc) Colecalciferol 1000unit Tablet Oral","09060400","","","","CPRD_GOLD"
"42583","Multivitamins with minerals, trace elements and ginseng Capsule Lecithin/Nicotinamide/Calcium Phosphate/Magnesium Sulphate Heptahydrate/Copper Sulphate/Biotin/Cyanocobalamin/Ginseng/Pyridoxine Hydrochloride/Thiamine/Vitamin A/Sodium Selenite/Zinc Sulphate/Ferrous Sulphate/Ascorbic Acid/Riboflavin/Alpha Tocopheryl Acetate/Colecalciferol/Folic Acid  Capsule Oral","09060750","","","","CPRD_GOLD"
"53257","Pro D3 2,000units/ml liquid drops (Synergy Biologics Ltd) Colecalciferol 2000unit/1ml Oral drops Oral","09060400","","","","CPRD_GOLD"
"53862","ColeVit D3 2,200unit capsules (Sterling Pharmaceuticals Ltd) Colecalciferol 2200unit Capsule Oral","09060400","","","","CPRD_GOLD"
"47076","Pro D3 30,000unit capsules (Synergy Biologics Ltd) Colecalciferol 30000unit Capsule Oral","09060400","","","","CPRD_GOLD"
"50373","Pro D3 2,000units/ml liquid (Synergy Biologics Ltd) Colecalciferol 2000unit/1ml Oral solution Oral","09060400","","","","CPRD_GOLD"
"76446","Generic Sandocal+D 600 effervescent tablets Calcium lactate gluconate/Colecalciferol/Calcium carbonate 1.358gram + 400unit + 1.05gram Effervescent tablet Oral","09060400","","","","CPRD_GOLD"
"68652","Strivit-D3 800unit capsules (Strides Pharma UK Ltd) Colecalciferol 800unit Capsule Oral","09060400","","","","CPRD_GOLD"
"49270","Ergocalciferol 3,000units/ml oral solution Ergocalciferol 3000unit/1ml Oral solution Oral","09060400","","","","CPRD_GOLD"
"56183","Calcium and Ergocalciferol tablets (Phoenix Healthcare Distribution Ltd) Calcium lactate/Calcium phosphate/Ergocalciferol 300mg + 150mg + 10microgram Tablet Oral","09060400","","","","CPRD_GOLD"
"47493","Calcitriol 250nanogram capsules (PLIVA Pharma Ltd) Calcitriol 250nanogram Capsule Oral","09060400","","","","CPRD_GOLD"
"53212","Aciferol D3 10,000unit tablets (Rhodes Pharma Ltd) Colecalciferol 10000unit Tablet Oral","09060400","","","","CPRD_GOLD"
"78590","Pro D3 2,000units/ml Vegan liquid (Synergy Biologics Ltd) Colecalciferol 2000unit/1ml Oral solution Oral","09060400","","","","CPRD_GOLD"
"44901","Colecalciferol 50,000unit capsules Colecalciferol 50000unit Capsule Oral","09060400","","","","CPRD_GOLD"
"48846","Colecalciferol 10,000units/ml oral solution Colecalciferol 10000unit/1ml Oral solution Oral","09060400","","","","CPRD_GOLD"
"55016","Ergoral D2 10,000unit tablets (Cubic Pharmaceuticals Ltd) Ergocalciferol 250microgram Tablet Oral","09060400","","","","CPRD_GOLD"
"49174","Ergocalciferol 50,000units/5ml oral suspension Ergocalciferol 10000unit/1ml Oral suspension Oral","09060400","","","","CPRD_GOLD"
"70661","SunVit-D3 2,000units/ml oral solution (SunVit-D3 Ltd) Colecalciferol 2000unit/1ml Oral solution Oral","09060400","","","","CPRD_GOLD"
"49447","Pro D3 forte 3,000units/ml liquid (Synergy Biologics Ltd) Colecalciferol 3000unit/1ml Oral solution Oral","09060400","","","","CPRD_GOLD"
"63104","Colecalciferol 10,000units/ml oral drops sugar free Colecalciferol 10000unit/1ml Oral drops Oral","09060400","","","","CPRD_GOLD"
"52250","Ergocalciferol 15,000units/5ml oral solution Ergocalciferol 3000unit/1ml Oral solution Oral","00000000","","","","CPRD_GOLD"
"71671","SunVit-D3 800unit capsules (SunVit-D3 Ltd) Colecalciferol 800unit Capsule Oral","09060400","","","","CPRD_GOLD"
"50379","Ergocalciferol 300,000units/1ml solution for injection ampoules (Special Order) Ergocalciferol 300000unit/1ml Solution for injection Intramuscular","09060400","","","","CPRD_GOLD"
"52279","Bio-Vitamin D3 20,000unit capsules (Pharma Nord (UK) Ltd) Colecalciferol 20000unit Capsule Oral","09060400","","","","CPRD_GOLD"
