"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"14934978","Alendronic acid 70mg / Colecalciferol 140microgram tablets","00000000","00000000","00000000","","IMRD"
"18370978","Colecalciferol 1,000unit capsules","00000000","00000000","00000000","","IMRD"
"18378978","Colecalciferol 20,000unit capsules","00000000","00000000","00000000","","IMRD"
"19741978","Colecalciferol 3,200unit capsules","00000000","00000000","00000000","","IMRD"
"19755978","Colecalciferol 20,000unit capsules","00000000","00000000","00000000","","IMRD"
"19926978","Colecalciferol 400unit / folic acid 400microgram capsules","00000000","00000000","00000000","","IMRD"
"20888978","Colecalciferol 4,000unit tablets","00000000","00000000","00000000","","IMRD"
"20891978","Colecalciferol 1,000unit capsules","00000000","00000000","00000000","","IMRD"
"21043978","Colecalciferol 2,500unit tablets","00000000","00000000","00000000","","IMRD"
"21105978","Colecalciferol 25,000unit tablets","00000000","00000000","00000000","","IMRD"
"21106978","Colecalciferol 40,000unit capsules","00000000","00000000","00000000","","IMRD"
"21109978","Colecalciferol 800unit capsules","00000000","00000000","00000000","","IMRD"
"21112978","Colecalciferol 2,500unit capsules","00000000","00000000","00000000","","IMRD"
"21295978","Colecalciferol 1,000units/ml oral drops sugar free","00000000","00000000","00000000","","IMRD"
"21296978","Colecalciferol 1,000units/ml oral drops sugar free","00000000","00000000","00000000","","IMRD"
"21605978","Colecalciferol 800unit tablets","09060400","00000000","00000000","A11CC05","IMRD"
"21751978","Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets","09060400","09050101","09060400","A11JB","IMRD"
"22398978","Ergocalciferol 250microgram capsules","00000000","00000000","00000000","","IMRD"
"22522978","Colecalciferol 400unit / Calcium carbonate 1.5g tablets","09060400","09050101","09060400","A12AX","IMRD"
"22644978","Colecalciferol 400units/ml oral drops sugar free","00000000","00000000","00000000","","IMRD"
"22645978","Colecalciferol 400units/ml oral drops sugar free","00000000","00000000","00000000","","IMRD"
"22662978","Colecalciferol 400unit chewable tablets","00000000","00000000","00000000","","IMRD"
"22663978","Colecalciferol 400unit chewable tablets","00000000","00000000","00000000","","IMRD"
"22665978","Colecalciferol 2,000unit chewable tablets","00000000","00000000","00000000","","IMRD"
"22968978","Colecalciferol 15,000units/5ml oral solution sugar free","00000000","00000000","00000000","","IMRD"
"22969978","Colecalciferol 15,000units/5ml oral solution sugar free","00000000","00000000","00000000","","IMRD"
"22970978","Colecalciferol 15,000units/5ml oral solution sugar free","00000000","00000000","00000000","","IMRD"
"22971978","Colecalciferol 10,000units/5ml oral solution sugar free","00000000","00000000","00000000","","IMRD"
"22972978","Colecalciferol 10,000units/5ml oral solution sugar free","00000000","00000000","00000000","","IMRD"
"22973978","Colecalciferol 10,000units/5ml oral solution sugar free","00000000","00000000","00000000","","IMRD"
"24071978","Colecalciferol 5,600unit capsules","00000000","00000000","00000000","","IMRD"
"24072978","Colecalciferol 5,600unit capsules","00000000","00000000","00000000","","IMRD"
"24073978","Colecalciferol 25,000unit capsules","00000000","00000000","00000000","","IMRD"
"24074978","Colecalciferol 25,000unit capsules","00000000","00000000","00000000","","IMRD"
"24095978","Colecalciferol 3,200unit capsules","00000000","00000000","00000000","","IMRD"
"24106978","Colecalciferol 2,500unit capsules","00000000","00000000","00000000","","IMRD"
"24108978","Colecalciferol 400unit capsules","00000000","00000000","00000000","","IMRD"
"24109978","Colecalciferol 400unit capsules","00000000","00000000","00000000","","IMRD"
"24110978","Colecalciferol 2,200unit capsules","00000000","00000000","00000000","","IMRD"
"24112978","Colecalciferol 10,000unit tablets","09060400","00000000","00000000","A11CC05","IMRD"
"24113978","Colecalciferol 50,000unit capsules","00000000","00000000","00000000","","IMRD"
"24114978","Colecalciferol 50,000unit capsules","00000000","00000000","00000000","","IMRD"
"24205978","Colecalciferol 200unit / calcium phosphate 250mg chewable tablets","00000000","00000000","00000000","","IMRD"
"24207978","Colecalciferol 200unit / calcium phosphate 250mg chewable tablets","00000000","00000000","00000000","","IMRD"
"24775978","Colecalciferol 4,000unit capsules","00000000","00000000","00000000","","IMRD"
"26002978","Colecalciferol 800unit tablets","09060400","00000000","00000000","A11CC05","IMRD"
"28467978","Colecalciferol 2,740units/ml oral drops sugar free","00000000","00000000","00000000","","IMRD"
"28480978","Colecalciferol 400unit capsules","00000000","00000000","00000000","","IMRD"
"28751978","Colecalciferol 800unit tablets","09060400","00000000","00000000","A11CC05","IMRD"
"28752978","Colecalciferol 400unit tablets","00000000","00000000","00000000","","IMRD"
"29485978","Colecalciferol 2,000units/ml oral drops sugar free","00000000","00000000","00000000","","IMRD"
"29735978","Colecalciferol 3,200unit capsules","00000000","00000000","00000000","","IMRD"
"29738978","Colecalciferol 800unit tablets","00000000","00000000","00000000","","IMRD"
"29742978","Colecalciferol 800unit capsules","00000000","00000000","00000000","","IMRD"
"30212978","Colecalciferol 5,000units/ml oral drops sugar free","00000000","00000000","00000000","","IMRD"
"30272978","Colecalciferol 5,000unit tablets","00000000","00000000","00000000","","IMRD"
"30274978","Colecalciferol 400unit tablets","00000000","00000000","00000000","","IMRD"
"30275978","Colecalciferol 5,000unit capsules","00000000","00000000","00000000","","IMRD"
