"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"4280","colecalciferol 400unit/ calcium carbonate 1.25g1 tabTabletOral","","","","","UHB"
"1748","Colecalciferol (Vitamin D)50000 unitsSuspensionOral","","","","","UHB"
"4185","colecalciferol 200 unit and calcium carbonate 750mg 2 tabTabletOral","","","","","UHB"
"4305","Colecalciferol (Vitamin D)400 unitsTabletOral","","","","","UHB"
"2120","Alfacalcidol200 nanogOral DropsSubling","","","","","UHB"
"837","Alfacalcidol1000 nanogCapsuleOral","","","","","UHB"
"4540","Colecalciferol (Vitamin D)20000 unitsTabletOral","","","","","UHB"
"1444","Alfacalcidol3 microgCapsuleOral","","","","","UHB"
"1372","Alfacalcidol1 microgCapsuleOral","","","","","UHB"
"3754","Colecalciferol (Vitamin D)25000 unitsSuspensionOral","","","","","UHB"
"1935","Colecalciferol (Vitamin D)5600 unitsTabletOral","","","","","UHB"
"1305","colecalciferol 800unit / calcium phosphate 3.1g oral powder sachets1 SachetPowderOral","","","","","UHB"
"3701","Colecalciferol (Vitamin D)0 unitsCapsuleOral","","","","","UHB"
"4615","Colecalciferol (Vitamin D)1400 unitsTabletOral","","","","","UHB"
"1171","Alfacalcidol250 nanogCapsuleOral","","","","","UHB"
"4183","Colecalciferol (Vitamin D)1000 unitsTabletOral","","","","","UHB"
"4557",".colecalciferol 800 units od","","","","","UHB"
"1005","Alfacalcidol500 nanogInjectionInt.Infus","","","","","UHB"
"1196","Colecalciferol (Vitamin D)50000 unitsTabletOral","","","","","UHB"
"1180","Alfacalcidol300 nanogOral DropsOral","","","","","UHB"
"4643","Colecalciferol (Vitamin D)SuspensionOral","","","","","UHB"
"3675","Colecalciferol (Vitamin D)4000 unitsTabletOral","","","","","UHB"
"4624","Colecalciferol (Vitamin D)30000 unitsTabletOral","","","","","UHB"
"1042","Colecalciferol (Vitamin D)3200 unitsTabletOral","","","","","UHB"
"3156","Alfacalcidol1500 nanogCapsuleOral","","","","","UHB"
"4111","Colecalciferol (Vitamin D)1600 unitsTabletOral","","","","","UHB"
"3091","Alfacalcidol1.75 microgCapsuleOral","","","","","UHB"
"3879","Colecalciferol (Vitamin D)1600 unitsCapsuleOral","","","","","UHB"
"770","Alfacalcidol500 nanogCapsuleOral","","","","","UHB"
"1181","Alfacalcidol250 nanogOral DropsOral","","","","","UHB"
"1431","Alfacalcidol2 microgCapsuleOral","","","","","UHB"
"3001","Alfacalcidol1.25 microgCapsuleOral","","","","","UHB"
"33","Colecalciferol (Vitamin D)800 unitsTabletOral","","","","","UHB"
"4554","colecalciferol 880unit / calcium carbonate 2.5g1 tabChewable tabletOral","","","","","UHB"
"363","Alfacalcidol200 nanogOral DropsOral","","","","","UHB"
"335","colecalciferol 200 units and calcium carbonate 750mg1 tabTabletOral","","","","","UHB"
"1441","Alfacalcidol2.5 microgCapsuleOral","","","","","UHB"
"1445","Alfacalcidol18 microgCapsuleOral","","","","","UHB"
"4144","colecalciferol 200unit/calcium carbonate 1.25g1 tabTabletOral","","","","","UHB"
"834","Alfacalcidol750 nanogCapsuleOral","","","","","UHB"
"4868","Colecalciferol (Vitamin D)1000 unitsCapsuleOral","","","","","UHB"
"1012","Alfacalcidol2000 nanogCapsuleOral","","","","","UHB"
"2809","Colecalciferol (Vitamin D)3200 unitsCapsuleOral","","","","","UHB"
"1116","Colecalciferol (Vitamin D)20000 unitsCapsuleOral","","","","","UHB"
"1425","Alfacalcidol4 microgCapsuleOral","","","","","UHB"
"177","Colecalciferol (Vitamin D)800 unitsCapsuleOral","","","","","UHB"
"4300","Colecalciferol (Vitamin D)5600 unitsCapsuleOral","","","","","UHB"
"2998","Alfacalcidol200 nanogOral DropsGastrost.","","","","","UHB"
"2971","Colecalciferol (Vitamin D)25000 unitsTabletOral","","","","","UHB"
"3496","Alfacalcidol0.5 microgCapsuleOral","","","","","UHB"
"1428","Alfacalcidol10 microgCapsuleOral","","","","","UHB"
"1580","Colecalciferol (Vitamin D)TabletOral","","","","","UHB"
"1308","Calfovit D31 SachetPowderOral","","","","","UHB"
"4516","colecalciferol 200unit/calcium carbonate 750mg1 tabTabletOral","","","","","UHB"
