"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"62310","Warfarin 500microgram tablets (Advanz Pharma) Warfarin sodium 500microgram Tablet Oral","02080200","","","","CPRD_GOLD"
"31937","Warfarin 5mg tablets (Teva UK Ltd) Warfarin sodium 5mg Tablet Oral","02080200","","","","CPRD_GOLD"
"72040","Warfarin 3mg tablets (Crescent Pharma Ltd) Warfarin sodium 3mg Tablet Oral","02080200","","","","CPRD_GOLD"
"55316","Warfarin 3mg/5ml oral suspension Warfarin sodium 600microgram/1ml Oral suspension Oral","02080200","","","","CPRD_GOLD"
"66570","Warfarin 1mg tablets (Waymade Healthcare Plc) Warfarin sodium 1mg Tablet Oral","02080200","","","","CPRD_GOLD"
"44866","Warfarin sodium 1mg/ml oral supension SF Warfarin Sodium 1mg/ml Oral Suspension Sugar-Free Oral","02080200","","","","CPRD_GOLD"
"34417","Warfarin 3mg tablets (Teva UK Ltd) Warfarin sodium 3mg Tablet Oral","02080200","","","","CPRD_GOLD"
"33711","Warfarin 5mg Tablet (WB Pharmaceuticals Ltd) Warfarin sodium 5mg Tablet Oral","02080200","","","","CPRD_GOLD"
"38041","Warfarin sodium 5mg/ml oral suspension Warfarin Sodium 5mg/5ml Oral Suspension Oral","02080200","","","","CPRD_GOLD"
"34418","Warfarin 5mg tablets (Mylan) Warfarin sodium 5mg Tablet Oral","02080200","","","","CPRD_GOLD"
"68795","Warfarin 1mg capsules Warfarin sodium 1mg Capsule Oral","02080200","","","","CPRD_GOLD"
"1781","Warfarin 5mg tablets Warfarin sodium 5mg Tablet Oral","02080200","","","","CPRD_GOLD"
"10560","WARFARIN 10 MG TAB    ","00000000","","","","CPRD_GOLD"
"13348","Marevan 5mg tablets (Advanz Pharma) Warfarin sodium 5mg Tablet Oral","02080200","","","","CPRD_GOLD"
"34864","Warfarin 5mg tablets (IVAX Pharmaceuticals UK Ltd) Warfarin sodium 5mg Tablet Oral","02080200","","","","CPRD_GOLD"
"34918","Warfarin 5mg tablets (Actavis UK Ltd) Warfarin sodium 5mg Tablet Oral","02080200","","","","CPRD_GOLD"
"76072","Warfarin 1mg tablets (Mawdsley-Brooks & Company Ltd) Warfarin sodium 1mg Tablet Oral","02080200","","","","CPRD_GOLD"
"8466","Marevan 1mg tablets (Advanz Pharma) Warfarin sodium 1mg Tablet Oral","02080200","","","","CPRD_GOLD"
"36099","Warfarin 1mg/5ml oral suspension Warfarin sodium 200microgram/1ml Oral suspension Oral","02080200","","","","CPRD_GOLD"
"30202","Warfarin wbp 1mg Tablet (Boehringer Ingelheim Ltd) Warfarin sodium 1mg Tablet Oral","02080200","","","","CPRD_GOLD"
"58519","Warfarin 1mg tablets (DE Pharmaceuticals) Warfarin sodium 1mg Tablet Oral","02080200","","","","CPRD_GOLD"
"59400","Warfarin 500microgram tablets (Sigma Pharmaceuticals Plc) Warfarin sodium 500microgram Tablet Oral","02080200","","","","CPRD_GOLD"
"69128","Warfarin 500micrograms/5ml oral solution Warfarin sodium 100microgram/1ml Oral solution Oral","02080200","","","","CPRD_GOLD"
"34299","Warfarin 1mg tablets (Teva UK Ltd) Warfarin sodium 1mg Tablet Oral","02080200","","","","CPRD_GOLD"
"38044","Warfarin 5mg/5ml oral solution Warfarin sodium 1mg/1ml Oral solution Oral","02080200","","","","CPRD_GOLD"
"56314","Warfarin 3mg tablets (Kent Pharmaceuticals Ltd) Warfarin sodium 3mg Tablet Oral","02080200","","","","CPRD_GOLD"
"50000","Warfarin 1mg/ml oral suspension sugar free (A A H Pharmaceuticals Ltd) Warfarin sodium 1mg/1ml Oral suspension Oral","02080200","","","","CPRD_GOLD"
"45","Warfarin 1mg tablets Warfarin sodium 1mg Tablet Oral","02080200","","","","CPRD_GOLD"
