"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"3491","Warfarin Sodium7-10 mgTabletOral","","","","","UHB"
"2871","Warfarin Sodium3.5 mgTabletOral","","","","","UHB"
"3116","Warfarin Sodium4.5 mgTabletOral","","","","","UHB"
"2681","Warfarin Sodium7 mgTabletOral","","","","","UHB"
"3008","Warfarin Sodium2.5 mgTabletOral","","","","","UHB"
"2699","Warfarin Sodium3 mgTabletOral","","","","","UHB"
"3925","Warfarin Sodium5.5 mgTabletOral","","","","","UHB"
"3282","Warfarin Sodium1.5 mgTabletOral","","","","","UHB"
"3421","Warfarin Sodium0.5 mgTabletOral","","","","","UHB"
"1354","Warfarin Sodium6 mgTabletOral","","","","","UHB"
"2703","Warfarin Sodium4 mgTabletOral","","","","","UHB"
"3490","Warfarin Sodium12 mgTabletOral","","","","","UHB"
"2721","Warfarin Sodium9 mgTabletOral","","","","","UHB"
"1350","Warfarin SodiumTabletOral","","","","","UHB"
"2678","Warfarin Sodium7.5 mgTabletOral","","","","","UHB"
"3281","Warfarin Sodium1 mgTabletOral","","","","","UHB"
"2713","Warfarin Sodium12.5 mgTabletOral","","","","","UHB"
"3024","Warfarin Sodium8.5 mgTabletOral","","","","","UHB"
"3494","Warfarin Sodium14 mgTabletOral","","","","","UHB"
"3498","Warfarin Sodium1-5 mgTabletOral","","","","","UHB"
"2682","Warfarin Sodium0 mgTabletOral","","","","","UHB"
"1351","Warfarin Sodium10 mgTabletOral","","","","","UHB"
"1356","Warfarin Sodium2 mgTabletOral","","","","","UHB"
"1355","Warfarin Sodium8 mgTabletOral","","","","","UHB"
"1352","Warfarin Sodium5 mgTabletOral","","","","","UHB"
