"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"4571","Tramadol50 mgOral","","","","","UHB"
"4758","Tramacet 325mg/37.5mg1 tabTabletOral","","","","","UHB"
"1702","Tramadol50 mgInjectionInt.Infus","","","","","UHB"
"1953","Co-codamol 30/5001-2 tabTabletOral","","","","","UHB"
"54","Tramadol50 mgCapsuleOral","","","","","UHB"
"4257","Dihydrocodeine Tartrate30-60 mgTabletOral","","","","","UHB"
"4","Codeine Phosphate30-60 mgTabletOral","","","","","UHB"
"4317","co-codamol 15/5001 tabTabletOral","","","","","UHB"
"1749","Codeine Phosphate45 mgTabletOral","","","","","UHB"
"299","Codeine Phosphate60 mgTabletOral","","","","","UHB"
"1169","Codeine Phosphate15 mgTabletGastrost.","","","","","UHB"
"4216","co-codamol 15/5001-2 tabTabletOral","","","","","UHB"
"3751","Tramadol SR150 mgTabletOral","","","","","UHB"
"4364","Co-codamol 30/5001 tabDispersible TabletOral","","","","","UHB"
"3240","Co-codamol 8/5002 tabTabletOral","","","","","UHB"
"21","Dihydrocodeine Tartrate30 mgTabletOral","","","","","UHB"
"1696","Tramadol50 mgInjectionInt.Bolus","","","","","UHB"
"4433","Co-codamol 8/5002 tabDispersible TabletOral","","","","","UHB"
"4878","Dihydrocodeine mr90 mgTabletOral","","","","","UHB"
"4339","Co-codamol 30/5001-2 CapCapsuleOral","","","","","UHB"
"1184","Tramadol SR100 mgTabletOral","","","","","UHB"
"4174","co-codamol 15mg/500mg1-2 tabTabletOral","","","","","UHB"
"4815","migraleve pink2 tabTabletOral","","","","","UHB"
"3934","Codeine Phosphate30 mgOral SolutionOral","","","","","UHB"
"3285","Codeine Phosphate15-60 mgTabletOral","","","","","UHB"
"3196","Tramadol100 mgInjectionInt.Bolus","","","","","UHB"
"4323","Co-codamol 30/5002 CapCapsuleOral","","","","","UHB"
"4735","co-codamol 15/500mg2 tabTabletOral","","","","","UHB"
"17","Tramadol100 mgCapsuleOral","","","","","UHB"
"627","Codeine Phosphate15 mgTabletOral","","","","","UHB"
"979","Tramadol50 mgDispersible TabletOral","","","","","UHB"
"1811","Tramadol SR200 mgTabletOral","","","","","UHB"
"4252","Tramadol SR50 mgTabletOral","","","","","UHB"
"1454","Co-codamol 8/5001 tabTabletOral","","","","","UHB"
"3207","Codeine Phosphate30 mgOral SolutionNasogas.","","","","","UHB"
"31","Codeine Phosphate30 mgTabletOral","","","","","UHB"
"2292","Codeine Phosphate25 mgOral SolutionOral","","","","","UHB"
"766","co-codamol 15mg/500mg15 tabTabletOral","","","","","UHB"
"4547","Tramadol SR200 mgModified Release CapsuleOral","","","","","UHB"
"4309","co-codamol 15/5002 tabTabletOral","","","","","UHB"
"4632","co-codamol 10/500mg1-2 tabTabletOral","","","","","UHB"
"592","Tramadol50-100 mgCapsuleOral","","","","","UHB"
"3419","Dihydrocodeine mr60 mgTabletOral","","","","","UHB"
"291","Co-codamol 30/5002 tabTabletOral","","","","","UHB"
"4788","TramadolCapsuleOral","","","","","UHB"
"2247","Co-codamol 30/5001 tabTabletOral","","","","","UHB"
"3420","Dihydrocodeine Tartrate60 mgTabletOral","","","","","UHB"
"2002","Tramadol50-100 mgInjectionInt.Bolus","","","","","UHB"
"4333","Co-codamol 30/5002 tabDispersible TabletOral","","","","","UHB"
"4753","co-codamol 15/500mg","","","","","UHB"
"4759","Co-codamol 30/5001-2 tabDispersible TabletOral","","","","","UHB"
"4401","Co-codamol 8/5001-2 tabTabletOral","","","","","UHB"
"841","Codeine Phosphate25 mgOral SolutionNasogas.","","","","","UHB"
"584","Codeine Phosphate15-30 mgTabletOral","","","","","UHB"
"1061","Codeine Phosphate30-60 mgOral SolutionOral","","","","","UHB"
"977","Tramadol50 mgDispersible TabletNasogas.","","","","","UHB"
"4134","co-codamol 15/500mg1-2 tabTabletOral","","","","","UHB"
