"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","DATABASE"
"5111041000033114","Gracial Tablets    ","","","","","CPRD_AURUM"
"420941000033112","Depo-Provera Injection 50 mg/ml, 3 ml vial    ","","","","","CPRD_AURUM"
"920341000033110","Minovlar Ed Tablets    ","","","","","CPRD_AURUM"
"981041000033111","Novagard Intra uterine device 3.2 cm    ","","","","","CPRD_AURUM"
"1128441000033116","Provera Suspension 400 mg/5 ml    ","","","","","CPRD_AURUM"
"374541000033116","Controvlar Tablets    ","","","","","CPRD_AURUM"
"1869441000033111","Dianette Tablets (OC)    ","","","","","CPRD_AURUM"
"420841000033116","Depo-Provera Injection 150 mg/ml, 3.3 ml vial    ","","","","","CPRD_AURUM"
"824641000033116","Levonorgestrel Subdermal implant 228 mg    ","","","","","CPRD_AURUM"
"882141000033110","Medroxyprogesterone Acetate Injection 50 mg/ml, 3 ml vial    ","","","","","CPRD_AURUM"
"966441000033112","Neocon 1/35 Tablets    ","","","","","CPRD_AURUM"
"1608341000033119","Ethynodiol Diacetate Tablets 500 micrograms    ","","","","","CPRD_AURUM"
"2859641000033115","Co-Cyprindiol Tablets (OC)    ","","","","","CPRD_AURUM"
"421041000033119","Depo-Provera Injection 50 mg/ml, 5 ml vial    ","","","","","CPRD_AURUM"
"657741000033112","Gynovlar 21 Tablets    ","","","","","CPRD_AURUM"
"877841000033113","Medroxyprogesterone Acetate Injection 200 mg/ml    ","","","","","CPRD_AURUM"
"882241000033115","Medroxyprogesterone Acetate Injection 50 mg/ml, 5 ml vial    ","","","","","CPRD_AURUM"
"1474841000033111","Trinovum Ed Tablets    ","","","","","CPRD_AURUM"
"885341000033118","Medroxyprogesterone Acetate Injection 50 mg/ml    ","","","","","CPRD_AURUM"
"918541000033111","Minilyn Tablets    ","","","","","CPRD_AURUM"
"1016941000033110","Ortho-Novin Tablets    ","","","","","CPRD_AURUM"
"371841000033117","Conova 30 Tablets    ","","","","","CPRD_AURUM"
"3839641000033113","Diva Tablets (OC)    ","","","","","CPRD_AURUM"
"421841000033114","Depo-Provera Injection 50 mg/1 ml    ","","","","","CPRD_AURUM"
"466541000033111","Diane Tablets    ","","","","","CPRD_AURUM"
"911141000033112","Mini Gravigard Intra-uterine device    ","","","","","CPRD_AURUM"
"5493141000033112","Kliogest Tablets    ","","","","","CPRD_AURUM"
"652841000033116","Gravigard Intra-uterine device    ","","","","","CPRD_AURUM"
"919041000033114","Minovlar Tablets    ","","","","","CPRD_AURUM"
"1012541000033115","Gyne-T 380 Intra-uterine device    ","","","","","CPRD_AURUM"
"1022041000033119","Ovran 30 Tablets    ","","","","","CPRD_AURUM"
"1895741000033116","Gynefixin Intra-uterine device    ","","","","","CPRD_AURUM"
"3310241000033111","Flexi T-380 Iud Intra uterine device    ","","","","","CPRD_AURUM"
"421741000033116","Depo-Provera Injection 150 mg/1 ml    ","","","","","CPRD_AURUM"
"1012441000033116","Ortho Gyne-t intra-uterine device    ","","","","","CPRD_AURUM"
"881941000033117","Medroxyprogesterone Acetate Injection 150 mg/1 ml    ","","","","","CPRD_AURUM"
"882041000033111","Medroxyprogesterone Acetate Injection 150 mg/ml, 3.3 ml vial    ","","","","","CPRD_AURUM"
"982641000033112","Norethisterone Enanthate Injection 200mg/ml, 1 ml ampoule    ","","","","","CPRD_AURUM"
"3193941000033117","Ethinylestradiol 20microgram / Desogestrel 150microgram tablets Tablet Oral Desogestrel/ Ethinylestradiol 150.000microgram + 20.000microgram","7030100","","","","CPRD_AURUM"
"905141000033112","Mercilon 150microgram/20microgram tablets (Merck Sharp & Dohme Ltd) Tablet Oral Desogestrel/ Ethinylestradiol 150.000microgram + 20.000microgram","7030100","","","","CPRD_AURUM"
"5820841000033110","Gedarel 20microgram/150microgram tablets (Consilient Health Ltd) Tablet Oral Desogestrel/ Ethinylestradiol 150.000microgram + 20.000microgram","7030100","","","","CPRD_AURUM"
"9295641000033113","Lestramyl 20microgram/150microgram tablets (Mylan) Tablet Oral Desogestrel/ Ethinylestradiol 150.000microgram + 20.000microgram","","","","","CPRD_AURUM"
"9808841000033114","Alenini 150microgram/20microgram tablets (Actavis UK Ltd) Tablet Oral Desogestrel/ Ethinylestradiol 150.000microgram + 20.000microgram","","","","","CPRD_AURUM"
"10541641000033114","Bimizza 150microgram/20microgram tablets (Morningside Healthcare Ltd) Tablet Oral Desogestrel/ Ethinylestradiol 150.000microgram + 20.000microgram","","","","","CPRD_AURUM"
"9309141000033111","Munalea 150microgram/20microgram tablets (Lupin Healthcare (UK) Ltd) Tablet Oral Desogestrel/ Ethinylestradiol 150.000microgram + 20.000microgram","","","","","CPRD_AURUM"
"9295741000033116","Lestramyl 30microgram/150microgram tablets (Mylan) Tablet Oral Desogestrel/ Ethinylestradiol 150.000microgram + 30.000microgram","","","","","CPRD_AURUM"
"8248441000033114","Cimizt 30microgram/150microgram tablets (Morningside Healthcare Ltd) Tablet Oral Desogestrel/ Ethinylestradiol 150.000microgram + 30.000microgram","","","","","CPRD_AURUM"
"5820441000033112","Gedarel 30microgram/150microgram tablets (Consilient Health Ltd) Tablet Oral Desogestrel/ Ethinylestradiol 150.000microgram + 30.000microgram","7030100","","","","CPRD_AURUM"
"868441000033118","Marvelon tablets (Merck Sharp & Dohme Ltd) Tablet Oral Desogestrel/ Ethinylestradiol 150.000microgram + 30.000microgram","7030100","","","","CPRD_AURUM"
"3193841000033113","Ethinylestradiol 30microgram / Desogestrel 150microgram tablets Tablet Oral Desogestrel/ Ethinylestradiol 150.000microgram + 30.000microgram","7030100","","","","CPRD_AURUM"
"9309241000033116","Munalea 150microgram/30microgram tablets (Lupin Healthcare (UK) Ltd) Tablet Oral Desogestrel/ Ethinylestradiol 150.000microgram + 30.000microgram","","","","","CPRD_AURUM"
"9301341000033113","Alenvona 150microgram/30microgram tablets (Teva UK Ltd) Tablet Oral Desogestrel/ Ethinylestradiol 150.000microgram + 30.000microgram","","","","","CPRD_AURUM"
"3194041000033115","Ethinylestradiol 30microgram / Levonorgestrel 150microgram tablets Tablet Oral Ethinylestradiol/ Levonorgestrel 30.000microgram + 150.000microgram","7030100","","","","CPRD_AURUM"
