"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","FREQUENCY","DATABASE"
"1518041000033112","Viridal Injection 10 micrograms/vial    ",,,,,"344","CPRD_AURUM"
"1517941000033114","Viridal Injection 20 micrograms/vial    ",,,,,"372","CPRD_AURUM"
"1518141000033111","Viridal Injection 5 micrograms/vial    ",,,,,"43","CPRD_AURUM"
"195041000033112","Caverject 5microgram powder and solvent for solution for injection vials (Pfizer Ltd) Powder and solvent for solution for injection Intracavernous Alprostadil 5.000microgram","7040500",,,,"5189","CPRD_AURUM"
"30541000033113","Alprostadil 5microgram powder and solvent for solution for injection vials Powder and solvent for solution for injection Intracavernous Alprostadil 5.000microgram","7040500",,,,"3441","CPRD_AURUM"
"1696941000033118","Sildenafil 25mg tablets Tablet Oral Sildenafil citrate 25.000mg","7040500",,,,"540328","CPRD_AURUM"
"1706941000033111","Viagra 25mg tablets (Upjohn UK Ltd) Tablet Oral Sildenafil citrate 25.000mg","7040500",,,,"27806","CPRD_AURUM"
"8946241000033113","Vizarsin 25mg tablets (Consilient Health Ltd) Tablet Oral Sildenafil citrate 25.000mg",,,,,"0","CPRD_AURUM"
"1707041000033112","Viagra 50mg tablets (Upjohn UK Ltd) Tablet Oral Sildenafil citrate 50.000mg","7040500",,,,"190053","CPRD_AURUM"
"1697041000033117","Sildenafil 50mg tablets Tablet Oral Sildenafil citrate 50.000mg","7040500",,,,"4150600","CPRD_AURUM"
"8946341000033115","Vizarsin 50mg tablets (Consilient Health Ltd) Tablet Oral Sildenafil citrate 50.000mg",,,,,"5","CPRD_AURUM"
"1696841000033114","Sildenafil 100mg tablets Tablet Oral Sildenafil citrate 100.000mg","7040500",,,,"6238657","CPRD_AURUM"
"1706841000033115","Viagra 100mg tablets (Upjohn UK Ltd) Tablet Oral Sildenafil citrate 100.000mg","7040500",,,,"245817","CPRD_AURUM"
"8946141000033118","Vizarsin 100mg tablets (Consilient Health Ltd) Tablet Oral Sildenafil citrate 100.000mg",,,,,"7","CPRD_AURUM"
"2875141000033112","Cialis 10mg tablets (Eli Lilly and Company Ltd) Tablet Oral Tadalafil 10.000mg","7040500",,,,"151153","CPRD_AURUM"
"2874941000033113","Tadalafil 10mg tablets Tablet Oral Tadalafil 10.000mg","7040500",,,,"786687","CPRD_AURUM"
"2875041000033113","Tadalafil 20mg tablets Tablet Oral Tadalafil 20.000mg","7040500",,,,"1966713","CPRD_AURUM"
"2875241000033117","Cialis 20mg tablets (Eli Lilly and Company Ltd) Tablet Oral Tadalafil 20.000mg","7040500",,,,"426839","CPRD_AURUM"
"6046741000033119","Adcirca 20mg tablets (Eli Lilly and Company Ltd) Tablet Oral Tadalafil 20.000mg",,,,,"100","CPRD_AURUM"
"12442141000033114","Talmanco 20mg tablets (Mylan) Tablet Oral Tadalafil 20.000mg",,,,,"0","CPRD_AURUM"
"2889041000033118","Vardenafil 10mg tablets Tablet Oral Vardenafil hydrochloride trihydrate 10.000mg","7040500",,,,"194997","CPRD_AURUM"
"2889341000033116","Levitra 10mg tablets (Bayer Plc) Tablet Oral Vardenafil hydrochloride trihydrate 10.000mg","7040500",,,,"36551","CPRD_AURUM"
"2889241000033114","Levitra 5mg tablets (Bayer Plc) Tablet Oral Vardenafil hydrochloride trihydrate 5.000mg","7040500",,,,"4700","CPRD_AURUM"
"2888941000033110","Vardenafil 5mg tablets Tablet Oral Vardenafil hydrochloride trihydrate 5.000mg","7040500",,,,"23117","CPRD_AURUM"
"2889141000033119","Vardenafil 20mg tablets Tablet Oral Vardenafil hydrochloride trihydrate 20.000mg","7040500",,,,"382899","CPRD_AURUM"
"2889441000033110","Levitra 20mg tablets (Bayer Plc) Tablet Oral Vardenafil hydrochloride trihydrate 20.000mg","7040500",,,,"66202","CPRD_AURUM"
"3890741000033119","Revatio 20mg tablets (Upjohn UK Ltd) Tablet Oral Sildenafil citrate 20.000mg","2050100",,,,"542","CPRD_AURUM"
"3890641000033111","Sildenafil 20mg tablets Tablet Oral Sildenafil citrate 20.000mg","2050200",,,,"6628","CPRD_AURUM"
"12428341000033111","Granpidam 20mg tablets (Accord Healthcare Ltd) Tablet Oral Sildenafil citrate 20.000mg",,,,,"0","CPRD_AURUM"
"13000741000033117","Mysildecard 20mg tablets (Mylan) Tablet Oral Sildenafil citrate 20.000mg",,,,,"0","CPRD_AURUM"
"4898841000033112","Tadalafil 5mg tablets Tablet Oral Tadalafil 5.000mg",,,,,"332616","CPRD_AURUM"
"4899041000033113","Cialis 5mg tablets (Eli Lilly and Company Ltd) Tablet Oral Tadalafil 5.000mg",,,,,"78389","CPRD_AURUM"
"9160541000033116","Avanafil 50mg tablets Tablet Oral Avanafil 50.000mg","7040500",,,,"1877","CPRD_AURUM"
"9160841000033119","Spedra 50mg tablets (A. Menarini Farmaceutica Internazionale SRL) Tablet Oral Avanafil 50.000mg","7040500",,,,"44","CPRD_AURUM"
"9160641000033115","Avanafil 100mg tablets Tablet Oral Avanafil 100.000mg","7040500",,,,"6606","CPRD_AURUM"
"9160941000033110","Spedra 100mg tablets (A. Menarini Farmaceutica Internazionale SRL) Tablet Oral Avanafil 100.000mg","7040500",,,,"513","CPRD_AURUM"
"9160741000033112","Avanafil 200mg tablets Tablet Oral Avanafil 200.000mg","7040500",,,,"7613","CPRD_AURUM"
"9161041000033117","Spedra 200mg tablets (A. Menarini Farmaceutica Internazionale SRL) Tablet Oral Avanafil 200.000mg","7040500",,,,"460","CPRD_AURUM"
"2159341000033117","Caverject Dual Chamber 10microgram powder and solvent for solution for injection (Pfizer Ltd) Powder and solvent for solution for injection Intracavernous Alprostadil 10.000microgram","7040500",,,,"21240","CPRD_AURUM"
"2159141000033115","Alprostadil 10microgram powder and solvent for solution for injection pre-filled disposable devices Powder and solvent for solution for injection Intracavernous Alprostadil 10.000microgram","7040500",,,,"8994","CPRD_AURUM"
"2159241000033110","Alprostadil 20microgram powder and solvent for solution for injection pre-filled disposable devices Powder and solvent for solution for injection Intracavernous Alprostadil 20.000microgram","7040500",,,,"18974","CPRD_AURUM"
"2159441000033111","Caverject Dual Chamber 20microgram powder and solvent for solution for injection (Pfizer Ltd) Powder and solvent for solution for injection Intracavernous Alprostadil 20.000microgram","7040500",,,,"45809","CPRD_AURUM"
"1754941000033112","Viridal Duo Continuation Pack 40microgram powder and solvent for solution for injection cartridges (UCB Pharma Ltd) Powder and solvent for solution for injection Intracavernous Alprostadil 40.000microgram","7040500",,,,"15713","CPRD_AURUM"
"1714541000033114","Alprostadil 40microgram powder and solvent for solution for injection cartridges Powder and solvent for solution for injection Intracavernous Alprostadil 40.000microgram","7040500",,,,"9232","CPRD_AURUM"
"11666041000033115","Viridal Duo Starter Pack 10microgram powder and solvent for solution for injection cartridges with device (UCB Pharma Ltd) Powder and solvent for solution for injection Intracavernous Alprostadil 10.000microgram","7040500",,,,"879","CPRD_AURUM"
"11665741000033110","Alprostadil 10microgram powder and solvent for solution for injection cartridges with device Powder and solvent for solution for injection Intracavernous Alprostadil 10.000microgram","7040500",,,,"318","CPRD_AURUM"
"11665841000033117","Alprostadil 20microgram powder and solvent for solution for injection cartridges with device Powder and solvent for solution for injection Intracavernous Alprostadil 20.000microgram","7040500",,,,"342","CPRD_AURUM"
"11666141000033116","Viridal Duo Starter Pack 20microgram powder and solvent for solution for injection cartridges with device (UCB Pharma Ltd) Powder and solvent for solution for injection Intracavernous Alprostadil 20.000microgram","7040500",,,,"986","CPRD_AURUM"
"11666241000033111","Viridal Duo Starter Pack 40microgram powder and solvent for solution for injection cartridges with device (UCB Pharma Ltd) Powder and solvent for solution for injection Intracavernous Alprostadil 40.000microgram","7040500",,,,"640","CPRD_AURUM"
"11665941000033113","Alprostadil 40microgram powder and solvent for solution for injection cartridges with device Powder and solvent for solution for injection Intracavernous Alprostadil 40.000microgram","7040500",,,,"875","CPRD_AURUM"
"5998341000033119","Sildenafil 25mg/5ml oral solution Oral solution Oral Sildenafil citrate 5.000mg/1.000ml",,,,,"320","CPRD_AURUM"
"3924341000033114","Sildenafil 25mg/5ml oral suspension Oral suspension Oral Sildenafil citrate 5.000mg/1.000ml",,,,,"1051","CPRD_AURUM"
"11826141000033119","Sildenafil 5mg/5ml oral solution Oral solution Oral Sildenafil citrate 1.000mg/1.000ml",,,,,"77","CPRD_AURUM"
"4898941000033116","Cialis 2.5mg tablets (Eli Lilly and Company Ltd) Tablet Oral Tadalafil 2.500mg",,,,,"7591","CPRD_AURUM"
"4898741000033119","Tadalafil 2.5mg tablets Tablet Oral Tadalafil 2.500mg",,,,,"24586","CPRD_AURUM"
"5328841000033110","Sildenafil 10mg/5ml oral suspension Oral suspension Oral Sildenafil citrate 2.000mg/1.000ml",,,,,"1275","CPRD_AURUM"
"9687241000033116","Sildenafil 12.5mg/5ml oral suspension Oral suspension Oral Sildenafil citrate 2.500mg/1.000ml",,,,,"70","CPRD_AURUM"
"6135641000033113","Vardenafil 10mg orodispersible tablets sugar free Orodispersible tablet Oral Vardenafil hydrochloride trihydrate 10.000mg","7040500",,,,"2633","CPRD_AURUM"
"6135741000033116","Levitra 10mg orodispersible tablets (Bayer Plc) Orodispersible tablet Oral Vardenafil hydrochloride trihydrate 10.000mg","7040500",,,,"1391","CPRD_AURUM"
"6138941000033113","Sildenafil 10mg/12.5ml solution for injection vials Solution for injection Intravenous Sildenafil citrate 0.800mg/1.000ml",,,,,"4","CPRD_AURUM"
"6139041000033116","Revatio 10mg/12.5ml solution for injection vials (Upjohn UK Ltd) Solution for injection Intravenous Sildenafil citrate 0.800mg/1.000ml",,,,,"7","CPRD_AURUM"
"8234041000033110","Sildenafil 10mg/ml oral suspension sugar free Oral suspension Oral Sildenafil citrate 10.000mg/1.000ml","2050100",,,,"2464","CPRD_AURUM"
"8234141000033114","Revatio 10mg/ml oral suspension (Upjohn UK Ltd) Oral suspension Oral Sildenafil citrate 10.000mg/1.000ml","2050100",,,,"148","CPRD_AURUM"
"8509741000033114","Nipatra 100mg chewable tablets (Advanz Pharma) Chewable tablet Oral Sildenafil citrate 100.000mg","7040500",,,,"110","CPRD_AURUM"
"8504341000033114","Sildenafil 100mg chewable tablets sugar free Chewable tablet Oral Sildenafil citrate 100.000mg","7040500",,,,"2013","CPRD_AURUM"
"8508741000033117","Nipatra 25mg chewable tablets (Advanz Pharma) Chewable tablet Oral Sildenafil citrate 25.000mg","7040500",,,,"0","CPRD_AURUM"
"8504141000033111","Sildenafil 25mg chewable tablets sugar free Chewable tablet Oral Sildenafil citrate 25.000mg","7040500",,,,"179","CPRD_AURUM"
"8508941000033119","Nipatra 50mg chewable tablets (Advanz Pharma) Chewable tablet Oral Sildenafil citrate 50.000mg","7040500",,,,"22","CPRD_AURUM"
"8504241000033116","Sildenafil 50mg chewable tablets sugar free Chewable tablet Oral Sildenafil citrate 50.000mg","7040500",,,,"1292","CPRD_AURUM"
"9246941000033115","Alprostadil 3mg/g cream Cream Cutaneous Alprostadil 3.000mg/1.000gram","7040500",,,,"10050","CPRD_AURUM"
"9247041000033119","Vitaros 3mg/g cream (Ferring Pharmaceuticals Ltd) Cream Cutaneous Alprostadil 3.000mg/1.000gram","7040500",,,,"8244","CPRD_AURUM"
"1657641000033115","Muse 500microgram urethral sticks (Mylan) Stick Urethral Alprostadil 500.000microgram","7040500",,,,"21173","CPRD_AURUM"
"1569341000033118","Alprostadil 500microgram urethral sticks Stick Urethral Alprostadil 500.000microgram","7040500",,,,"21617","CPRD_AURUM"
"1706341000033112","Viridal Duo Continuation Pack 10microgram powder and solvent for solution for injection cartridges (UCB Pharma Ltd) Powder and solvent for solution for injection Intracavernous Alprostadil 10.000microgram","7040500",,,,"10179","CPRD_AURUM"
"1714341000033119","Alprostadil 10microgram powder and solvent for solution for injection cartridges Powder and solvent for solution for injection Intracavernous Alprostadil 10.000microgram","7040500",,,,"4910","CPRD_AURUM"
"194341000033113","Caverject 10microgram powder and solvent for solution for injection vials (Pfizer Ltd) Powder and solvent for solution for injection Intracavernous Alprostadil 10.000microgram","7040500",,,,"40237","CPRD_AURUM"
"30341000033118","Alprostadil 10microgram powder and solvent for solution for injection vials Powder and solvent for solution for injection Intracavernous Alprostadil 10.000microgram","7040500",,,,"20497","CPRD_AURUM"
