"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","FREQUENCY","DATABASE"
"6809","Vardenafil 20mg tablets Vardenafil hydrochloride trihydrate 20mg Tablet Oral","07040500",,,,"167398","CPRD_GOLD"
"78834","Sildenafil 100mg tablets (Accord Healthcare Ltd) Sildenafil citrate 100mg Tablet Oral","07040500",,,,"9","CPRD_GOLD"
"6148","Cialis 20mg tablets (Eli Lilly and Company Ltd) Tadalafil 20mg Tablet Oral","07040501",,,,"295641","CPRD_GOLD"
"5023","Alprostadil 20micrograms injection Alprostadil 20micrograms Injection ","07040500",,,,"7544","CPRD_GOLD"
"60886","Spedra 50mg tablets (A. Menarini Farmaceutica Internazionale SRL) Avanafil 50mg Tablet Oral","07040500",,,,"55","CPRD_GOLD"
"60755","Alprostadil 3mg/g cream Alprostadil 3mg/1gram Cream Cutaneous","07040500",,,,"3520","CPRD_GOLD"
"61012","Avanafil 200mg tablets Avanafil 200mg Tablet Oral","07040500",,,,"1807","CPRD_GOLD"
"61297","Avanafil 100mg tablets Avanafil 100mg Tablet Oral","07040500",,,,"1303","CPRD_GOLD"
"60333","Nipatra 50mg chewable tablets (Advanz Pharma) Sildenafil citrate 50mg Chewable tablet Oral","07040500",,,,"6","CPRD_GOLD"
"46249","Revatio 10mg/12.5ml solution for injection vials (Upjohn UK Ltd) Sildenafil citrate .8mg/1ml Solution for injection Intravenous","02050100",,,,"22","CPRD_GOLD"
"50233","Cialis 10mg tablets (Sigma Pharmaceuticals Plc) Tadalafil 10mg Tablet Oral","07040501",,,,"6","CPRD_GOLD"
"78710","Sildenafil 100mg tablets (Torrent Pharma (UK) Ltd) Sildenafil citrate 100mg Tablet Oral","07040500",,,,"12","CPRD_GOLD"
"22712","Viridal 10microgram Injection (Schwarz Pharma Ltd) Alprostadil 10microgram Injection Intracavernosal Injection","07040500",,,,"82","CPRD_GOLD"
"50177","Viridal Duo Starter Pack 10microgram powder and solvent for solution for injection cartridges with device (UCB Pharma Ltd) Alprostadil 10microgram Powder and solvent for solution for injection Intracavernous","07040500",,,,"287","CPRD_GOLD"
"71571","Sildenafil 50mg tablets (Teva UK Ltd) Sildenafil citrate 50mg Tablet Oral","07040500",,,,"1","CPRD_GOLD"
"51086","Alprostadil 10microgram powder and solvent for solution for injection cartridges Alprostadil 10microgram Powder and solvent for solution for injection Intracavernous","07040500",,,,"279","CPRD_GOLD"
"32670","CAVERJECT    ","00000000",,,,"0","CPRD_GOLD"
"22772","SILDENAFIL    ","00000000",,,,"18","CPRD_GOLD"
"22786","SILDENAFIL    ","00000000",,,,"11","CPRD_GOLD"
"5881","Alprostadil 1mg urethral sticks Alprostadil 1mg Stick Urethral","07040500",,,,"11926","CPRD_GOLD"
"69587","Cialis 10mg tablets (Mawdsley-Brooks & Company Ltd) Tadalafil 10mg Tablet Oral","07040501",,,,"1","CPRD_GOLD"
"794","Tadalafil 10mg tablets Tadalafil 10mg Tablet Oral","07040501",,,,"308852","CPRD_GOLD"
"69902","Sildenafil 100mg tablets (Genesis Pharmaceuticals Ltd) Sildenafil citrate 100mg Tablet Oral","07040500",,,,"0","CPRD_GOLD"
"76036","Tadalafil 20mg tablets (A A H Pharmaceuticals Ltd) Tadalafil 20mg Tablet Oral","07040501",,,,"5","CPRD_GOLD"
"39243","Cialis 2.5mg tablets (Eli Lilly and Company Ltd) Tadalafil 2.5mg Tablet Oral","07040501",,,,"6855","CPRD_GOLD"
"10938","Alprostadil 10micrograms injection Alprostadil 10micrograms Injection ","07040500",,,,"2346","CPRD_GOLD"
