"DRUG_CODE_ID","DESCRIPTION","BNF1","BNF2","BNF3","ATC","FREQUENCY","DATABASE"
"14406978","Sildenafil 100mg tablets","00000000","00000000","00000000",,"12","IMRD"
"19139978","Sildenafil 50mg tablets","07040500","00000000","00000000","G04BE03","45","IMRD"
"20987978","Tadalafil 5mg tablets","07040501","00000000","00000000",,"1","IMRD"
"20989978","Tadalafil 5mg tablets","07040501","00000000","00000000",,"11","IMRD"
"20995978","Tadalafil 20mg tablets","07040501","00000000","00000000",,"5","IMRD"
"21237978","Tadalafil 20mg tablets","07040500","00000000","00000000","G04BE08","7","IMRD"
"53017979","Sildenafil 10mg/ml oral suspension sugar free","02050100","00000000","00000000","G04BE03","25","IMRD"
"53018979","Sildenafil 10mg/ml oral suspension sugar free","02050100","00000000","00000000","G04BE03","751","IMRD"
"63451979","Sildenafil 50mg/5ml oral solution","00000000","00000000","00000000",,"2","IMRD"
"63579979","Sildenafil 12.5mg/5ml oral solution","00000000","00000000","00000000",,"15","IMRD"
"63663979","Sildenafil 10mg/5ml oral suspension","00000000","00000000","00000000",,"438","IMRD"
"63665979","Sildenafil 10mg/5ml oral solution","00000000","00000000","00000000",,"6","IMRD"
"64558979","Sildenafil 5mg/5ml oral suspension","00000000","00000000","00000000",,"3","IMRD"
"64560979","Sildenafil 5mg/5ml oral solution","00000000","00000000","00000000",,"1","IMRD"
"64598979","Sildenafil 25mg/5ml oral suspension","00000000","00000000","00000000",,"104","IMRD"
"64600979","Sildenafil 25mg/5ml oral solution","00000000","00000000","00000000",,"13","IMRD"
"70867979","Alprostadil 40microgram powder and solvent for solution for injection cartridges with device","07040500","00000000","00000000","G04BE01","220","IMRD"
"70868979","Alprostadil 40microgram powder and solvent for solution for injection vials","07040500","00000000","00000000","G04BE01","182","IMRD"
"70869979","Alprostadil 20microgram powder and solvent for solution for injection cartridges with device","07040500","00000000","00000000","G04BE01","359","IMRD"
"70870979","Alprostadil 20microgram powder and solvent for solution for injection vials","07040500","00000000","00000000","G04BE01","91","IMRD"
"70871979","Alprostadil 10microgram powder and solvent for solution for injection cartridges with device","07040500","00000000","00000000","G04BE01","250","IMRD"
"70872979","Alprostadil 10microgram powder and solvent for solution for injection vials","07040500","00000000","00000000","G04BE01","102","IMRD"
"73343978","Alprostadil 3mg/g cream","07040500","00000000","00000000","G04BE01","3441","IMRD"
"73344978","Alprostadil 3mg/g cream","07040500","00000000","00000000","G04BE01","3047","IMRD"
"75866978","Avanafil 50mg tablets","07040500","00000000","00000000","G04BE10","75","IMRD"
"75867978","Avanafil 50mg tablets","07040500","00000000","00000000","G04BE10","495","IMRD"
"75868978","Avanafil 200mg tablets","07040500","00000000","00000000","G04BE10","145","IMRD"
"75869978","Avanafil 200mg tablets","07040500","00000000","00000000","G04BE10","1516","IMRD"
"75870978","Avanafil 100mg tablets","07040500","00000000","00000000","G04BE10","342","IMRD"
"75871978","Avanafil 100mg tablets","07040500","00000000","00000000","G04BE10","1417","IMRD"
"79754978","Sildenafil 100mg tablets","07040500","00000000","00000000","G04BE03","32","IMRD"
"81390998","Sildenafil 10mg/12.5ml solution for injection vials","02050100","00000000","00000000","G04BE03","15","IMRD"
"81391998","Sildenafil 10mg/12.5ml solution for injection vials","02050100","00000000","00000000","G04BE03","14","IMRD"
"81536998","Vardenafil 10mg orodispersible tablets sugar free","07040500","00000000","00000000","G04BE09","1266","IMRD"
"81537998","Vardenafil 10mg orodispersible tablets sugar free","07040500","00000000","00000000","G04BE09","1997","IMRD"
"81617998","Sildenafil 40mg/50ml solution for injection vials","02050100","00000000","00000000","G04BE03","3","IMRD"
"81764998","Tadalafil 20mg tablets","07040500","02050100","00000000","G04BE08","186","IMRD"
"82780978","Sildenafil 100mg tablets","07040500","00000000","00000000","G04BE03","12","IMRD"
"82865978","Sildenafil 50mg chewable tablets","07040500","00000000","00000000","G04BE03","8","IMRD"
"82866978","Sildenafil 50mg chewable tablets sugar free","07040500","00000000","00000000","G04BE03","1094","IMRD"
"82868978","Sildenafil 25mg chewable tablets sugar free","07040500","00000000","00000000","G04BE03","145","IMRD"
"82869978","Sildenafil 100mg chewable tablets","07040500","00000000","00000000","G04BE03","12","IMRD"
"82870978","Sildenafil 100mg chewable tablets sugar free","07040500","00000000","00000000","G04BE03","1749","IMRD"
"83211998","Tadalafil 5mg tablets","07040500","00000000","00000000","G04BE08","48192","IMRD"
"83212998","Tadalafil 2.5mg tablets","07040500","00000000","00000000","G04BE08","6292","IMRD"
"83213998","Tadalafil 5mg tablets","07040500","00000000","00000000","G04BE08","135665","IMRD"
"83214998","Tadalafil 2.5mg tablets","07040500","00000000","00000000","G04BE08","14526","IMRD"
"83239978","Sildenafil 100mg tablets","07040500","00000000","00000000","G04BE03","6","IMRD"
"83240978","Sildenafil 100mg tablets","07040500","00000000","00000000","G04BE03","4","IMRD"
"83241978","Sildenafil 100mg tablets","07040500","00000000","00000000","G04BE03","3","IMRD"
"83242978","Sildenafil 100mg tablets","07040500","00000000","00000000","G04BE03","49","IMRD"
"83246978","Sildenafil 50mg tablets","07040500","00000000","00000000","G04BE03","2","IMRD"
"83248978","Sildenafil 50mg tablets","07040500","00000000","00000000","G04BE03","1","IMRD"
"83254978","Sildenafil 25mg tablets","07040500","00000000","00000000","G04BE03","1","IMRD"
