"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"1467.00","H/O: anorexia nervosa","1467.00",,"6236","IMRD"
"1JZ..00","Suspected binge eating disorder","1JZ..00",,"909","IMRD"
"8HTN.00","Referral to eating disorders clinic","8HTN.00",,"10313","IMRD"
"9Nk9.00","Seen in eating disorder clinic","9Nk9.00",,"3413","IMRD"
"E275200","Pica","E275200",,"2373","IMRD"
"E264200","Cyclical vomiting - psychogenic","E264200",,"2004","IMRD"
"E271.00","Anorexia nervosa","E271.00",,"30837","IMRD"
"E275.00","Other and unspecified non-organic eating disorders","E275.00",,"5684","IMRD"
"E275000","Unspecified non-organic eating disorder","E275000",,"450","IMRD"
"E275100","Bulimia (non-organic overeating)","E275100",,"12072","IMRD"
"E275111","Compulsive eating disorder","E275111",,"666","IMRD"
"E275400","Psychogenic vomiting NOS","E275400",,"494","IMRD"
"E275y00","Other specified non-organic eating disorder","E275y00",,"58","IMRD"
"E275z00","Non-organic eating disorder NOS","E275z00",,"538","IMRD"
"Eu50.00","[X]Eating disorders","Eu50.00",,"37307","IMRD"
"Eu50000","[X]Anorexia nervosa","Eu50000",,"2908","IMRD"
"Eu50100","[X]Atypical anorexia nervosa","Eu50100",,"600","IMRD"
"Eu50200","[X]Bulimia nervosa","Eu50200",,"13992","IMRD"
"Eu50211","[X]Bulimia NOS","Eu50211",,"5374","IMRD"
"Eu50212","[X]Hyperorexia nervosa","Eu50212",,"1","IMRD"
"Eu50300","[X]Atypical bulimia nervosa","Eu50300",,"341","IMRD"
"Eu50400","[X]Overeating associated with other psychological disturbncs","Eu50400",,"216","IMRD"
"Eu50411","[X]Psychogenic overeating","Eu50411",,"154","IMRD"
"Eu50500","[X]Vomiting associated with other psychological disturbances","Eu50500",,"128","IMRD"
"Eu50511","[X]Psychogenic vomiting","Eu50511",,"412","IMRD"
"Eu50y00","[X]Other eating disorders","Eu50y00",,"365","IMRD"
"Eu50y12","[X]Psychogenic loss of appetite","Eu50y12",,"305","IMRD"
"Eu50z00","[X]Eating disorder, unspecified","Eu50z00",,"3494","IMRD"
"Fy05.00","Nocturnal sleep-related eating disorder","Fy05.00",,"42","IMRD"
"R036011","[D]Bulimia NOS","R036011",,"9660","IMRD"
"Z4B5.00","Eating disorder counselling","Z4B5.00",,"3306","IMRD"
"ZC2CD00","Dietary advice for eating disorder","ZC2CD00",,"6","IMRD"
