"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"102424012","Endometriosis of cervix","K500200","61640006","219","CPRD_AURUM"
"126835018","Endometriosis of uterus","K500.00","76376003","6859","CPRD_AURUM"
"126839012","Adenomyosis","K50..11","76376003","32958","CPRD_AURUM"
"355411011","Endometriosis of myometrium","K500100","237115002","322","CPRD_AURUM"
"355412016","Chocolate cyst of ovary","K501.11","237116001","2769","CPRD_AURUM"
"1784724014","Endometriosis","K50..00","129103003","550526","CPRD_AURUM"
"2548653011","Laparoscopic laser destruction of endometriosis","7E0D800","416155004","9339","CPRD_AURUM"
"906431000006116","[RFC] Endometriosis","","906431000006100","86","CPRD_AURUM"
"304796018","Endometriosis of the pelvic peritoneum NOS","K503z00","198251001","499","CPRD_AURUM"
"304799013","Endometriosis of the intestine NOS","K505z00","5562006","35","CPRD_AURUM"
"304801011","Other endometriosis","K50y.00","129103003","495","CPRD_AURUM"
"304802016","Other endometriosis NOS","K50yz00","129103003","242","CPRD_AURUM"
"304803014","Endometriosis NOS","K50z.00","129103003","14734","CPRD_AURUM"
"305247015","[X]Other endometriosis","Kyu9000","129103003","593","CPRD_AURUM"
"317021000006116","[M]Stromal endometriosis","BBL1.11","128726006","19","CPRD_AURUM"
"461191000006115","Adenomyosis of endometrium","K500111","237115002","3746","CPRD_AURUM"
"642671000006114","Endometriosis of the broad ligament","K503000","10535001","132","CPRD_AURUM"
"642691000006110","Endometriosis of the fallopian tube","K502.00","22611009","292","CPRD_AURUM"
"642701000006110","Endometriosis of the intestine","K505.00","5562006","144","CPRD_AURUM"
"642721000006117","Endometriosis of the lung","K50y100","50993001","66","CPRD_AURUM"
"642731000006119","Endometriosis of the parametrium","K503200","84305006","13","CPRD_AURUM"
"642741000006112","Endometriosis of the pelvic peritoneum","K503.00","198251001","2796","CPRD_AURUM"
"642771000006116","Endometriosis of the rectovaginal septum","K504000","52533003","279","CPRD_AURUM"
"642801000006119","Endometriosis of the rectum","K505200","9563009","102","CPRD_AURUM"
"642811000006116","Endometriosis of the round ligament","K503300","5327000","39","CPRD_AURUM"
"642821000006112","Endometriosis of the umbilicus","K50y200","17829005","231","CPRD_AURUM"
"642831000006110","Endometriosis of the vagina","K504100","57493005","184","CPRD_AURUM"
"642841000006117","Endometriosis of the vulva","K50y300","38780008","19","CPRD_AURUM"
"770611000006110","Internal endometriosis","K500000","198247003","675","CPRD_AURUM"
"304798017","Endometriosis of the rectovaginal septum and vagina NOS","K504z00","52533003","75","CPRD_AURUM"
"2667541000006114","Endometriosis of broad ligament","","10535001","1","CPRD_AURUM"
"3219061000006118","Endometriosis of colon","","44601009","3","CPRD_AURUM"
"3124151000006112","Endometriosis of vulva","","38780008","1","CPRD_AURUM"
"2584781000006113","Endometriosis of round ligament","","5327000","0","CPRD_AURUM"
"3326141000006114","Endometriosis of lung","","50993001","4","CPRD_AURUM"
"2782801000006115","Endometriosis of umbilicus","","17829005","5","CPRD_AURUM"
"3545631000006119","Endometriosis of the cul-de-sac","","64286001","10","CPRD_AURUM"
"2652481000006113","Endometriosis of rectum","","9563009","20","CPRD_AURUM"
"4422371000006110","Endometriosis (clinical)","","129103003","2850","CPRD_AURUM"
"2634531000006119","Endometriosis of appendix","","8421002","2","CPRD_AURUM"
"3871661000006111","Endometriosis of parametrium","","84305006","0","CPRD_AURUM"
"5103541000006116","Endometrioma","","237116001","28","CPRD_AURUM"
"2860421000006110","Adenomyosis of fallopian tube","","22611009","0","CPRD_AURUM"
"3742431000006112","Adenomyosis uteri","","76376003","0","CPRD_AURUM"
"89618011","Endometriosis in scar of skin","K506.00","53913001","535","CPRD_AURUM"
"642651000006116","Endometriosis of the appendix","K505000","8421002","43","CPRD_AURUM"
"642661000006119","Endometriosis of the bladder","K50y000","65099004","261","CPRD_AURUM"
"642681000006112","Endometriosis of the colon","K505100","44601009","98","CPRD_AURUM"
"3742411000006118","Internal endometriosis","","76376003","0","CPRD_AURUM"
"3545641000006112","Endometriosis of the pouch of Douglas","","64286001","0","CPRD_AURUM"
"304791011","Endometriosis of uterus NOS","K500z00","76376003","217","CPRD_AURUM"
"3374421000006115","Scar endometriosis","","53913001","0","CPRD_AURUM"
"2860411000006119","Endometriosis of fallopian tube","","22611009","8","CPRD_AURUM"
"106864016","Endometriosis of the pouch of Douglas","K503100","64286001","1741","CPRD_AURUM"
"3434271000006111","Endometriosis of vagina","","57493005","5","CPRD_AURUM"
"4791931000006119","Endometriosis interna","","198247003","17","CPRD_AURUM"
"3351801000006110","Endometriosis of rectovaginal septum","","52533003","0","CPRD_AURUM"
"396767017","Endometriosis of ovary","K501.00","266589005","10295","CPRD_AURUM"
"4414001000006117","Stromal endometriosis","","128726006","1","CPRD_AURUM"
"642781000006118","Endometriosis of the rectovaginal septum and vagina","K504.00","52533003","190","CPRD_AURUM"
"3558461000006116","Endometriosis of bladder","","65099004","19","CPRD_AURUM"
