"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"573","Epilepsy","F25..00","","CPRD_GOLD"
"988","Grand mal (major) epilepsy","F251000","","CPRD_GOLD"
"1715","Epileptic absences","F250011","","CPRD_GOLD"
"2907","Petit mal (minor) epilepsy","F250000","","CPRD_GOLD"
"3175","Temporal lobe epilepsy","F254000","","CPRD_GOLD"
"3607","Fit (in known epileptic) NOS","F25z.11","","CPRD_GOLD"
"3783","H/O: epilepsy","1473.00","","CPRD_GOLD"
"4093","Status epilepticus","F253.11","","CPRD_GOLD"
"4109","Traumatic epilepsy","SC20000","","CPRD_GOLD"
"4478","Infantile spasms","F256.00","","CPRD_GOLD"
"4602","Nocturnal epilepsy","667B.00","","CPRD_GOLD"
"4801","Epileptic seizures - myoclonic","F251300","","CPRD_GOLD"
"5117","Grand mal status","F253.00","","CPRD_GOLD"
"5152","Epileptic seizures - tonic","F251400","","CPRD_GOLD"
"5525","Focal epilepsy","F255011","","CPRD_GOLD"
"6271","Status epilepticus, unspecified","F25X.00","","CPRD_GOLD"
"6709","[X]Epileptic psychosis NOS","Eu05y11","","CPRD_GOLD"
"6983","Epilepsy monitoring","667..00","","CPRD_GOLD"
"8097","Absence seizure","2828.00","","CPRD_GOLD"
"8187","Tonic-clonic epilepsy","F251500","","CPRD_GOLD"
"9569","Jacksonian, focal or motor epilepsy","F255000","","CPRD_GOLD"
"9747","Epilepsy NOS","F25z.00","","CPRD_GOLD"
"9886","Petit mal status","F252.00","","CPRD_GOLD"
"9887","Locl-rlt(foc)(part)idiop epilep&epilptic syn seiz locl onset","F25y200","","CPRD_GOLD"
"9979","Other forms of epilepsy NOS","F25yz00","","CPRD_GOLD"
"11186","Generalised nonconvulsive epilepsy","F250.00","","CPRD_GOLD"
"11394","Complex partial epileptic seizure","F254500","","CPRD_GOLD"
"13220","Epilepsy control poor","667D.00","","CPRD_GOLD"
"17399","Juvenile absence epilepsy","F250400","","CPRD_GOLD"
"18471","Epileptic seizures - clonic","F251200","","CPRD_GOLD"
"19170","Benign Rolandic epilepsy","F25y400","","CPRD_GOLD"
"19363","Juvenile myoclonic epilepsy","F25A.00","","CPRD_GOLD"
"19550","Epilepsy control good","667C.00","","CPRD_GOLD"
