"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"710","Impotence","E227300",,"218180","CPRD_GOLD"
"3838","Erectile dysfunction","E227311",,"530318","CPRD_GOLD"
"12066","[X]Male erectile disorder","Eu52212",,"6562","CPRD_GOLD"
"12790","Referral to erectile dysfunction clinic","8HTj.00",,"5448","CPRD_GOLD"
"12867","Treatment of erectile dysfunction NEC","7C25E00",,"3756","CPRD_GOLD"
"17639","[X]Psychogenic impotence","Eu52213",,"1305","CPRD_GOLD"
"17894","Impotence of organic origin","K27y100",,"2271","CPRD_GOLD"
"20833","Penile injection to produce erection","7C25B00",,"262","CPRD_GOLD"
"37391","Revascularisation for impotence","7A6G000",,"42","CPRD_GOLD"
"41382","Ligation of penile veins for impotence","7A6G500",,"61","CPRD_GOLD"
"81439","Operations on penis for erectile dysfunction NEC","7C25F00",,"271","CPRD_GOLD"
"92310","Provision of device for impotence","Z9E9.00",,"7","CPRD_GOLD"
"94343","Cannot sustain an erection","1ABC.00",,"2450","CPRD_GOLD"
"94821","Cannot get an erection","1ABB.00",,"3075","CPRD_GOLD"
"102274","C/O erectile dysfunction","1D1B.00",,"121703","CPRD_GOLD"
"102859","Referral to erectile dysfunction clinic declined","8IE8.00",,"623","CPRD_GOLD"
"103966","Erect dysf unresponsiv to phosphodiesterase-5 inhibitor","8BB4.00",,"25","CPRD_GOLD"
"106360","Erectile dysfunction due to diabetes mellitus","K27y700",,"427","CPRD_GOLD"
