"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"M797","Fibromyalgia","M79.7","","0","ICD10"
"M7970","Fibromyalgia","M79.70","","0","ICD10"
"M7971","Fibromyalgia","M79.71","","0","ICD10"
"M7972","Fibromyalgia","M79.72","","0","ICD10"
"M7973","Fibromyalgia","M79.73","","0","ICD10"
"M7974","Fibromyalgia","M79.74","","0","ICD10"
"M7975","Fibromyalgia","M79.75","","0","ICD10"
"M7976","Fibromyalgia","M79.76","","0","ICD10"
"M7977","Fibromyalgia","M79.77","","0","ICD10"
"M7978","Fibromyalgia","M79.78","","0","ICD10"
"M7979","Fibromyalgia","M79.79","","0","ICD10"
