"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"4078","Folic acid deficiency","C262000",,"57447","CPRD_GOLD"
"4080","Folate-deficiency anaemia","D012.00",,"10820","CPRD_GOLD"
"13749","RBC folate abnormal","42UD.00",,"1257","CPRD_GOLD"
"15898","Serum folate low","42U2.00",,"6657","CPRD_GOLD"
"22715","Combined B12 and folate deficiency anaemia","D013000",,"717","CPRD_GOLD"
"24870","Folic acid deficiency anaemia","D012.11",,"932","CPRD_GOLD"
"36634","Folate-deficiency anaemia due to dietary causes","D012100",,"216","CPRD_GOLD"
"37082","Folate-deficiency anaemia, drug induced","D012200",,"22","CPRD_GOLD"
"42117","Folate-deficiency anaemia NOS","D012z00",,"318","CPRD_GOLD"
"44125","Whole blood folate low","42UB.00",,"26","CPRD_GOLD"
"53783","[X]Other folate deficiency anaemias","Dyu0300",,"54","CPRD_GOLD"
"54470","RBC folate low","42U8.00",,"1146","CPRD_GOLD"
"55481","Folate-deficiency anaemia due to malabsorption","D012300",,"30","CPRD_GOLD"
"56114","Folate-deficiency anaemia due to liver disorders","D012400",,"13","CPRD_GOLD"
"113007","Congenital folate malabsorption anaemia","D012000",,"1","CPRD_GOLD"
