"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"16455010","Gouty neuritis","C34y400","9386003","18","CPRD_AURUM"
"45604013","Gouty tophi of heart","G557300","27277001","34","CPRD_AURUM"
"72069017","Gouty iritis","C34y300","43193009","47","CPRD_AURUM"
"80709010","Gouty arthritis","N023.00","48440001","32023","CPRD_AURUM"
"150085018","Gout","C34..00","90560007","2681055","CPRD_AURUM"
"264664010","Gout monitoring","669..00","170730005","19959","CPRD_AURUM"
"264665011","Initial gout assessment","6691.00","170731009","628","CPRD_AURUM"
"264669017","Date gout treatment started","6695.00","170735000","877","CPRD_AURUM"
"264670016","Date of last gout attack","6696.00","170736004","701","CPRD_AURUM"
"264673019","Gout treatment changed","6699.00","170739006","751","CPRD_AURUM"
"264674013","Date gout treatment stopped","669A.00","170740008","140","CPRD_AURUM"
"293392012","Gouty arthropathy","C340.00","190828008","141665","CPRD_AURUM"
"293394013","Gouty nephropathy","C341.00","190829000","1598","CPRD_AURUM"
"309677014","Gouty arthritis of the hand","N023400","201666003","1335","CPRD_AURUM"
"309678016","Gouty arthritis of the pelvic region and thigh","N023500","201667007","17","CPRD_AURUM"
"309680010","Gouty arthritis of the ankle and foot","N023700","201669005","6333","CPRD_AURUM"
"359376016","Lead-induced gout","C343.00","239846006","24","CPRD_AURUM"
"481958014","Idiopathic gout","C342.00","24595009","2635","CPRD_AURUM"
"21811000033118","Drugs Used In Gout","","21811000033102","0","CPRD_AURUM"
"1010591000006110","Adverse reaction to Drugs Used In Gout","","1010591000006106","55","CPRD_AURUM"
"2370851000000119","Acute exacerbation of gout","C346.00","924311000000106","4787","CPRD_AURUM"
"25080011","Gouty tophi of ear","C34y000","14763005","600","CPRD_AURUM"
"264675014","Gout monitoring NOS","669Z.00","170730005","1021","CPRD_AURUM"
"293396010","Gouty nephropathy unspecified","C341000","190829000","15","CPRD_AURUM"
"293400010","Gouty nephropathy NOS","C341z00","190829000","22","CPRD_AURUM"
"293407013","Gouty tophi of other sites","C34y200","402469004","5500","CPRD_AURUM"
"293411019","Other specified gouty manifestation NOS","C34yz00","90560007","126","CPRD_AURUM"
"293412014","Gout NOS","C34z.00","90560007","119551","CPRD_AURUM"
"309673013","Gouty arthritis of unspecified site","N023000","48440001","1356","CPRD_AURUM"
"309679012","Gouty arthritis of the lower leg","N023600","48440001","767","CPRD_AURUM"
"309682019","Gouty arthritis of other specified site","N023y00","48440001","241","CPRD_AURUM"
"312525018","[X]Other secondary gout","Nyu1700","239843003","83","CPRD_AURUM"
"388241000006119","[X]Gouty arthrpathy due/enzym defects+oth inherit disordr CE","Nyu1C00","48440001","7","CPRD_AURUM"
"264672012","Gout drug side effects","6698.00","170738003","130","CPRD_AURUM"
"5140061000006112","Gout secondary to drug","","239845005","14","CPRD_AURUM"
"4760071000006110","Chronic gouty nephropathy","","190829000","0","CPRD_AURUM"
"5140091000006116","Gout secondary to lead","","239846006","0","CPRD_AURUM"
"2892591000006114","Primary gout","","24595009","148","CPRD_AURUM"
"4808821000006116","Gouty arthritis of the ankle and/or foot","","201669005","15","CPRD_AURUM"
"12347141000006117","Arthritis of toe due to gout","","428839004","0","CPRD_AURUM"
"2892601000006118","Acute gouty arthritis","","24595009","1","CPRD_AURUM"
"12488961000006118","Gout associated problems","","170737008","0","CPRD_AURUM"
"5140041000006113","Gout secondary to renal impairment","","239844009","4","CPRD_AURUM"
"2937081000006117","Tophus of heart co-occurrent and due to gout","","27277001","0","CPRD_AURUM"
"12184951000006114","Arthritis due to gout","","48440001","0","CPRD_AURUM"
"4576741000006112","On examination - auricle of ear - tophi","","164208001","0","CPRD_AURUM"
"5140081000006119","Gout caused by drug","","239845005","1","CPRD_AURUM"
"12488971000006113","Gout drug side effects","","170738003","0","CPRD_AURUM"
"6665841000006119","Tophus co-occurrent and due to gout","","402469004","0","CPRD_AURUM"
"2733961000006114","Tophus of ear co-occurrent and due to gout","","14763005","0","CPRD_AURUM"
"4760101000006117","Gouty tophus of hand","","190842000","250","CPRD_AURUM"
"2560771000006117","Urate tophus","","3875003","0","CPRD_AURUM"
"881751000006117","Gout Uncomplicated","C34z.99","646651000000108","229","CPRD_AURUM"
"2610481000000112","Gouty tophi of toe","","1033961000000104","1190","CPRD_AURUM"
"850991000006110","Gouty tophi + gout NOS","","850991000006106","4312","CPRD_AURUM"
"359373012","Drug-induced gout","C344.00","239845005","1246","CPRD_AURUM"
"309674019","Gouty arthritis of the shoulder region","N023100","201663006","31","CPRD_AURUM"
"264667015","Joints gout affected","6693.00","170733007","420","CPRD_AURUM"
"293405017","Other specified gouty manifestation","C34y.00","3875003","207","CPRD_AURUM"
"309675018","Gouty arthritis of the upper arm","N023200","201663006","50","CPRD_AURUM"
"309676017","Gouty arthritis of the forearm","N023300","48440001","144","CPRD_AURUM"
"2937061000006110","Gouty tophus of heart","","27277001","0","CPRD_AURUM"
"3636531000006119","Rheumatic gout","","69896004","0","CPRD_AURUM"
"5785691000006119","Drug for the treatment of gout adverse reaction","","292671009","0","CPRD_AURUM"
"5140141000006112","Gout caused by lead","","239846006","0","CPRD_AURUM"
"2695828012","Gouty arthritis of toe","N023800","428839004","1637","CPRD_AURUM"
"359372019","Gout due to impairment of renal function","C345.00","239844009","377","CPRD_AURUM"
"293410018","Gouty tophi of hand","C34y500","190842000","11433","CPRD_AURUM"
"255612014","O/E - auricle of ear - tophi","2D52.00","164208001","251","CPRD_AURUM"
"251601017","H/O: gout","1443.00","161451004","52013","CPRD_AURUM"
"264671017","Gout associated problems","6697.00","170737008","277","CPRD_AURUM"
"4636331000006111","Gout drug side effect","","170738003","0","CPRD_AURUM"
"4636311000006117","Gout associated problem","","170737008","0","CPRD_AURUM"
"309683012","Gouty arthritis NOS","N023z00","48440001","3258","CPRD_AURUM"
"1877501000006110","Keele CONTACT (treatment for acute gout) study","","1877501000006106","1936","CPRD_AURUM"
"5140131000006119","Gout due to lead poisoning","","239846006","0","CPRD_AURUM"
"309681014","Gouty arthritis of multiple sites","N023x00","201670006","923","CPRD_AURUM"
"264666012","Follow-up gout assessment","6692.00","170732002","1858","CPRD_AURUM"
"806061000006113","Gouty tophi of heart","C34y100","27277001","6","CPRD_AURUM"
"4539631000006118","History of gout","","161451004","0","CPRD_AURUM"
"2560761000006112","Gouty tophus","","3875003","4","CPRD_AURUM"
"2892621000006111","Acute gouty arthropathy","","24595009","0","CPRD_AURUM"
"4760121000006110","Tophus of hand co-occurrent and due to gout","","190842000","0","CPRD_AURUM"
"5140121000006117","Lead gout","","239846006","0","CPRD_AURUM"
"12729281000006113","Gout NOS","","646651000000108","0","CPRD_AURUM"
"5140111000006113","Saturnine gout","","239846006","0","CPRD_AURUM"
