"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"709","Gout","C34..00","","CPRD_GOLD"
"2857","Gouty arthritis","N023.00","","CPRD_GOLD"
"3759","H/O: gout","1443.00","","CPRD_GOLD"
"4440","Gouty tophi of other sites","C34y200","","CPRD_GOLD"
"9874","Gouty tophi of hand","C34y500","","CPRD_GOLD"
"10080","Gouty arthropathy","C340.00","","CPRD_GOLD"
"11462","Idiopathic gout","C342.00","","CPRD_GOLD"
"12594","Gouty arthritis NOS","N023z00","","CPRD_GOLD"
"14996","Initial gout assessment","6691.00","","CPRD_GOLD"
"16475","Gout monitoring","669..00","","CPRD_GOLD"
"17284","O/E - auricle of ear - tophi","2D52.00","","CPRD_GOLD"
"21687","Gout due to impairment of renal function","C345.00","","CPRD_GOLD"
"24153","Gout NOS","C34z.00","","CPRD_GOLD"
"27521","Other specified gouty manifestation NOS","C34yz00","","CPRD_GOLD"
"28999","Other specified gouty manifestation","C34y.00","","CPRD_GOLD"
"29658","Joints gout affected","6693.00","","CPRD_GOLD"
"34006","Date gout treatment started","6695.00","","CPRD_GOLD"
"34105","Gout treatment changed","6699.00","","CPRD_GOLD"
"35660","Follow-up gout assessment","6692.00","","CPRD_GOLD"
"35664","Gouty arthritis of the ankle and foot","N023700","","CPRD_GOLD"
"36481","Gouty tophi of ear","C34y000","","CPRD_GOLD"
"43646","Date gout treatment stopped","669A.00","","CPRD_GOLD"
"44566","Drug-induced gout","C344.00","","CPRD_GOLD"
"45465","Gouty arthritis of the forearm","N023300","","CPRD_GOLD"
"49775","Gouty arthritis of the lower leg","N023600","","CPRD_GOLD"
"50067","Gouty iritis","C34y300","","CPRD_GOLD"
"52101","Gouty arthritis of the hand","N023400","","CPRD_GOLD"
"52103","Gout drug side effects","6698.00","","CPRD_GOLD"
"52117","Gout monitoring NOS","669Z.00","","CPRD_GOLD"
"52969","Gouty nephropathy","C341.00","","CPRD_GOLD"
"57334","Gouty tophi of heart","G557300","","CPRD_GOLD"
"58064","Gouty arthritis of multiple sites","N023x00","","CPRD_GOLD"
"58746","Gout associated problems","6697.00","","CPRD_GOLD"
"59344","Gouty neuritis","C34y400","","CPRD_GOLD"
"60541","Gouty arthritis of other specified site","N023y00","","CPRD_GOLD"
"61145","Gouty nephropathy NOS","C341z00","","CPRD_GOLD"
"68209","Date of last gout attack","6696.00","","CPRD_GOLD"
"72471","Gouty arthritis of the shoulder region","N023100","","CPRD_GOLD"
"93677","Gouty arthritis of toe","N023800","","CPRD_GOLD"
"93689","Gouty tophi of heart","C34y100","","CPRD_GOLD"
"94539","[X]Other secondary gout","Nyu1700","","CPRD_GOLD"
"97539","Gouty arthritis of the upper arm","N023200","","CPRD_GOLD"
"108901","Acute exacerbation of gout","C346.00","","CPRD_GOLD"
"111834","Lead-induced gout","C343.00","","CPRD_GOLD"
"113314","Gouty arthritis of unspecified site","N023000","","CPRD_GOLD"
"114211","Gouty nephropathy unspecified","C341000","","CPRD_GOLD"
