"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"M10","Gout","M10","","0","ICD10"
"M100","Idiopathic gout","M10.0","","0","ICD10"
"M1000","Idiopathic gout","M10.00","","0","ICD10"
"M1001","Idiopathic gout","M10.01","","0","ICD10"
"M1002","Idiopathic gout","M10.02","","0","ICD10"
"M1003","Idiopathic gout","M10.03","","0","ICD10"
"M1004","Idiopathic gout","M10.04","","0","ICD10"
"M1005","Idiopathic gout","M10.05","","0","ICD10"
"M1006","Idiopathic gout","M10.06","","0","ICD10"
"M1007","Idiopathic gout","M10.07","","0","ICD10"
"M1008","Idiopathic gout","M10.08","","0","ICD10"
"M1009","Idiopathic gout","M10.09","","0","ICD10"
"M101","Lead-induced gout","M10.1","","0","ICD10"
"M1010","Lead-induced gout","M10.10","","0","ICD10"
"M1011","Lead-induced gout","M10.11","","0","ICD10"
"M1012","Lead-induced gout","M10.12","","0","ICD10"
"M1013","Lead-induced gout","M10.13","","0","ICD10"
"M1014","Lead-induced gout","M10.14","","0","ICD10"
"M1015","Lead-induced gout","M10.15","","0","ICD10"
"M1016","Lead-induced gout","M10.16","","0","ICD10"
"M1017","Lead-induced gout","M10.17","","0","ICD10"
"M1018","Lead-induced gout","M10.18","","0","ICD10"
"M1019","Lead-induced gout","M10.19","","0","ICD10"
"M102","Drug-induced gout","M10.2","","0","ICD10"
"M1020","Drug-induced gout","M10.20","","0","ICD10"
"M1021","Drug-induced gout","M10.21","","0","ICD10"
"M1022","Drug-induced gout","M10.22","","0","ICD10"
"M1023","Drug-induced gout","M10.23","","0","ICD10"
"M1024","Drug-induced gout","M10.24","","0","ICD10"
"M1025","Drug-induced gout","M10.25","","0","ICD10"
"M1026","Drug-induced gout","M10.26","","0","ICD10"
"M1027","Drug-induced gout","M10.27","","0","ICD10"
"M1028","Drug-induced gout","M10.28","","0","ICD10"
"M1029","Drug-induced gout","M10.29","","0","ICD10"
"M103","Gout due to impairment of renal function","M10.3","","0","ICD10"
"M1030","Gout due to impairment of renal function","M10.30","","0","ICD10"
"M1031","Gout due to impairment of renal function","M10.31","","0","ICD10"
"M1032","Gout due to impairment of renal function","M10.32","","0","ICD10"
"M1033","Gout due to impairment of renal function","M10.33","","0","ICD10"
"M1034","Gout due to impairment of renal function","M10.34","","0","ICD10"
"M1035","Gout due to impairment of renal function","M10.35","","0","ICD10"
"M1036","Gout due to impairment of renal function","M10.36","","0","ICD10"
"M1037","Gout due to impairment of renal function","M10.37","","0","ICD10"
"M1038","Gout due to impairment of renal function","M10.38","","0","ICD10"
"M1039","Gout due to impairment of renal function","M10.39","","0","ICD10"
"M104","Other secondary gout","M10.4","","0","ICD10"
"M1040","Other secondary gout","M10.40","","0","ICD10"
"M1041","Other secondary gout","M10.41","","0","ICD10"
"M1042","Other secondary gout","M10.42","","0","ICD10"
"M1043","Other secondary gout","M10.43","","0","ICD10"
"M1044","Other secondary gout","M10.44","","0","ICD10"
"M1045","Other secondary gout","M10.45","","0","ICD10"
"M1046","Other secondary gout","M10.46","","0","ICD10"
"M1047","Other secondary gout","M10.47","","0","ICD10"
"M1048","Other secondary gout","M10.48","","0","ICD10"
"M1049","Other secondary gout","M10.49","","0","ICD10"
"M109","Gout, unspecified","M10.9","","0","ICD10"
"M1090","Gout, unspecified","M10.90","","0","ICD10"
"M1091","Gout, unspecified","M10.91","","0","ICD10"
"M1092","Gout, unspecified","M10.92","","0","ICD10"
"M1093","Gout, unspecified","M10.93","","0","ICD10"
"M1094","Gout, unspecified","M10.94","","0","ICD10"
"M1095","Gout, unspecified","M10.95","","0","ICD10"
"M1096","Gout, unspecified","M10.96","","0","ICD10"
"M1097","Gout, unspecified","M10.97","","0","ICD10"
"M1098","Gout, unspecified","M10.98","","0","ICD10"
"M1099","Gout, unspecified","M10.99","","0","ICD10"
"M140","Gouty arthropathy due to enzyme defects and other inherited disorders","M14.0","","0","ICD10"
