"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"1443.00","H/O: gout","1443.00",,"21690","IMRD"
"2D52.00","O/E - auricle of ear - tophi","2D52.00",,"157","IMRD"
"669..00","Gout monitoring","669..00",,"19451","IMRD"
"6691.00","Initial gout assessment","6691.00",,"91","IMRD"
"6692.00","Follow-up gout assessment","6692.00",,"697","IMRD"
"6693.00","Joints gout affected","6693.00",,"83","IMRD"
"6695.00","Date gout treatment started","6695.00",,"396","IMRD"
"6696.00","Date of last gout attack","6696.00",,"69","IMRD"
"6697.00","Gout associated problems","6697.00",,"20","IMRD"
"6698.00","Gout drug side effects","6698.00",,"20","IMRD"
"6699.00","Gout treatment changed","6699.00",,"744","IMRD"
"669A.00","Date gout treatment stopped","669A.00",,"39","IMRD"
"669Z.00","Gout monitoring NOS","669Z.00",,"239","IMRD"
"C34..00","Gout","C34..00",,"732054","IMRD"
"C340.00","Gouty arthropathy","C340.00",,"10311","IMRD"
"C341.00","Gouty nephropathy","C341.00",,"88","IMRD"
"C341000","Gouty nephropathy unspecified","C341000",,"2","IMRD"
"C341z00","Gouty nephropathy NOS","C341z00",,"4","IMRD"
"C342.00","Idiopathic gout","C342.00",,"274","IMRD"
"C343.00","Lead-induced gout","C343.00",,"1","IMRD"
"C344.00","Drug-induced gout","C344.00",,"93","IMRD"
"C345.00","Gout due to impairment of renal function","C345.00",,"254","IMRD"
"C346.00","Acute exacerbation of gout","C346.00",,"1292","IMRD"
"C34y.00","Other specified gouty manifestation","C34y.00",,"69","IMRD"
"C34y000","Gouty tophi of ear","C34y000",,"131","IMRD"
"C34y100","Gouty tophi of heart","C34y100",,"6","IMRD"
"C34y200","Gouty tophi of other sites","C34y200",,"1076","IMRD"
"C34y300","Gouty iritis","C34y300",,"24","IMRD"
"C34y400","Gouty neuritis","C34y400",,"11","IMRD"
"C34y500","Gouty tophi of hand","C34y500",,"2294","IMRD"
"C34y600","Gouty tophi of toe","C34y600",,"14","IMRD"
"C34yz00","Other specified gouty manifestation NOS","C34yz00",,"71","IMRD"
"C34z.00","Gout NOS","C34z.00",,"11706","IMRD"
"G557300","Gouty tophi of heart","G557300",,"31","IMRD"
"N023.00","Gouty arthritis","N023.00",,"7938","IMRD"
"N023000","Gouty arthritis of unspecified site","N023000",,"12","IMRD"
"N023100","Gouty arthritis of the shoulder region","N023100",,"2","IMRD"
"N023200","Gouty arthritis of the upper arm","N023200",,"11","IMRD"
"N023300","Gouty arthritis of the forearm","N023300",,"19","IMRD"
"N023400","Gouty arthritis of the hand","N023400",,"114","IMRD"
"N023500","Gouty arthritis of the pelvic region and thigh","N023500",,"2","IMRD"
"N023600","Gouty arthritis of the lower leg","N023600",,"52","IMRD"
"N023700","Gouty arthritis of the ankle and foot","N023700",,"494","IMRD"
"N023800","Gouty arthritis of toe","N023800",,"213","IMRD"
"N023x00","Gouty arthritis of multiple sites","N023x00",,"24","IMRD"
"N023y00","Gouty arthritis of other specified site","N023y00",,"21","IMRD"
"N023z00","Gouty arthritis NOS","N023z00",,"2060","IMRD"
"Nyu1700","[X]Other secondary gout","Nyu1700",,"12","IMRD"
"Nyu1C00","[X]Gouty arthrpathy due/enzym defects+oth inherit disordr CE","Nyu1C00",,"0","IMRD"
