"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"18472010","Acute congestive heart failure","G580000","10633002","CPRD_AURUM"
"60444016","Benign hypertensive heart disease","G211.00","36221001","CPRD_AURUM"
"82584011","Acute cor pulmonale","G400.00","49584005","CPRD_AURUM"
"94251011","Acute heart failure","G582.00","56675007","CPRD_AURUM"
"107545013","Hypertensive heart disease","G21..00","64715009","CPRD_AURUM"
"132655012","Chronic cor pulmonale","G41z.11","79955004","CPRD_AURUM"
"139482012","Cardiac failure","G58..11","84114007","CPRD_AURUM"
"141306010","Left ventricular failure","G581.00","85232009","CPRD_AURUM"
"147247018","Chronic congestive heart failure","G580100","88805009","CPRD_AURUM"
"216207010","Left ventricular systolic dysfunction","G5yy900","134401001","CPRD_AURUM"
"216246012","Referral to heart failure clinic","8HTL.00","134440006","CPRD_AURUM"
"299673010","Hypertensive heart and renal disease with renal failure","G233.00","194780003","CPRD_AURUM"
"300179017","Decompensated cardiac failure","G580200","195111005","CPRD_AURUM"
"300180019","Compensated cardiac failure","G580300","195112003","CPRD_AURUM"
"300190010","Acute left ventricular failure","G581000","195114002","CPRD_AURUM"
"316833010","Congenital cardiac failure","Q48y100","206586007","CPRD_AURUM"
"350413012","Congestive obstructive cardiomyopathy","G554011","233871002","CPRD_AURUM"
"350484012","Heart failure as a complication of care","SP11111","233924009","CPRD_AURUM"
"403107019","Cardiac insufficiency as a complication of care","SP11100","269299003","CPRD_AURUM"
"411506018","Impaired left ventricular function","G581.13","275514001","CPRD_AURUM"
"412678013","Neonatal cardiac failure","Q490.00","276514007","CPRD_AURUM"
"451426015","Cardiac failure therapy","8B29.00","308118002","CPRD_AURUM"
"453099015","H/O: Heart failure in last year","14AM.00","309634009","CPRD_AURUM"
"1484917012","Heart failure follow-up","8HBE.00","390884006","CPRD_AURUM"
"1484918019","Heart failure annual review","662W.00","390885007","CPRD_AURUM"
"1488804017","Heart failure confirmed","1O1..00","395105005","CPRD_AURUM"
"1778488011","Congestive cardiomyopathy","G554000","399020009","CPRD_AURUM"
"2159197017","Echocardiogram shows left ventricular systolic dysfunction","585f.00","407596008","CPRD_AURUM"
"2159198010","Echocardiogram shows left ventricular diastolic dysfunction","585g.00","407597004","CPRD_AURUM"
"2549243014","Seen in heart failure clinic","9N0k.00","416717003","CPRD_AURUM"
"2616473014","New York Heart Association Classification - Class IV","662i.00","422293003","CPRD_AURUM"
"2694523019","Left ventricular cardiac dysfunction","G5yyD00","429589006","CPRD_AURUM"
"311561000000117","Referred to heart failure education group","8Hk0.00","203791000000106","CPRD_AURUM"
"404741000000119","Heart failure 6 month review","662p.00","247361000000100","CPRD_AURUM"
"864961000006117","Artificial heart implant","7901299","31019002","CPRD_AURUM"
"905391000006119","[RFC] Cardiac failure","","905391000006103","CPRD_AURUM"
"1576321000006113","Cause of Death- Congestive Cardiac Failure","","1576321000006109","CPRD_AURUM"
"1647701000000118","Heart failure with normal ejection fraction","G583.00","446221000","CPRD_AURUM"
"1734081000000112","Referral to heart failure exercise programme declined","8IE1.00","704097008","CPRD_AURUM"
"1861731000006114","AURAS-AF - consider the patient to have heart failure","","1861731000006105","CPRD_AURUM"
"1991651000006115","Severe left ventricular systolic dysfunction","","1991651000006104","CPRD_AURUM"
"2256811000000114","Referral to rapid access heart failure clinic","8HTL000","873881000000100","CPRD_AURUM"
"270768010","Transplantation of heart and lung NOS","7900z00","174802006","CPRD_AURUM"
"270777015","Other specified other transplantation of heart","7901y00","32413006","CPRD_AURUM"
"299655012","Hypertensive heart disease NOS","G21zz00","64715009","CPRD_AURUM"
"299675015","Hypertensive heart and renal disease NOS","G23z.00","86234004","CPRD_AURUM"
"300217019","Post cardiac operation heart failure NOS","G5y4z00","195130005","CPRD_AURUM"
"300910013","[X]Other hypertrophic cardiomyopathy","Gyu5M00","233873004","CPRD_AURUM"
"301694014","Pulmonary oedema NOS","H541z00","19242006","CPRD_AURUM"
"301695010","Pulmonary congestion and hypostasis NOS","H54z.00","196115007","CPRD_AURUM"
"301741013","Acute pulmonary oedema unspecified","H584.00","40541001","CPRD_AURUM"
"305601017","Cardiac failure following abortive pregnancy","L09y200","609507007","CPRD_AURUM"
"395772015","Heart failure NOS","G58z.00","84114007","CPRD_AURUM"
"1495417010","Asthma - cardiac","G581.11","71892000","CPRD_AURUM"
"55971000006117","Xenotransplantation of heart","7901100","174808005","CPRD_AURUM"
"213091000006115","Pre-exist hyperten heart dis compl preg childbth+puerperium","L128000","199006004","CPRD_AURUM"
"223981000000118","Cardiac failure NOS","G58z.12","84114007","CPRD_AURUM"
"728671000006119","Malignant hypertensive heart disease with CCF","G210100","83105008","CPRD_AURUM"
"728681000006116","Malignant hypertensive heart disease without CCF","G210000","36315003","CPRD_AURUM"
"741661000006118","Hypertensive heart disease NOS","G21z.00","64715009","CPRD_AURUM"
"741681000006111","Hypertensive heart disease NOS with CCF","G21z100","64715009","CPRD_AURUM"
"741701000006114","Hypertensive heart&renal dis wth (congestive) heart failure","G232.00","194779001","CPRD_AURUM"
"789941000006117","Hyperten heart&renal dis+both(congestv)heart and renal fail","G234.00","194781004","CPRD_AURUM"
"1784061000006118","Preferred place of care for next exacerbation heart failure","8CeC.00","789621000000105","CPRD_AURUM"
"1816101000006113","Right ventricular failure","G584.00","367363000","CPRD_AURUM"
"1490256017","Pulmonary oedema - acute","G581.12","40541001","CPRD_AURUM"
