"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"69710017","Christmas disease","D301.11","41788008","592","CPRD_AURUM"
"483814018","Haemophilia A","D300.12","28293008","5023","CPRD_AURUM"
"882061000006111","Christmas disease - factor 9","D301.99","41788008","37","CPRD_AURUM"
"492781000006112","Arthropathy due to haemophilia","N032000","80813006","94","CPRD_AURUM"
"814041000006118","Haemophilia-A (factor VIII deficiency)","D300.00","28293008","7884","CPRD_AURUM"
"82891015","Rosenthal's disease","D302.12","49762007","29","CPRD_AURUM"
"814061000006119","Haemophilia-C (factor XI deficiency)","D302.00","49762007","2096","CPRD_AURUM"
"3977651000006112","Haemophilia","","90935002","312","CPRD_AURUM"
"4404151000006117","Factor VIII deficiency with vascular defect","","128105004","0","CPRD_AURUM"
"3173231000006114","Sex-linked factor IX deficiency disease","","41788008","0","CPRD_AURUM"
"12489141000006110","Factor XI deficiency","","49762007","0","CPRD_AURUM"
"3977671000006119","Haemophilia - disorder","","90935002","0","CPRD_AURUM"
"3305531000006111","Hemophilia C","","49762007","0","CPRD_AURUM"
"3814251000006118","Arthropathy in hemophilia","","80813006","0","CPRD_AURUM"
"3305521000006113","Hereditary factor XI deficiency disease","","49762007","22","CPRD_AURUM"
"3814241000006115","Arthropathy in haemophilia","","80813006","0","CPRD_AURUM"
"3173251000006119","Factor IX deficiency","","41788008","0","CPRD_AURUM"
"2954101000006118","Classical hemophilia","","28293008","0","CPRD_AURUM"
"3173201000006118","Hereditary factor IX deficiency disease","","41788008","14","CPRD_AURUM"
"6762371000006119","Hemophilia","","408442008","0","CPRD_AURUM"
"6762361000006114","Haemophilia","","408442008","9","CPRD_AURUM"
"3977661000006114","Hemophilia","","90935002","0","CPRD_AURUM"
"3305571000006114","Rosenthal's disease","","49762007","0","CPRD_AURUM"
"493094016","Haemophilia B","D301.12","41788008","1108","CPRD_AURUM"
"495497019","Haemophilia C","D302.11","49762007","159","CPRD_AURUM"
"2954091000006112","Hemophilia A","","28293008","0","CPRD_AURUM"
"2954121000006111","Sex-linked factor VIII deficiency","","28293008","0","CPRD_AURUM"
"2954131000006114","Congenital factor VIII deficiency disease","","28293008","0","CPRD_AURUM"
"882051000006114","Haemophilia","D300.99","28293008","488","CPRD_AURUM"
"2954151000006119","Classical haemophilia","","28293008","0","CPRD_AURUM"
"814051000006116","Haemophilia-B (factor IX deficiency)","D301.00","41788008","1634","CPRD_AURUM"
"3305541000006118","Congenital factor XI deficiency disease","","49762007","0","CPRD_AURUM"
"3173211000006115","Hemophilia B","","41788008","0","CPRD_AURUM"
"2954081000006114","Hereditary factor VIII deficiency disease","","28293008","46","CPRD_AURUM"
