"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"19943011","Quadriplegia","F240.00","11538006","13658","CPRD_AURUM"
"19944017","Tetraplegia","F240.11","11538006","10196","CPRD_AURUM"
"66483014","Hereditary spastic paraplegia","F141.00","39912006","7972","CPRD_AURUM"
"100323011","Paraplegia","F241.00","60389000","46353","CPRD_AURUM"
"254829017","O/E - hemiplegia","2833.00","163601006","4415","CPRD_AURUM"
"297221013","Congenital paraplegia","F230000","192949002","204","CPRD_AURUM"
"297243017","Flaccid paraplegia","F241000","192966000","563","CPRD_AURUM"
"411455012","Congenital quadriplegia","F232.00","275468009","1784","CPRD_AURUM"
"415147018","Left hemiplegia","F222.00","278285008","20571","CPRD_AURUM"
"905891000006114","[RFC] Paraplegias","","905891000006105","4","CPRD_AURUM"
"1815951000006119","Spastic quadriplegic cerebral palsy","F2B0.00","48721008","1571","CPRD_AURUM"
"2122001000000116","Spastic hemiplegic cerebral palsy","F2B1.00","813921000000104","525","CPRD_AURUM"
"297210016","Hemiplegia NOS","F22z.00","50582007","3465","CPRD_AURUM"
"223801000000115","Paraplegia - congenital","F230.11","192949002","20","CPRD_AURUM"
"716831000006114","Massive muscular calcification associated with paraplegia","N231011","82725007","17","CPRD_AURUM"
"4566641000006114","On examination - quadriplegia","","163605002","0","CPRD_AURUM"
"3142321000006114","Familial spastic paraplegia syndrome","","39912006","0","CPRD_AURUM"
"4566571000006117","On examination - hemiplegia","","163601006","0","CPRD_AURUM"
"5611491000006112","LT - Left hemiplegia","","278285008","1","CPRD_AURUM"
"3480771000006117","Paraplegia (complete or partial paralysis of legs)","","60389000","0","CPRD_AURUM"
"2524111000006113","Postnatal infantile hemiplegia","","1593000","0","CPRD_AURUM"
"3142331000006112","HSP - Hereditary spastic paraplegia","","39912006","0","CPRD_AURUM"
"3288371000006118","Quadriplegic spastic cerebral palsy","","48721008","0","CPRD_AURUM"
"3288361000006113","Tetraplegic spastic cerebral palsy","","48721008","0","CPRD_AURUM"
"3142351000006117","Spastic congenital paraplegia","","39912006","0","CPRD_AURUM"
"3288351000006111","Cerebral palsy with spastic tetraplegia","","48721008","0","CPRD_AURUM"
"4566621000006119","On examination - paraplegia","","163604003","0","CPRD_AURUM"
"3480761000006112","Lower paraplegia","","60389000","0","CPRD_AURUM"
"3319161000006112","Hemiplegia (paralysis on one side)","","50582007","0","CPRD_AURUM"
"4566661000006113","On examination - tetraplegia","","163605002","0","CPRD_AURUM"
"4566651000006111","O/E - tetraplegia","","163605002","0","CPRD_AURUM"
"5573561000006115","Congenital tetraplegia","","275468009","0","CPRD_AURUM"
"856091000006114","Right hemiplegia","","856091000006105","24","CPRD_AURUM"
"857181000006110","Left hemiplegia","","857181000006106","7","CPRD_AURUM"
"297241015","Flaccid tetraplegia","F240000","192964002","81","CPRD_AURUM"
"132112014","Spastic hemiplegia","F221.00","79633009","3624","CPRD_AURUM"
"134251013","Flaccid hemiplegia","F220.00","80935004","117","CPRD_AURUM"
"3344101000006118","Thermoplegia","","52072009","0","CPRD_AURUM"
"3288331000006116","Quadriplegic cerebral palsy","","48721008","17","CPRD_AURUM"
"297232013","Infantile hemiplegia NOS","F234.00","1593000","2011","CPRD_AURUM"
"254833012","O/E - paraplegia","2835.00","163604003","1042","CPRD_AURUM"
"110721000006114","Tetraplegia - congenital","F232.11","275468009","56","CPRD_AURUM"
"4769421000006110","Spastic quadriplegia","","192965001","0","CPRD_AURUM"
"3288341000006114","Tetraplegic cerebral palsy","","48721008","0","CPRD_AURUM"
"72531016","Congenital hemiplegia","F231.00","1593000","3900","CPRD_AURUM"
"494103012","Tropical spastic paraplegia","F038.00","714279000","251","CPRD_AURUM"
"415146010","Right hemiplegia","F223.00","278284007","19679","CPRD_AURUM"
"297242010","Spastic tetraplegia","F240100","192965001","4416","CPRD_AURUM"
"297244011","Spastic paraplegia","F241100","192967009","9364","CPRD_AURUM"
"254834018","O/E - quadriplegia","2836.00","163605002","1982","CPRD_AURUM"
"84272011","Hemiplegia","F22..00","50582007","32586","CPRD_AURUM"
