"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"318656013","Closed fracture acetabulum, posterior lip alone","S130100","208147005","42","CPRD_AURUM"
"318658014","Closed fracture acetabulum, posterior column","S130300","208149008","93","CPRD_AURUM"
"318659018","Closed fracture acetabulum, floor","S130400","208150008","113","CPRD_AURUM"
"318660011","Closed fracture acetabulum, double column transverse","S130500","208151007","18","CPRD_AURUM"
"319084014","Closed fracture proximal femur, transcervical","S300.00","208521006","1047","CPRD_AURUM"
"319086011","Closed fracture proximal femur, transepiphyseal","S300100","208523009","25","CPRD_AURUM"
"319094016","Closed fracture proximal femur, subcapital, Garden grade III","S300800","208530003","80","CPRD_AURUM"
"319095015","Closed fracture proximal femur, subcapital, Garden grade IV","S300900","208531004","148","CPRD_AURUM"
"319100018","Open fracture proximal femur, transcervical","S301.00","12746007","11","CPRD_AURUM"
"319108013","Open fracture proximal femur,subcapital, Garden grade unspec","S301500","208540000","36","CPRD_AURUM"
"319111014","Open fracture proximal femur,subcapital, Garden grade III","S301800","208543003","1","CPRD_AURUM"
"319112019","Open fracture proximal femur,subcapital, Garden grade IV","S301900","208544009","5","CPRD_AURUM"
"319118015","Closed fracture of proximal femur, pertrochanteric","S302.00","208548007","2158","CPRD_AURUM"
"319123015","Closed fracture proximal femur, intertrochanteric, two part","S302100","208550004","483","CPRD_AURUM"
"319124014","Closed fracture proximal femur, subtrochanteric","S302200","208551000","1904","CPRD_AURUM"
"319133011","Open fracture proximal femur, intertrochanteric, two part","S303100","208557001","26","CPRD_AURUM"
"319134017","Open fracture proximal femur, subtrochanteric","S303200","208558006","35","CPRD_AURUM"
"319135016","Open fracture proximal femur, intertrochanteric, comminuted","S303300","208559003","12","CPRD_AURUM"
"391392015","Subtrochanteric fracture","S305.00","263229001","4097","CPRD_AURUM"
"391394019","Open fracture base of neck of femur","S301311","263231005","9","CPRD_AURUM"
"411306019","Open fracture of femur, subcapital","S301y11","275339009","49","CPRD_AURUM"
"411307011","Closed fracture of femur, greater trochanter","S302011","275340006","5161","CPRD_AURUM"
"1234136017","Open fracture acetabulum","S131.00","77598002","66","CPRD_AURUM"
"1485120014","H/O: hip fracture","14G7.00","391093004","3749","CPRD_AURUM"
"299791000000114","Open fracture of femur, upper epiphysis","S301A00","198751000000109","7","CPRD_AURUM"
"370861000000115","Delivery of rehabilitation for hip fracture","7P20100","230841000000109","64","CPRD_AURUM"
"895691000006117","#Neck of femur","S30..99","5913000","10862","CPRD_AURUM"
"1992361000006117","VTE risk assessment - hip fracture","","1992361000006101","19","CPRD_AURUM"
"318661010","Closed fracture acetabulum, double column unspecified","S130600","33118001","32","CPRD_AURUM"
"318662015","Other specified closed fracture acetabulum","S130y00","33118001","58","CPRD_AURUM"
"318663013","Closed fracture acetabulum NOS","S130z00","33118001","687","CPRD_AURUM"
"318672017","Open fracture acetabulum NOS","S131z00","77598002","37","CPRD_AURUM"
"319141011","Open fracture of unspecified proximal femur","S30x.00","28576007","205","CPRD_AURUM"
"358600013","DHS - Dynamic hip screw primary fixation of neck of femur","7K1D01E","239285007","22269","CPRD_AURUM"
"402869013","Closed fracture proximal femur, other transcervical","S300y00","208521006","154","CPRD_AURUM"
"44341000006111","Opn # proximal femur, intracapsular section, unspecified","S301000","5913000","53","CPRD_AURUM"
"159491000006119","Rvsn to cls red+int fxn prox fem #+screw/nail+plate device","7K1JG00","179108009","18","CPRD_AURUM"
"159501000006110","Rvsn to int fxn(no red) prox fem #+screw/nail+intramed dev","7K1J900","179100002","31","CPRD_AURUM"
"159511000006113","Rvsn to opn red+int fxtn prox fem #+ scrw/nail+plate device","7K1H800","179067004","43","CPRD_AURUM"
"159521000006117","Rvsn to opn red+int fxtn prox fem #+ scrw/nl+intramed device","7K1H700","179066008","36","CPRD_AURUM"
"166821000006118","Revision to ext fxn(without reduction) proximal femoral #","7K1K400","179137008","9","CPRD_AURUM"
"167971000006114","Revisn to int fxn(no red) prox fem #+screw/nail device alone","7K1J800","179102005","52","CPRD_AURUM"
"167981000006112","Revisn to int fxn(no red) prox fem #+screw/nail+plate device","7K1JA00","179102005","41","CPRD_AURUM"
"167991000006110","Revsn to opn red+int fxtn prox fem #+screw/nail device alone","7K1H600","311426001","79","CPRD_AURUM"
"207601000006111","Prmy open red+int fxn prox femoral #+screw/nail device alone","7K1D600","57470004","829","CPRD_AURUM"
"208561000006112","Prim cls rd+int fxn prox fem #+screw/nail+intramdulry device","7K1JC00","179104006","112","CPRD_AURUM"
"208591000006116","Prim op red # nck femur & op fix - Deyerle multiple hip pin","7K1D013","239281003","62","CPRD_AURUM"
"208601000006112","Prim op red # nck femur & op fix- Charnley compression screw","7K1D012","239284006","91","CPRD_AURUM"
"208611000006110","Prim op red # nck femur & op fix- Zickel intramed nail plate","7K1D01D","265132005","87","CPRD_AURUM"
"208681000006115","Prim open reduct # neck femur & op fix - Holt nail","7K1D014","239291009","150","CPRD_AURUM"
"208691000006117","Prim open reduct # neck femur & op fix - Jewett nail plate","7K1D015","265132005","24","CPRD_AURUM"
"208721000006110","Prim open reduct # neck femur & op fix - Pugh nail plate","7K1D019","265132005","15","CPRD_AURUM"
"208731000006113","Prim open reduct # neck femur & op fix - Richards screw","7K1D01A","239286008","95","CPRD_AURUM"
"208741000006115","Prim open reduct # neck femur & op fix - Ross Brown nail","7K1D01B","239292002","36","CPRD_AURUM"
