"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","DATABASE"
"1591","Closed fracture acetabulum","S130.00","","CPRD_GOLD"
"1994","Hip fracture","S30..11","","CPRD_GOLD"
"2225","Fracture of neck of femur","S30..00","","CPRD_GOLD"
"5301","Closed fracture of proximal femur, pertrochanteric","S302.00","","CPRD_GOLD"
"5742","Prmy open red+int fxn prox femoral #+screw/nail+plate device","7K1D000","","CPRD_GOLD"
"6660","Closed reduction of fracture of hip","7K1L400","","CPRD_GOLD"
"8243","Subtrochanteric fracture","S305.00","","CPRD_GOLD"
"8648","Closed fracture of femur, intertrochanteric","S302400","","CPRD_GOLD"
"8719","Cls red+int fxn proximal femoral #+screw/nail device alone","7K1J000","","CPRD_GOLD"
"9072","Fracture of acetabulum","S10B400","","CPRD_GOLD"
"9792","DHS - Dynamic hip screw primary fixation of neck of femur","7K1D01E","","CPRD_GOLD"
"10570","Hip fracture NOS","S30y.11","","CPRD_GOLD"
"12544","Dynamic hip screw primary fixation of neck of femur","7K1D01F","","CPRD_GOLD"
"17019","Cls # prox femur, subcapital, Garden grade unspec.","S300500","","CPRD_GOLD"
"17936","H/O: hip fracture","14G7.00","","CPRD_GOLD"
"18273","Closed fracture of neck of femur NOS","S30y.00","","CPRD_GOLD"
"19117","Cls # proximal femur, trochanteric section, unspecified","S302000","","CPRD_GOLD"
"19387","Closed fracture of femur, greater trochanter","S302011","","CPRD_GOLD"
"21324","Hip pin for fixation of epiphysis","7K1M500","","CPRD_GOLD"
"23803","Open fracture proximal femur,subcapital, Garden grade III","S301800","","CPRD_GOLD"
"24276","Closed fracture of unspecified proximal femur","S30w.00","","CPRD_GOLD"
"24493","Prim open reduct # neck femur & op fix - Richards screw","7K1D01A","","CPRD_GOLD"
"24587","Fracture-dislocation or subluxation hip","S4E..00","","CPRD_GOLD"
"28464","Revsn to opn red+int fxtn prox fem #+screw/nail device alone","7K1H600","","CPRD_GOLD"
"28965","Pertrochanteric fracture","S304.00","","CPRD_GOLD"
"29145","Closed fracture proximal femur, subtrochanteric","S302200","","CPRD_GOLD"
"33624","Prmy open red+int fxn prox femoral #+screw/nail device alone","7K1D600","","CPRD_GOLD"
"33957","Closed fracture proximal femur, subcapital, Garden grade II","S300700","","CPRD_GOLD"
"34078","Closed fracture proximal femur, subcapital, Garden grade IV","S300900","","CPRD_GOLD"
"34351","Closed fracture proximal femur, subcapital, Garden grade I","S300600","","CPRD_GOLD"
"34764","Prmy open red+int fxn prox fem #+screw/nail+intramed device","7K1D700","","CPRD_GOLD"
"34846","Rvsn to cls red+int fxn prox fem #+screw/nail+plate device","7K1JG00","","CPRD_GOLD"
