"MEDICAL_CODE_ID","DESCRIPTION","READ_CODE","SNOMED_CT_CODE","FREQUENCY","DATABASE"
"1529013","Blind hypertensive eye","F404200","264008","143","CPRD_AURUM"
"3135013","Benign essential hypertension","G201.00","1201005","296697","CPRD_AURUM"
"12496011","Hypertensive retinopathy","F421300","6962006","17435","CPRD_AURUM"
"60444016","Benign hypertensive heart disease","G211.00","36221001","138","CPRD_AURUM"
"64282015","Hypertensive renal disease","G22..00","38481006","24602","CPRD_AURUM"
"80224019","Diastolic hypertension","G203.00","48146000","3227","CPRD_AURUM"
"84111015","Hypertensive encephalopathy","G672.00","50490005","2008","CPRD_AURUM"
"93494011","Systolic hypertension","G202.00","56218007","63447","CPRD_AURUM"
"99042012","Essential hypertension","G20..00","59621000","31747779","CPRD_AURUM"
"107545013","Hypertensive heart disease","G21..00","64715009","32413","CPRD_AURUM"
"253532015","Hypertension resolved","212K.00","162659009","35787","CPRD_AURUM"
"262960017","Hypertension induced by oral contraceptive pill","6146200","169465000","1332","CPRD_AURUM"
"264472017","Poor hypertension control","6628.00","170578008","86623","CPRD_AURUM"
"285265015","Seen in hypertension clinic","9N03.00","185264001","240663","CPRD_AURUM"
"299673010","Hypertensive heart and renal disease with renal failure","G233.00","194780003","126","CPRD_AURUM"
"402166016","Fetus or neonate affected by maternal hypertensive disease","Q000.00","268794002","140","CPRD_AURUM"
"411508017","Cardiomegaly - hypertensive","G21z011","275516004","3510","CPRD_AURUM"
"451424017","Antihypertensive therapy","8B26.00","308116003","60544","CPRD_AURUM"
"1780318013","Moderate hypertension control","662b.00","401117004","8525","CPRD_AURUM"
"2159168015","Patient on maximal tolerated antihypertensive therapy","8BL0.00","407567007","560013","CPRD_AURUM"
"2011000033113","Antihypertensive Drugs","","2011000033109","0","CPRD_AURUM"
"28411000033112","Centrally Acting Antihypertensive Drugs","","28411000033108","0","CPRD_AURUM"
"350601000000116","High cost hypertension drugs","7Q01.00","220901000000101","2","CPRD_AURUM"
"530221000000112","Trial withdrawal of antihypertensive therapy","662r.00","299561000000105","37","CPRD_AURUM"
"535651000000113","Trial reduction of antihypertensive therapy declined","8IA6.00","302081000000108","49","CPRD_AURUM"
"790031000006119","Hypertension annual review","","790031000006103","35613","CPRD_AURUM"
"857151000006119","No H/O: hypertension","","857151000006103","287867","CPRD_AURUM"
"887811000006117","Preg.+ pre-existing hypertensn","L120.99","198942000","50","CPRD_AURUM"
"909441000006118","[RFC] Hypertension","","909441000006102","3329","CPRD_AURUM"
"1011861000006110","Adverse reaction to Antihypertensive Drugs","","1011861000006106","734","CPRD_AURUM"
"1706551000000114","Hypertension 9 month review","662P000","766211000000109","10460","CPRD_AURUM"
"1806071000006118","Stage 1 hypertension","","1806071000006102","179","CPRD_AURUM"
"1806141000006113","Severe hypertension","","1806141000006109","3","CPRD_AURUM"
"1823901000006112","Hypertension confirmed","","1823901000006108","177","CPRD_AURUM"
